country,date,msci_index,msci_ret_weekly,n_obs,msci_vol_annual,debt_lt,debt_st,debt_total,default_barrier,OVX,country_clean,cds_spread,rf,lambda,theta,delta,country_lower,oil_exporter,sp_rating,scale_rating,lam_ovx,pd_m1,dd_m1,pd_m3,dd_m3,spread_m1,spread_m3,dd_diff
Brazil,2014-01-03,804.695,-0.023366128694581,5,0.2205366579527401,58678384820.0,0.0,58678384820.0,29339192410.0,20.6,brazil,187.25,0.0013,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,1.0,BB,2.2580033506644144,0.3,0.0799999999999999,1.4050715603096329,0.0751,1.4388253927525403,98.38048838154333,92.21353540050093,0.03375383244290742
Brazil,2014-01-10,788.35,-0.0205211699535798,5,0.220924551146801,58678384820.0,0.0,58678384820.0,29339192410.0,19.47,brazil,191.83,0.0012,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,1.0,BB,2.2617248852665077,0.3,0.0799999999999999,1.4050715603096329,0.0841,1.3780106500387928,98.38048838154333,103.55524436327912,-0.02706091027084012
Brazil,2014-01-17,780.773,-0.00965769910054,5,0.2206567394238426,58678384820.0,0.0,58678384820.0,29339192410.0,17.12,brazil,194.64,0.0011,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,1.0,BB,2.2591546028026737,0.3,0.0799999999999999,1.4050715603096329,0.0816,1.3943895566974138,98.38048838154333,100.3983126657042,-0.010682003612219049
Brazil,2014-01-24,743.312,-0.0491685787603054,5,0.2248166904952141,58678384820.0,0.0,58678384820.0,29339192410.0,19.46,brazil,206.22,0.0011,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,1.0,BB,2.299503948187271,0.3,0.07999999999999996,1.405071560309633,0.0809,1.3990432963340234,98.38048838154333,99.51526403112231,-0.006028263975609738
Brazil,2014-01-31,737.863,-0.0073577053111953,5,0.2237705511297982,58678384820.0,0.0,58678384820.0,29339192410.0,20.35,brazil,205.43,0.001,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,1.0,BB,2.2892709747014157,0.3,0.0799999999999999,1.4050715603096329,0.0765,1.4290147292651423,98.38048838154333,93.97358244867374,0.02394316895550941
Brazil,2014-02-07,754.118,0.0217906839256064,5,0.2251843170197835,58678384820.0,0.0,58678384820.0,29339192410.0,19.03,brazil,183.07,0.0012,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,1.0,BB,2.303113787072289,0.3,0.08000000000000002,1.4050715603096327,0.0816,1.3943895566974138,98.38048838154357,100.3983126657042,-0.010682003612218827
Brazil,2014-02-14,757.65,0.004672683145115,5,0.225294012401671,58678384820.0,0.0,58678384820.0,29339192410.0,17.95,brazil,184.8,0.0011,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,1.0,BB,2.304192319006369,0.3,0.08000000000000002,1.4050715603096327,0.0802,1.4037275343033537,98.38048838154357,98.63260511192323,-0.00134402600627892
Brazil,2014-02-21,756.126,-0.0020135086233174,5,0.2246900091618335,58678384820.0,0.0,58678384820.0,29339192410.0,17.9,brazil,177.89,0.0012,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,1.0,BB,2.2982616958875903,0.3,0.0799999999999999,1.4050715603096329,0.0844,1.3760698786191803,98.38048838154333,103.93441125050688,-0.029001681690452585
Brazil,2014-02-28,760.551,0.0058351416359801,5,0.224876577426914,58678384820.0,0.0,58678384820.0,29339192410.0,18.71,brazil,170.39,0.0012,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,1.0,BB,2.300091504564925,0.3,0.08000000000000002,1.4050715603096327,0.0807,1.4003785160505458,98.38048838154357,99.26303601666322,-0.004693044259086898
Brazil,2014-03-07,747.948,-0.0167097137534721,5,0.2198495139806355,58678384820.0,0.0,58678384820.0,29339192410.0,20.01,brazil,170.76,0.0013,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,1.0,BB,2.2514299203972885,0.3,0.07999999999999996,1.405071560309633,0.0798,1.4064181292495928,98.38048838154333,98.12840342858078,0.001346568939959658
Brazil,2014-03-14,720.592,-0.0372603604485563,5,0.2208273766868468,58678384820.0,0.0,58678384820.0,29339192410.0,21.7,brazil,180.9,0.0012,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,1.0,BB,2.2607918365273867,0.3,0.0799999999999999,1.4050715603096329,0.0763,1.4304078379495442,98.38048838154333,93.72205230664689,0.02533627763991131
Brazil,2014-03-21,769.839,0.0661083056832819,5,0.2294706968965804,58678384820.0,0.0,58678384820.0,29339192410.0,19.46,brazil,179.04,0.0014,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,1.0,BB,2.3457406368147717,0.3,0.07999999999999996,1.405071560309633,0.0792,1.4104732150281667,98.38048838154333,97.37233915411419,0.0054016547185335995
Brazil,2014-03-28,827.415,0.072124980865937,5,0.2409565207231421,58678384820.0,0.0,58678384820.0,29339192410.0,19.15,brazil,158.05,0.0013,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,1.0,BB,2.465010009876096,0.3,0.0799999999999999,1.4050715603096329,0.078,1.4186537061727384,98.38048838154333,95.8610675150999,0.013582145863105577
Brazil,2014-04-04,850.706,0.027760210030106,5,0.242862735247292,58678384820.0,0.0,58678384820.0,29339192410.0,18.28,brazil,161.72,0.0011,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,1.0,BB,2.4855414894859083,0.3,0.0799999999999999,1.4050715603096329,0.0857,1.3677191606361123,98.38048838154333,105.57829892643649,-0.03735239967352055
Brazil,2014-04-11,879.39,0.0331618923203407,5,0.2450334261578958,58678384820.0,0.0,58678384820.0,29339192410.0,18.39,brazil,153.38,0.0009,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,1.0,BB,2.5091854341412314,0.3,0.0799999999999999,1.4050715603096329,0.0802,1.4037275343033537,98.38048838154333,98.63260511192323,-0.001344026006279142
Brazil,2014-04-18,865.443,-0.0159869707305481,5,0.2440765911358621,58678384820.0,0.0,58678384820.0,29339192410.0,18.93,brazil,152.94,0.0011,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,1.0,BB,2.4987283938107048,0.3,0.07999999999999996,1.405071560309633,0.079,1.4118300775008088,98.38048838154333,97.12038123075406,0.006758517191175706
Brazil,2014-04-25,859.34,-0.0070768618090918,5,0.2440081270007223,58678384820.0,0.0,58678384820.0,29339192410.0,18.88,brazil,148.89,0.0011,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,1.0,BB,2.497982275492785,0.3,0.08000000000000002,1.4050715603096324,0.081,1.398376620797496,98.38048838154357,99.64138996791185,-0.006694939512136511
Brazil,2014-05-02,881.624,0.0256010085057637,5,0.2448089330944054,58678384820.0,0.0,58678384820.0,29339192410.0,17.8,brazil,141.45,0.001,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,1.0,BB,2.50672704581928,0.3,0.0799999999999999,1.4050715603096329,0.0814,1.3957161135566623,98.38048838154333,100.14597326888114,-0.00935544675297062
