,beta,pval,n_obs
Full,0.02534057664037753,0.33215226215235294,9129.0
Top 10%,0.14116827092112488,0.001331789662938787,901.0
Top 5%,0.1472683388303994,0.02610620097146965,442.0
Top 1%,0.6081870007278738,0.058387577884983166,85.0
