country,crash_var,p_bad_crash,p_bad_norm,ratio,group
Angola,oil_crash,0.288135593220339,0.0273504273504274,10.5349576271186,Oil exporter
Nigeria,oil_crash,0.178861788617886,0.0361990950226244,4.94105691056911,Oil exporter
Ecuador,oil_crash,0.154471544715447,0.0389140271493213,3.96955946303649,Oil exporter
Colombia,oil_crash,0.146341463414634,0.0398190045248869,3.67516629711752,Oil exporter
Chile,copper_crash,0.0894308943089431,0.0461538461538462,1.93766937669377,Copper exporter
Peru,copper_crash,0.105691056910569,0.0443438914027149,2.38344118135059,Copper exporter
Zambia,copper_crash,0.142857142857143,0.0436974789915966,3.26923076923077,Copper exporter
Brazil,oil_crash,0.105691056910569,0.0443438914027149,2.38344118135059,Control
Egypt,oil_crash,0.177966101694915,0.0362453531598513,4.91003911342894,Control
Morocco,oil_crash,0.113821138211382,0.0434389140271493,2.62025745257453,Control
