country,driver,beta,p,beta_norm,p_norm,beta_crash,p_crash,delta,p_delta
Brazil,r_copper,-0.00786113024368911,0.679091546463732,-0.0160808954970933,0.302017854078315,0.00393306957336989,0.90914464952696,0.0200139650704632,0.558580623416254
Egypt,r_copper,0.0276752913796865,0.153044481974156,0.0119744114983259,0.599414572902657,0.0493876238432689,0.0632140698165202,0.037413212344943,0.218309840098859
Morocco,r_copper,0.010008706949107,0.311477340015318,0.00992134036658427,0.360854272084988,0.0101348664653019,0.596497028991166,0.000213526098717633,0.992408598230961
