country,group,beta,beta_crash,delta_crash_minus_norm,p,p_crash,p_delta,copper_exp_avg
Chile,Copper exporter,0.00499700992075399,0.0215054149401689,0.0277568974338106,0.51829571813308,,0.0661805827073647,0.245433333333333
Peru,Copper exporter,0.023853616726926,0.0555957327308573,0.0541321814791606,0.203447297072545,,0.198167408075745,0.053
Zambia,Copper exporter,0.115160714240679,0.135157459954453,0.0289694087714088,0.0520407155213259,,0.843871592113995,0.7123
