country,group,beta,beta_crash,delta_crash_minus_norm,p,p_crash,p_delta,oil_exp_avg
Angola,Oil exporter,0.244294930050566,0.36447938853046,0.202066956374482,0.00187623124120369,,0.256319605947022,0.872208333333333
Brazil,Control,0.00345613109737778,0.00709238617253271,0.00651407022804215,0.754838158497878,,0.797066130345057,0.09445
Colombia,Oil exporter,0.0169384332077785,0.0408430160571473,0.0428766426952409,0.103523966905787,,0.146255287435519,0.315216666666667
Ecuador,Oil exporter,0.238963272082792,0.268188873353383,0.052292730530075,0.00630673907930548,,0.683460245261825,0.33615
Egypt,Control,0.0151132364652235,0.0422513224462447,0.0481833499372502,0.485169833982881,,0.269813732930201,0.072825
Morocco,Control,0.0172222745690145,0.0225834701348608,0.00960630212199696,0.141488490554735,,0.617049002080352,0
Nigeria,Oil exporter,0.0468182220857474,0.0929436905059387,0.0824182224587313,0.17278590904592,,0.222776909112097,0.775916666666667
