date,country,cds_spread,risk_free_rate,implied_V,implied_sigma_V,cca_converged,B_f,LCL_usd,sigma_lcl,lambda_annual
2015-01-04,Brazil,207.97,0.0255,652.6109324007336,0.19703399867543653,True,631.8961,160.2673628759274,0.21649024802655198,41.078490154194974
2015-01-11,Brazil,201.92,0.0255,670.2433431948083,0.1784181665349542,True,631.8961,164.16631832854327,0.21778215812940696,34.92290434783014
2015-01-18,Brazil,205.65,0.0255,650.5799915933333,0.20908173026755789,True,631.8961,164.74058305916728,0.21769124065400602,44.573085428490174
2015-01-25,Brazil,193.65,0.0255,649.948529475458,0.2153282913493886,True,631.8961,167.3744289597118,0.21706984774871868,46.53178525740864
2015-02-01,Brazil,212.77,0.022,610.7867209692354,0.22568494137063796,True,622.0884000000001,144.93127013663783,0.23932827947842394,48.232713230969885
2015-02-08,Brazil,229.48,0.022,593.9616972470561,0.23757750148674892,True,622.0884000000001,139.7179430311654,0.24150289632233052,52.0
2015-02-15,Brazil,235.35,0.022,611.5717568693726,0.20895337596016733,True,622.0884000000001,137.15209976232302,0.24207627214922844,43.09868293158862
2015-02-22,Brazil,235.89,0.022,615.3686085721326,0.2006192212027369,True,622.0884000000001,135.55427914934734,0.24135158036005602,40.691284851042546
2015-03-01,Brazil,235.88,0.0233999999999999,612.817862254855,0.21124477539061604,True,626.0114799999998,139.31661473031954,0.24272838432174262,43.613551231535176
2015-03-08,Brazil,253.64,0.0233999999999999,621.1062794474898,0.17954083428476958,True,626.0114799999998,129.17953534174936,0.25367271947767583,33.40240141935697
2015-03-15,Brazil,302.25,0.0233999999999999,588.8139119028947,0.2074311508345237,True,626.0114799999998,121.72801077234331,0.25981150801503045,41.56197273668861
2015-03-22,Brazil,291.2898,0.0233999999999999,604.0873172825087,0.1889965259024561,True,626.0114799999998,122.47949148304409,0.2596572831266326,36.0058080509714
2015-03-29,Brazil,285.95,0.0233999999999999,596.1159556136104,0.19792101137171797,True,626.0114799999998,121.71219011100449,0.25763006184422194,38.92627838359946
2015-04-05,Brazil,259.48,0.0241,617.3132188191655,0.18872173727497127,True,627.97302,131.26473069520333,0.26741030782118635,34.60391249931767
2015-04-12,Brazil,245.19,0.0241,640.6321839289981,0.15971679296486183,True,627.97302,133.20250470822126,0.2678053919731544,26.09386777793376
2015-04-19,Brazil,241.81,0.0241,645.1726131366139,0.15608848614928839,True,627.97302,134.72240782937013,0.2682083184450355,24.946553530786904
2015-04-26,Brazil,220.11,0.0241,661.907244245765,0.1382988736365938,True,627.97302,138.7946010247075,0.27029294117102004,19.622925591039426
2015-05-03,Brazil,237.95,0.0233,655.2755900192793,0.13448309931040217,True,625.73126,131.8555553026922,0.27349466194495314,18.753989005509442
2015-05-10,Brazil,222.26,0.0233,658.3797567662937,0.13334253261487566,True,625.73126,133.68798661814623,0.27396467487029863,18.302077374431075
2015-05-17,Brazil,228.93,0.0233,665.7134024354705,0.11809702718349402,True,625.73126,132.6227120211186,0.2739912880592644,14.375809737146493
2015-05-24,Brazil,220.46,0.0233,658.6352042971241,0.12121313291467462,True,625.73126,128.43713684132246,0.2754798066017218,15.3224538469082
2015-05-31,Brazil,231.01,0.0269,644.9170657424065,0.12702815232865572,True,635.8191800000001,121.36549541922707,0.27631633097100733,17.191937776840316
2015-06-07,Brazil,247.9,0.0269,646.8683587698312,0.1268698541188075,True,635.8191800000001,122.75477896822359,0.2767486913287678,17.03239606234206
2015-06-14,Brazil,242.18,0.0269,651.6259307729557,0.12110623243047082,True,635.8191800000001,123.75043216075326,0.27663222488417627,15.482898298676346
2015-06-21,Brazil,240.17,0.0269,654.3526581493644,0.11826588008890372,True,635.8191800000001,124.58786142389096,0.2768330566632799,14.68790745945932
2015-06-28,Brazil,256.0898,0.0269,655.0788119979005,0.11405976131061239,True,635.8191800000001,123.31435150479783,0.27616753872870126,13.742411827254035
2015-07-05,Brazil,249.89,0.0285,643.835286663115,0.1265026355839258,True,640.3027000000001,120.66602386118919,0.27427891625080997,17.240045547408783
2015-07-12,Brazil,251.79,0.0285,625.8981291730805,0.151769181514263,True,640.3027000000001,119.72796005359916,0.27428469797431776,24.11214831582126
2015-07-19,Brazil,262.49,0.0285,639.7110454518729,0.12876235951062578,True,640.3027000000001,118.64994313961014,0.27428971368466715,17.958748665457847
2015-07-26,Brazil,293.25,0.0285,621.969618713575,0.1430118820310792,True,640.3027000000001,112.72652403700468,0.2780424144946168,21.857381555194884
2015-08-02,Brazil,288.8699,0.0277,618.5360702611167,0.1418137743174469,True,638.0609400000001,109.60366713020095,0.2787813322327535,21.682225059315495
2015-08-09,Brazil,327.8999,0.0277,608.6481518059413,0.1500696273479895,True,638.0609400000001,106.92254146768151,0.27934643538385934,24.059416967515876
2015-08-16,Brazil,300.5698,0.0277,610.2943124417468,0.14923208815085603,True,638.0609400000001,107.61625928999165,0.2791842331267866,23.797119936047757
2015-08-23,Brazil,336.74,0.0277,598.4040861797417,0.16414547090742873,True,638.0609400000001,107.11753244163364,0.2791923285326064,27.961292936843442
2015-08-30,Brazil,327.0698,0.0277,570.2681155765333,0.19505749780550422,True,638.0609400000001,104.67639564069201,0.2785574671109929,37.03926164015183
2015-09-06,Brazil,375.1199,0.0255,583.982673339122,0.18595139046577008,True,631.8961,108.35801475315829,0.28170331433041984,33.84944330249324
2015-09-13,Brazil,392.8799,0.0255,582.3133734960915,0.18658462653429192,True,631.8961,107.62488091078171,0.2792873675707569,34.314455172421596
2015-09-20,Brazil,390.3398,0.0255,592.9039330652189,0.16890186253771763,True,631.8961,105.56710750811767,0.27952893540514623,29.383874052926632
2015-09-27,Brazil,489.5098,0.0255,585.3280095120807,0.17688973698115767,True,631.8961,104.7215042861859,0.27910363243992736,31.747337985899218
2015-10-04,Brazil,521.3599,0.0262,610.882067271845,0.15750624323394416,True,633.8576400000001,111.8220016481952,0.2781485949828469,25.89243055696993
2015-10-11,Brazil,410.8398,0.0262,616.6678396756862,0.15963277863708505,True,633.8576400000001,116.78287704329465,0.28199191588725836,25.825552055018633
2015-10-18,Brazil,435.3699,0.0262,619.0187683823228,0.14674650989214524,True,633.8576400000001,112.06388831373455,0.2842068160774489,22.429523732779
2015-10-25,Brazil,445.24,0.0262,615.3094278863739,0.15449790618995404,True,633.8576400000001,113.33049478503534,0.2845864359778781,24.419782676183612
2015-11-01,Brazil,429.6699,0.025,622.909932394611,0.16068137000627492,True,630.4950000000001,121.36819556847857,0.2924728666882882,24.892398600661853
2015-11-08,Brazil,401.45,0.025,632.0990581854584,0.15317167745051538,True,630.4950000000001,124.11092677629928,0.2921992819905441,22.699923517202414
2015-11-15,Brazil,426.99,0.025,610.1542995753912,0.17886366226333641,True,630.4950000000001,121.70986687003104,0.29235186720198136,29.90301931629513
2015-11-22,Brazil,388.6199,0.025,620.3229202559193,0.17432093241585592,True,630.4950000000001,126.32008909423288,0.2928043937084678,28.282134507899414
2015-11-29,Brazil,415.4199,0.025,602.6764176123351,0.18877268880598624,True,630.4950000000001,121.68178428874883,0.2943514269709409,32.49454363663001
2015-12-06,Brazil,435.1199,0.0269,615.465366056666,0.17718343995356953,True,635.8191800000001,124.75789340904127,0.2956911580869044,28.895711824705444
2015-12-13,Brazil,485.73,0.0269,577.3415054159968,0.2194423362109008,True,635.8191800000001,120.86330512631993,0.2962879763639552,41.14066681981765
2015-12-20,Brazil,490.2798,0.0269,591.6201962422707,0.19430387595347234,True,635.8191800000001,117.54447926101417,0.2973008726549169,34.04037489761163
2015-12-27,Brazil,482.5698,0.0269,608.9863866577807,0.17357124594001577,True,635.8191800000001,118.62110824636369,0.29757968916735017,28.13919755890239
2016-01-03,Brazil,488.99,0.0260999999999999,604.0787142413387,0.18060213744117382,True,610.9855079999998,129.02067748617685,0.2852348289299222,30.290529975562787
2016-01-10,Brazil,480.7998,0.0260999999999999,567.8220803253641,0.22686121511195304,True,610.9855079999998,126.97662365815607,0.2840039194020482,44.01851378874037
2016-01-17,Brazil,491.73,0.0260999999999999,547.202881274815,0.2531520908626547,True,610.9855079999998,126.24076428139638,0.2838746437016484,52.0
2016-01-24,Brazil,468.7998,0.0260999999999999,545.3729096336621,0.2525178767895862,True,610.9855079999998,124.80481646576295,0.2831291848852051,52.0
2016-01-31,Brazil,462.6299,0.0249,545.5247057074711,0.23820308935185835,True,607.7427720000001,118.10019395636718,0.25100411961869884,52.0
2016-02-07,Brazil,456.8398,0.0249,549.9563235193597,0.2384886754484228,True,607.7427720000001,120.98091683725904,0.25028414357066536,52.0
2016-02-14,Brazil,482.0298,0.0249,545.4204472525784,0.2380978492319902,True,607.7427720000001,117.98685403834801,0.2507877276535682,52.0
2016-02-21,Brazil,457.5898,0.0249,544.6505293131996,0.2379302780522038,True,607.7427720000001,117.43432193053789,0.25063405963986446,52.0
2016-02-28,Brazil,446.2998,0.0249,549.7946817983684,0.23289534217971664,True,607.7427720000001,118.26548133040153,0.24896080807089224,50.57020716552581
2016-03-06,Brazil,395.75,0.022,597.9030877893206,0.20012735053461314,True,599.90616,133.51008682528567,0.26768615811012064,37.51966668545498
2016-03-13,Brazil,376.23,0.022,612.8204024765672,0.19246816523080126,True,599.90616,140.1150743817359,0.2647022459018842,35.173985097455656
2016-03-20,Brazil,351.1399,0.022,626.2902938822805,0.16881886515947153,True,599.90616,138.49394142253232,0.2650635586157959,28.34185260713649
2016-03-27,Brazil,382.3599,0.022,623.4334609540106,0.16844431048372088,True,599.90616,136.2554729882826,0.2655850702630842,28.317953995098932
2016-04-03,Brazil,351.5698,0.0227999999999999,592.7081465092308,0.18219281680316074,True,602.0679839999998,121.5239610697273,0.27963645608147947,31.812379833742085
2016-04-10,Brazil,374.0298,0.0227999999999999,592.2710228686051,0.18024411024067705,True,602.0679839999998,120.29744966418286,0.2792766761146023,31.371998425786057
2016-04-17,Brazil,336.21,0.0227999999999999,581.6836900110035,0.19895270497850473,True,602.0679839999998,122.23222824496071,0.27953850687732085,36.62058391138699
2016-04-24,Brazil,349.49,0.0227999999999999,609.6131736911964,0.15699886771616192,True,602.0679839999998,121.15687140718072,0.27774207535426987,24.914049564929158
2016-05-01,Brazil,330.8198,0.0220999999999999,604.697477412213,0.1573594619343104,True,600.1763879999997,117.77793211066134,0.2745661668729812,25.515215490370046
2016-05-08,Brazil,330.6199,0.0220999999999999,601.958919540339,0.1566451121808558,True,600.1763879999997,115.5402080381728,0.274590901824271,25.460103348613515
2016-05-15,Brazil,320.6599,0.0220999999999999,603.0281871692227,0.15288999156092947,True,600.1763879999997,114.50429959879486,0.2746121469908337,24.483813651257012
2016-05-22,Brazil,338.74,0.0220999999999999,607.4735687717014,0.14722947601501388,True,600.1763879999997,114.94941651592603,0.27305742189360227,23.023756714307055
2016-05-29,Brazil,341.5598,0.0220999999999999,614.1723922862878,0.13060873231790918,True,600.1763879999997,112.04401709678739,0.26846702051816446,19.05747407880352
2016-06-05,Brazil,328.3799,0.0222,621.9487385967304,0.12908122269277833,True,600.4466160000001,117.085499733929,0.27202743828124953,18.067020989525545
2016-06-12,Brazil,337.8699,0.0222,615.0481703857691,0.14795070156336654,True,600.4466160000001,120.68755920016248,0.27367872376665503,22.80072916786199
2016-06-19,Brazil,330.6199,0.0222,611.7395854518629,0.15319637925649218,True,600.4466160000001,120.77833274531751,0.2735829844012171,24.24967491431779
2016-06-26,Brazil,334.9299,0.0222,608.4305877807619,0.16137242350349734,True,600.4466160000001,122.29672667381207,0.27370919635797075,26.420940190639588
2016-07-03,Brazil,320.6899,0.0202,623.7369704159967,0.13463113287197445,True,595.042056,120.58238236582679,0.2732044770403957,19.24150948929026
2016-07-10,Brazil,300.2798,0.0202,608.7648490101254,0.15287775005219387,True,595.042056,118.22934599641144,0.27380915978715803,24.313356057882544
2016-07-17,Brazil,290.8899,0.0202,620.6224470100889,0.13597269624066807,True,595.042056,118.89662495224181,0.2737213336682477,19.66767776751434
2016-07-24,Brazil,279.3298,0.0202,617.9355308266857,0.14227700200360105,True,595.042056,119.82925463395452,0.26877187186234514,21.71133902934949
2016-07-31,Brazil,283.3899,0.0182,616.345098822605,0.15066707574258814,True,589.637496,122.29636822731769,0.2677588819901229,23.96472914581993
2016-08-07,Brazil,262.96,0.0182,619.3732603470622,0.15284482935636654,True,589.637496,125.48657011359349,0.2673545327642753,24.409123612972618
2016-08-14,Brazil,252.31,0.0182,626.5519736091503,0.13921583522107553,True,589.637496,124.44568233546353,0.26757269070366996,20.69228263125113
2016-08-21,Brazil,248.55,0.0182,631.7219628291526,0.12959647029099594,True,589.637496,124.00469552427735,0.26754388443528,18.125547268281732
2016-08-28,Brazil,254.44,0.0182,626.7689520297868,0.13269254660145502,True,589.637496,121.66071158074611,0.2671817411066472,19.127410334122455
2016-09-04,Brazil,252.05,0.0189,620.3452476805838,0.1407263428664596,True,591.529092,120.67567336018658,0.26542640523336286,21.50820160551465
2016-09-11,Brazil,252.05,0.0189,617.1396184208271,0.14442576348162783,True,591.529092,120.05863767756605,0.2653750268668783,22.569407968277794
2016-09-18,Brazil,268.47,0.0189,617.5070020650751,0.14476133092832752,True,591.529092,120.47916516316891,0.2644776471418333,22.70998806304168
2016-09-25,Brazil,268.2598,0.0189,608.1096586599842,0.16033927865418185,True,591.529092,121.11585169025363,0.2642694560770195,27.061414200787382
2016-10-02,Brazil,265.8899,0.0202,622.4697104381979,0.14092580842010277,True,595.042056,122.51259890920672,0.25658421410779875,22.16170621502139
2016-10-09,Brazil,264.8899,0.0202,630.4744790778913,0.13109588883684362,True,595.042056,124.03442012085192,0.25330208248509656,19.61398522115664
2016-10-16,Brazil,263.1099,0.0202,633.7186568481828,0.1268348419145338,True,595.042056,124.6255737617067,0.2495999258675595,18.693775911257656
2016-10-23,Brazil,255.5,0.0202,641.1820069639831,0.11825547761379902,True,595.042056,126.75852000823154,0.24988084136976627,16.230467099630257
2016-10-30,Brazil,269.8699,0.0202,630.840785514443,0.1316792171636219,True,595.042056,124.56965381982451,0.24123687813929726,20.67361134518819
2016-11-06,Brazil,278.3899,0.0217,613.921293864179,0.15270893773249894,True,599.095476,122.02189578895026,0.2410997596028504,26.83132622175561
2016-11-13,Brazil,306.5598,0.0217,601.393031726398,0.159291764101522,True,599.095476,116.34398122060465,0.2449912952166732,28.73837127902702
2016-11-20,Brazil,305.8198,0.0217,598.7619230619586,0.16366459091961633,True,599.095476,116.61623700047372,0.24193287053042722,30.27797210975931
2016-11-27,Brazil,303.1599,0.0217,574.5999760333087,0.19438841441160257,True,599.095476,115.2944153413292,0.23938534680852286,39.86316312402325
2016-12-04,Brazil,308.7998,0.0254,619.5640190809435,0.12150971945521546,True,609.093912,112.52763168087964,0.23899726965885482,18.65944061352108
2016-12-11,Brazil,286.6299,0.0254,624.0350746328165,0.12120912369860715,True,609.093912,115.75801513908307,0.23892075598174659,18.40359428495078
2016-12-18,Brazil,286.0698,0.0254,632.8490193278792,0.10384432897610127,True,609.093912,115.29653180544445,0.2373565952069506,13.855126676858951
2016-12-25,Brazil,276.1799,0.0254,636.514937422614,0.10720191608339241,True,609.093912,119.5632973752475,0.24001220616563812,14.341489935188148
2017-01-01,Brazil,274.3599,0.0283999999999999,644.5394609339996,0.10992611181045993,True,617.2007519999997,127.79039491964701,0.2343491225879977,14.991595782591618
2017-01-08,Brazil,253.99,0.0283999999999999,653.9829312525917,0.10874536905289157,True,626.5480219999997,129.0007123967414,0.23398072143035253,14.736979619369233
2017-01-15,Brazil,246.19,0.0283999999999999,653.7919191384492,0.10943089071982964,True,626.5480219999997,129.1171690579918,0.2338980914369085,14.920490850052733
2017-01-22,Brazil,248.99,0.0283999999999999,658.0693201945554,0.1059330216464274,True,626.5480219999997,131.2466623808182,0.23411109893602747,13.861782021743549
2017-01-29,Brazil,240.51,0.0283999999999999,659.5022670945884,0.10589931344540067,True,626.5480219999997,132.41538820131845,0.22709550389797475,14.259412613702159
2017-02-05,Brazil,234.87,0.0275,654.8898293814585,0.10152560377699954,True,624.0791375,126.72612122683316,0.23056680060551535,13.15895200309996
2017-02-12,Brazil,221.89,0.0275,656.8899822838299,0.097248758535335,True,624.0791375,126.80118656695053,0.22904483374285403,12.12791364349782
2017-02-19,Brazil,227.23,0.0275,658.4780136137028,0.0947829999301584,True,624.0791375,127.2515786822518,0.22897003530489446,11.469731556561399
2017-02-26,Brazil,218.6,0.0275,657.8001903542109,0.0956674191554845,True,624.0791375,126.99477616146461,0.2289272231415303,11.71415630723477
2017-03-05,Brazil,213.51,0.0276,657.9441468442761,0.08739744971749515,True,624.3534579999999,124.30614525864591,0.19464154319873783,11.639774778628912
2017-03-12,Brazil,228.87,0.0276,649.0764357686389,0.1050283390119484,True,624.3534579999999,123.36498954231314,0.1880135073077845,16.961011474418527
2017-03-19,Brazil,209.2,0.0276,657.8984843261564,0.09038978818082133,True,624.3534579999999,125.27053940965483,0.1886025867925023,12.745022611669224
2017-03-26,Brazil,230.96,0.0276,653.5592348336232,0.09869031479989096,True,624.3534579999999,124.59275236523321,0.18807092526720878,15.10597170635983
2017-04-02,Brazil,219.84,0.0283,643.403156837269,0.08752280175300442,True,626.2737015,112.2465825526922,0.1820941259355668,12.831854158186633
2017-04-09,Brazil,220.92,0.0283,642.6092249269348,0.08708907558728013,True,626.2737015,111.42974662033126,0.18197920138203713,12.751207629207503
2017-04-16,Brazil,222.55,0.0283,644.0825810738867,0.08375825408310449,True,626.2737015,111.47882686385644,0.18112358841348458,11.887425281614478
2017-04-23,Brazil,220.41,0.0283,639.8197172478103,0.09302999201380585,True,626.2737015,111.35612617969873,0.18098103731351184,14.451564335258166
2017-04-30,Brazil,213.49,0.0266999999999999,652.0195162227833,0.09477397203206228,True,621.8845734999996,121.64073258225922,0.20003547375224504,13.441428167987294
2017-05-07,Brazil,208.87,0.0266999999999999,645.5291190202071,0.1082729793808531,True,621.8845734999996,121.60982004832898,0.1990178403995252,17.26414197911683
2017-05-14,Brazil,198.54,0.0266999999999999,648.1829810592903,0.10839292010409049,True,621.8845734999996,123.77755991512925,0.19943966822144374,17.17592704395932
2017-05-21,Brazil,241.28,0.0266999999999999,647.0448721977559,0.09809331815191875,True,621.8845734999996,118.7890533818014,0.20392153486365633,14.245772820370323
2017-05-28,Brazil,232.22,0.0266999999999999,646.5879666220183,0.0983777477160452,True,621.8845734999996,118.52629706165489,0.20218779842816673,14.437765064203626
2017-06-04,Brazil,231.76,0.027,631.2326383851898,0.10564654864026884,True,622.707535,109.36191785670401,0.21325633070068561,16.199983191926517
2017-06-11,Brazil,233.5,0.027,629.3597409491898,0.10525195877775413,True,622.707535,107.74910930920326,0.2112021905681251,16.291581549312667
2017-06-18,Brazil,235.18,0.027,635.7624735293142,0.09332717726419096,True,622.707535,107.86989231874547,0.2112077287849795,13.044904987714746
2017-06-25,Brazil,235.26,0.027,628.6099270783247,0.10313230563527802,True,622.707535,106.26774113354541,0.21104829470927566,15.785757849675113
2017-07-02,Brazil,237.02,0.0254,643.7783100455086,0.10189134489762168,True,618.318407,117.33070407766027,0.23390321769322706,13.538934700309978
2017-07-09,Brazil,237.74,0.0254,638.6524602706455,0.11385847827849459,True,618.318407,118.25811216968286,0.2332221994430326,16.740542824907966
2017-07-16,Brazil,219.82,0.0254,646.9931465278162,0.10716660879739141,True,618.318407,122.02983040423373,0.23527019148061354,14.60411274925697
2017-07-23,Brazil,207.37,0.0254,649.9841558506862,0.10485372332009626,True,618.318407,123.5082508157526,0.23544217028536124,13.901772699911662
2017-07-30,Brazil,211.24,0.0254,649.7674776313157,0.10627942400763082,True,618.318407,123.90016805095422,0.2345940846751183,14.314085344685253
2017-08-06,Brazil,193.31,0.0265,644.0549250724528,0.10259584767033168,True,621.3359324999999,118.086078477573,0.2380008573877529,13.428473894023181
2017-08-13,Brazil,202.03,0.0265,641.4838511491087,0.10197500707599852,True,621.3359324999999,115.77871311298226,0.2386230637197246,13.35097783223712
2017-08-20,Brazil,198.68,0.0265,644.4722426740836,0.10031817204668653,True,621.3359324999999,117.5166325201213,0.23916523385188374,12.794576952588463
2017-08-27,Brazil,194.35,0.0265,642.3587403724309,0.10336810165307841,True,621.3359324999999,117.03962913110857,0.2384801602753347,13.656759439570928
2017-09-03,Brazil,188.58,0.0255,641.6095353763144,0.10340786937616571,True,618.5927274999999,116.23168781036783,0.238445222818957,13.716007380783935
2017-09-10,Brazil,178.96,0.0255,643.2373757279355,0.10530299140378646,True,618.5927274999999,118.29845087684822,0.23910122342917808,14.062743153970294
2017-09-17,Brazil,177.55,0.0255,645.7170843986775,0.09821858671769912,True,618.5927274999999,117.4695547366918,0.2391632693586594,12.258729447448323
2017-09-24,Brazil,197.56,0.0255,645.2961255100063,0.09748164395540207,True,618.5927274999999,116.84149244100632,0.23913862922534768,12.104262536234865
2017-10-01,Brazil,191.86,0.0253,647.4776105626381,0.09912818065896348,True,618.0440864999999,119.20817144400498,0.23973713078777675,12.3666896999307
2017-10-08,Brazil,183.72,0.0253,646.9039178880441,0.10089178665333975,True,618.0440864999999,119.43055367657435,0.2393922459300627,12.831854158186633
2017-10-15,Brazil,178.33,0.0253,649.4062159225023,0.09665162720467892,True,618.0440864999999,119.83762617968812,0.23936449278858712,11.71989548165351
