Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
CIS,-107.1,-68.4,-74.4,-85.3,-98.3,-98.5,-114.0,-121.0,-132.4,-143.2,-156.6,-173.0,-198.6,-240.6,-273.9,-282.3,-294.0,-313.6,-310.5,-329.1,-326.6,-328.1,-325.4,-321.7,-306.3,-326.3,-339.0,-339.8,-348.1,-357.5,-322.3,-318.5,-336.0,-325.8,-329.8
Azerbaijan,4.3,4.0,1.5,1.2,0.9,0.0,0.0,0.0,-1.8,-5.7,-5.6,-8.5,-8.9,-9.0,-9.0,-14.3,-24.8,-34.8,-36.9,-44.3,-44.5,-39.0,-36.8,-36.7,-35.2,-35.1,-35.0,-32.8,-32.7,-31.2,-28.4,-28.1,-26.0,-24.0,-23.3
Kazakhstan,-6.2,-8.2,-2.1,-5.1,-6.1,-9.0,-12.9,-15.3,-16.1,-23.0,-28.2,-30.1,-37.0,-41.9,-46.7,-48.1,-52.2,-50.5,-57.3,-62.6,-57.3,-64.2,-63.5,-61.6,-64.4,-63.5,-60.9,-68.7,-69.8,-70.0,-69.0,-67.9,-65.2,-70.5,-68.8
Russia,-203.3,-155.6,-131.8,-117.3,-121.9,-113.8,-119.7,-122.9,-131.7,-129.9,-138.5,-157.0,-182.2,-222.1,-253.4,-250.2,-246.1,-255.9,-240.6,-247.1,-245.9,-247.1,-243.6,-240.2,-225.1,-247.3,-259.2,-256.1,-264.8,-273.8,-241.1,-238.9,-259.6,-249.0,-255.0
Uzbekistan,5.2,5.6,3.1,4.0,1.5,-0.4,-0.8,-0.9,-0.7,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,1.1,1.1,1.2,0.7,0.7,0.8,1.2,1.7,2.0
America,231.5,204.7,214.7,244.8,246.5,221.3,228.2,245.2,254.9,278.2,282.0,294.1,278.4,297.3,321.8,323.7,312.8,328.2,319.4,278.6,250.6,217.6,160.6,111.2,48.2,28.6,43.3,12.3,-51.8,-141.8,-195.5,-172.9,-204.1,-248.3,-248.7
North America,329.3,316.5,331.5,371.0,384.5,379.0,399.8,434.0,447.0,457.0,475.1,493.9,475.2,502.9,531.8,539.7,531.1,521.5,510.0,456.4,453.0,421.0,363.6,304.8,253.5,240.9,255.7,219.9,143.4,45.6,-9.0,-4.3,-32.6,-52.3,-59.4
Canada,-10.1,-14.8,-20.3,-20.6,-22.7,-28.6,-27.8,-28.3,-34.7,-27.6,-30.0,-28.8,-35.7,-38.1,-40.7,-36.7,-49.3,-51.8,-53.8,-54.4,-60.3,-75.7,-79.5,-92.0,-102.7,-106.6,-114.9,-128.9,-148.3,-156.6,-151.6,-166.2,-172.0,-175.0,-186.3
United States,339.4,331.3,351.8,391.7,407.2,407.6,427.6,462.3,481.7,484.7,505.1,522.7,510.9,541.1,572.5,576.4,580.4,573.3,563.8,510.8,513.3,496.7,443.1,396.8,356.2,347.5,370.6,348.8,291.6,202.2,142.6,161.9,139.4,122.8,126.9
Latin America,-97.9,-111.8,-116.8,-126.2,-138.0,-157.7,-171.6,-188.8,-192.1,-178.9,-193.2,-199.8,-196.8,-205.6,-210.0,-216.0,-218.3,-193.2,-190.6,-177.8,-202.4,-203.4,-203.0,-193.6,-205.2,-212.3,-212.4,-207.6,-195.2,-187.4,-186.5,-168.6,-171.5,-196.1,-189.4
Argentina,-0.9,-1.1,-3.0,-4.3,-10.0,-13.2,-15.9,-16.2,-15.3,-12.9,-12.9,-13.3,-13.1,-11.6,-8.5,-7.4,-4.0,-2.9,-2.8,-4.7,-2.9,-3.1,-2.9,-1.8,-1.6,-1.3,-2.1,-0.6,-3.0,-3.6,-4.2,-3.3,-6.2,-6.4,-8.9
Brazil,28.6,26.4,26.6,25.5,28.0,24.7,28.5,29.1,28.0,23.7,18.6,15.6,7.5,5.1,10.6,3.5,-1.7,-0.3,-2.6,-7.6,-14.8,-13.8,-9.6,-0.1,-8.7,-22.5,-35.5,-45.9,-45.6,-54.1,-61.6,-56.3,-55.7,-69.7,-69.0
Chile,5.4,5.5,6.0,6.3,7.1,7.6,8.0,8.6,9.4,9.3,9.7,9.8,9.6,10.2,10.4,10.2,11.1,10.8,10.1,10.0,8.5,9.0,8.7,9.5,8.9,8.6,8.5,8.8,8.9,9.7,7.5,8.2,7.4,8.9,9.9
Colombia,-9.7,-8.8,-9.1,-10.2,-9.8,-16.2,-16.7,-17.9,-21.5,-23.4,-19.7,-15.0,-14.4,-11.5,-11.1,-11.4,-10.9,-11.3,-13.0,-17.7,-23.7,-30.1,-31.4,-39.3,-42.4,-41.9,-33.2,-29.4,-30.2,-29.6,-28.6,-24.3,-20.2,-19.8,-19.4
Mexico,-69.4,-74.6,-74.7,-73.1,-70.7,-70.5,-80.0,-89.5,-90.3,-82.6,-91.3,-92.4,-96.5,-104.4,-104.9,-99.8,-98.7,-89.0,-74.3,-64.5,-71.2,-70.0,-65.7,-62.4,-59.4,-59.5,-62.7,-61.8,-62.8,-58.9,-59.0,-53.4,-49.2,-52.3,-40.7
Asia,280.1,290.3,342.0,370.9,384.2,406.4,446.2,488.8,463.6,495.2,564.3,550.5,554.4,601.2,663.7,686.6,711.5,742.0,752.5,775.0,829.6,852.2,906.2,914.4,928.6,979.5,1’051.7,1’110.9,1’161.5,1’193.6,1’146.4,1’145.0,1’187.8,1’241.2,1’230.5
ASEAN,3.2,-4.2,1.7,13.6,14.0,22.0,41.6,47.3,36.5,32.1,38.0,40.1,39.1,47.1,59.1,67.7,67.3,67.3,70.1,64.5,70.3,75.2,84.2,85.4,81.5,82.8,86.0,99.7,111.2,108.7,105.8,109.3,120.1,125.8,133.0
China,-21.1,-16.6,-10.2,-3.8,-6.1,-1.1,2.2,15.6,11.7,29.4,60.0,52.7,61.7,82.9,117.2,118.8,138.8,159.3,174.6,198.6,234.7,251.3,268.6,280.1,307.8,332.6,378.1,414.6,459.3,504.9,540.4,510.3,506.2,562.6,551.3
India,20.2,21.2,29.3,29.6,27.2,29.5,32.4,33.0,38.5,53.1,74.1,78.7,82.0,90.4,95.9,99.4,111.5,121.7,128.2,152.5,163.3,167.7,184.2,189.2,189.4,202.9,218.6,225.3,226.5,227.0,196.5,212.0,232.7,234.3,241.4
Indonesia,-30.8,-38.3,-34.3,-33.4,-39.5,-35.6,-31.1,-31.8,-29.5,-25.2,-17.6,-14.5,-10.2,-7.0,-2.1,-0.9,0.0,-2.2,-2.6,-2.0,-0.8,-2.0,0.9,3.0,3.1,3.2,3.0,4.3,6.7,8.2,7.0,8.9,12.1,14.3,13.1
Japan,202.9,203.2,218.0,218.9,234.0,227.3,225.5,228.5,217.1,212.2,217.8,205.3,206.6,209.2,206.2,212.7,203.3,205.7,198.8,179.1,181.4,177.1,178.8,177.9,165.5,165.0,162.2,157.9,151.0,147.5,116.4,127.3,133.8,124.3,115.8
Malaysia,-20.3,-20.8,-21.5,-18.2,-17.3,-17.1,-15.0,-12.9,-17.1,-15.5,-9.9,-9.2,-11.2,-11.1,-10.8,-10.4,-10.3,-7.0,-6.0,-6.8,-7.1,-2.1,-1.8,-1.6,-2.0,-7.4,-9.0,-4.7,-5.6,-1.9,-3.3,-2.1,-4.1,-1.2,0.8
Philippines,11.4,10.9,12.3,11.6,12.4,16.8,18.2,18.3,16.6,16.7,16.1,15.0,12.6,12.1,9.6,10.1,9.8,9.6,8.8,6.2,8.3,8.7,8.1,7.1,8.1,9.9,10.1,10.0,11.2,7.8,3.8,3.7,5.6,6.3,5.6
South Korea,41.8,54.2,69.1,76.1,79.5,87.4,99.9,121.1,113.7,120.5,123.2,118.8,108.1,108.0,114.2,115.0,120.4,118.5,116.3,115.0,118.7,124.9,128.2,122.8,125.8,139.0,145.8,151.2,151.1,145.0,133.4,131.0,138.5,136.8,139.7
Singapore,42.7,45.0,46.3,52.6,55.8,51.2,55.1,55.2,52.0,44.4,41.8,40.8,40.7,44.8,51.1,58.7,56.8,55.2,54.2,47.6,44.7,45.7,50.7,47.1,46.0,48.4,51.8,56.7,55.5,52.9,45.6,45.4,48.1,46.4,49.2
Taiwan,24.7,24.3,26.5,28.6,27.6,33.5,36.5,36.3,38.5,40.4,43.1,44.3,45.8,51.9,58.8,60.8,58.2,57.7,53.2,55.1,51.2,46.6,51.8,49.0,50.4,49.1,50.2,49.3,50.9,51.2,42.6,43.7,46.8,46.4,44.9
Thailand,10.2,11.0,13.0,15.6,17.8,22.2,30.7,35.4,33.1,34.2,31.8,33.7,33.7,35.7,40.6,37.9,38.0,35.8,38.2,40.4,40.5,39.7,42.6,43.4,41.0,44.4,42.3,44.6,47.4,42.3,42.6,43.7,46.7,49.0,49.4
Vietnam,-2.7,-3.9,-5.4,-6.3,-6.9,-7.7,-8.7,-9.6,-12.1,-14.9,-15.4,-16.7,-16.9,-17.4,-19.5,-18.0,-16.4,-15.1,-13.8,-13.4,-7.6,-7.6,-8.7,-7.1,-8.6,-9.3,-6.4,-5.6,1.2,3.8,7.1,6.9,7.4,8.1,10.4
Pacific,2.1,0.7,2.1,4.9,5.8,5.5,8.0,7.6,6.4,9.7,3.3,0.7,4.5,7.9,7.1,11.1,11.8,10.0,9.5,7.6,10.5,13.9,13.7,15.8,14.6,10.7,9.0,10.5,12.2,10.5,4.2,1.5,-5.0,-6.1,-5.0
Australia,4.3,3.3,5.0,7.7,8.6,7.3,10.3,8.9,6.9,11.1,3.5,0.4,3.2,6.0,4.9,8.4,9.2,7.6,8.3,6.3,7.2,9.8,9.7,11.4,10.8,7.7,4.9,6.1,7.6,5.7,1.3,-1.3,-5.4,-5.5,-4.6
New Zealand,2.3,2.3,2.3,2.5,2.8,2.9,2.7,2.3,3.3,3.2,3.5,3.4,3.9,4.3,4.0,4.2,4.1,3.1,2.4,2.5,2.7,3.2,3.6,3.8,3.5,3.6,3.9,4.0,4.3,4.2,2.9,2.8,0.1,-0.8,-0.7
Africa,-202.2,-216.3,-221.8,-218.1,-208.8,-213.3,-228.8,-235.2,-230.9,-239.5,-247.2,-259.6,-256.2,-291.1,-332.6,-355.8,-350.2,-367.3,-363.0,-348.2,-363.1,-288.2,-334.5,-299.8,-267.0,-279.1,-250.8,-276.4,-279.8,-289.7,-215.3,-237.6,-218.7,-230.5,-200.8
Algeria,-32.1,-33.3,-30.9,-30.8,-31.0,-32.8,-35.9,-35.0,-36.8,-51.2,-37.0,-50.6,-54.6,-61.1,-68.1,-72.3,-57.0,-55.8,-51.7,-44.9,-38.7,-38.2,-36.7,-33.4,-28.1,-28.9,-30.2,-28.7,-25.8,-26.4,-19.9,-20.0,-21.6,-21.8,-19.9
Egypt,-20.1,-21.7,-22.2,-20.9,-9.7,-9.7,-8.1,-6.1,3.0,2.0,-2.1,-2.4,-2.4,-0.8,-1.0,0.4,0.6,0.9,-2.6,-2.9,-4.4,-2.2,-6.6,-9.0,-7.2,-9.2,-5.4,-5.9,-5.0,-5.3,2.0,1.6,0.6,-3.5,-2.0
Nigeria,-74.9,-77.9,-82.2,-83.5,-87.8,-87.9,-96.5,-105.8,-98.0,-98.1,-110.0,-108.7,-93.3,-111.5,-123.2,-118.7,-115.5,-112.7,-103.3,-108.0,-122.3,-116.7,-118.4,-104.6,-106.3,-105.8,-88.4,-89.0,-93.2,-98.7,-75.5,-67.5,-56.1,-60.9,-55.0
South Africa,15.7,15.8,12.4,11.9,14.1,15.9,16.8,22.7,20.4,17.9,19.5,17.5,18.0,20.8,23.6,18.1,21.2,19.0,21.1,25.0,19.3,20.7,18.9,18.7,21.3,19.7,20.9,17.9,20.3,18.2,13.2,7.7,6.2,7.3,8.2
Middle-East,-606.4,-605.2,-640.9,-682.8,-665.1,-664.6,-661.0,-704.5,-762.3,-742.3,-777.2,-745.3,-702.1,-768.8,-803.2,-822.2,-827.4,-825.1,-853.8,-748.2,-756.6,-867.3,-856.7,-861.2,-840.4,-858.6,-981.9,-932.9,-919.6,-856.9,-792.8,-765.2,-851.2,-796.4,-741.9
Iran,-110.0,-120.2,-126.1,-129.1,-120.4,-121.0,-120.0,-119.6,-108.6,-109.1,-122.4,-111.4,-112.1,-133.7,-135.2,-125.1,-127.4,-130.8,-124.5,-115.7,-119.6,-118.5,-64.5,-59.5,-63.1,-63.3,-119.4,-116.3,-90.2,-30.5,-16.3,-29.7,-40.4,-60.1,-67.7
Kuwait,-32.6,-6.4,-37.6,-73.0,-63.5,-57.4,-59.9,-53.7,-60.3,-48.0,-60.7,-61.9,-48.8,-62.1,-71.0,-82.8,-86.2,-80.6,-87.8,-67.2,-68.8,-87.9,-101.3,-102.6,-101.1,-99.3,-107.5,-102.5,-103.6,-100.5,-96.1,-92.0,-93.4,-77.9,-58.7
Qatar,-16.7,-16.2,-18.8,-17.8,-16.9,-16.7,-18.5,-22.9,-28.6,-29.2,-30.9,-31.8,-30.4,-36.7,-38.0,-39.2,-39.6,-42.9,-49.2,-45.9,-44.9,-49.2,-50.4,-51.0,-51.4,-51.7,-50.5,-43.1,-42.8,-41.0,-42.3,-41.0,-41.8,-41.6,-41.2
Saudi Arabia,-241.7,-325.3,-328.1,-326.2,-320.4,-323.2,-313.9,-325.5,-339.1,-305.2,-311.7,-300.8,-293.3,-342.9,-339.8,-360.5,-351.7,-345.3,-357.6,-295.9,-290.2,-352.7,-371.3,-376.6,-356.9,-357.3,-377.7,-358.1,-369.0,-356.1,-341.3,-320.3,-357.2,-321.0,-287.5
United Arab Emirates,-93.6,-100.7,-94.5,-92.8,-92.0,-91.1,-91.9,-93.6,-94.8,-95.7,-90.5,-89.1,-81.6,-90.9,-101.4,-104.9,-115.7,-114.5,-116.9,-100.2,-106.9,-122.3,-126.5,-134.5,-127.3,-124.5,-120.2,-112.1,-108.4,-115.5,-107.4,-99.9,-121.1,-112.4,-111.2
