iso3,year,exports_energy_usd,exports_industrial_metals_usd,exports_precious_usd,exports_agriculture_usd,exports_livestock_usd,total_exports_usd,gdp_usd,share_energy,expgdp_energy,share_industrial_metals,expgdp_industrial_metals,share_precious,expgdp_precious,share_agriculture,expgdp_agriculture,share_livestock,expgdp_livestock
AGO,2004,12354817267.36,5165.861,0,15987.373,0,13253676784.371,2.6998e+10,0.932180365370691,0.457619722474257,3.89768143892847e-07,1.91342358693237e-07,0,0,1.20625945992984e-06,5.92168790280762e-07,0,0
AGO,2005,22519968662.634,5539.576,0,55.211,0,23668205179.913,4.1397e+10,0.951486117829775,0.544000016006812,2.34051376430579e-07,1.33815880377805e-07,0,0,2.33270751120821e-09,1.3336956784308e-09,0,0
AGO,2006,30485043549.089,0,0,0,0,31844185776.488,5.8654e+10,0.957318983222284,0.519743641509343,0,0,0,0,0,0,0,0
AGO,2007,42286185648,0,0,0,0,44177783071,7.3038e+10,0.957182156018107,0.578961439907993,0,0,0,0,0,0,0,0
AGO,2008,63570786153.884,0,0,76187.144,0,65772699298.792,9.879e+10,0.966522384387705,0.643494140640591,0,0,0,0,1.15833993149494e-06,7.71202996254682e-07,0,0
AGO,2009,39262457163,0,0,0,0,40639411732,8.1705e+10,0.966117753424177,0.480539222360933,0,0,0,0,0,0,0,0
AGO,2010,50788866848,0,0,0,0,52612114761,9.5547e+10,0.965345473732002,0.531558990318901,0,0,0,0,0,0,0,0
AGO,2011,64140141220,0,0,0,0,66427390220,1.25552e+11,0.965567682360772,0.510865149260864,0,0,0,0,0,0,0,0
AGO,2012,68863266749,0,0,0,0,70863076413,1.43573e+11,0.971779242939654,0.479639394238471,0,0,0,0,0,0,0,0
AGO,2013,65464178236,0,0,0,0,67712526547,1.53761e+11,0.966795681306628,0.425752812715838,0,0,0,0,0,0,0,0
AGO,2014,56439535479,0,0,0,0,58672369190,1.64448e+11,0.96194403359153,0.343205970756713,0,0,0,0,0,0,0,0
AGO,2015,31791571471.99,42609.91,0,4653239.88,0,33924937478.31,1.31661e+11,0.937115108681218,0.24146536538527,1.25600555718762e-06,3.23633498150553e-07,0,0,0.000137162813725893,3.53425834529587e-05,0,0
AGO,2016,25915846017.92,49864.26,0,2181476.7,0,28057499522.39,1.14764e+11,0.923669124443504,0.225818601808233,1.77721681720811e-06,4.34493917953365e-07,0,0,7.77502178431536e-05,1.90083710919801e-05,0,0
AGO,2017,32922668615.07,181501.43,495.05,14732206.46,0,34904881109.37,1.39835e+11,0.943211022891355,0.23543940083005,5.19988678463875e-06,1.29796853434405e-06,1.41828301448392e-08,3.54024385883363e-09,0.000422067229332153,0.000105354213608896,0,0
AGO,2018,38758825835.676,126627.938,0,5627512.569,0,40664718814.96,1.14189e+11,0.953131534292502,0.339426966132254,3.1139509060964e-06,1.10893289195982e-06,0,0,0.000138388085126257,4.92824402438063e-05,0,0
AGO,2019,33246346350.919,18132.705,0,13511977.926,0,35432454858.832,9.4671e+10,0.938302087263703,0.351177724444856,5.11754126894208e-07,1.91533891054283e-07,0,0,0.000381344673402779,0.000142725627974776,0,0
AGO,2020,19590339931.472,121863.774,0,5258817.669,0,22134505473.377,6.6521e+10,0.885058848729868,0.294498578365809,5.50560183721184e-06,1.83195944137941e-06,0,0,0.000237584601803063,7.90550002104599e-05,0,0
AGO,2021,31201228326.546,1366009.418,3058992.774,2820544.611,0,34472161956.832,8.4375e+10,0.905113765873401,0.369792335722027,3.96264504590862e-05,1.61897412503704e-05,8.87380599403845e-05,3.62547291733333e-05,8.18209375591832e-05,3.34286768711111e-05,0,0
AGO,2022,47340268682.073,2490948.024,5735824.587,2838662.447,0,51274951711.647,1.42442e+11,0.92326305733643,0.332347683141721,4.85802119913881e-05,1.74874547113913e-05,0.000111864066089352,4.0267790307634e-05,5.53615820637663e-05,1.99285494938291e-05,0,0
AGO,2023,35062043907.911,5343086.596,2377350.191,3961689.154,0,39505783208.732,1.12483e+11,0.887516739578554,0.31170971531619,0.000135248213350673,4.75012810469138e-05,6.01772702097584e-05,2.11351954606474e-05,0.000100281245737316,3.52203368864628e-05,0,0
AGO,2024,34156111616.4,2758481.7,2776467.63,2001234.2,0,39250263061.7,1.15214e+11,0.870213571886329,0.29645799656639,7.02793175083634e-05,2.39422439981252e-05,7.07375546919391e-05,2.40983528911417e-05,5.09865168764381e-05,1.73697137500651e-05,0,0
ARE,2000,28756309898,894085323,14745394,41694139,0,37719889281,1.02987e+11,0.762364642265398,0.279222716439939,0.0237032859863235,0.0086815357569402,0.000390918273650062,0.00014317723596182,0.00110536217880687,0.000404848563410916,0,0
ARE,2001,22148459445,781028655,514741636,39851986,0,32669157299,1.03312e+11,0.67796237418337,0.214384190074725,0.0239072176809381,0.00755990257666099,0.0157561957074343,0.00498239929533839,0.00121986574784468,0.00038574401811987,0,0
ARE,2002,22847243667,677250762,535296763,89171717,0,52163400000,1.09816e+11,0.437993759360011,0.208050226442413,0.0129832557310298,0.0061671410541269,0.0102619224015306,0.00487448789793837,0.00170946903384365,0.000812010244408829,0,0
