date,country,cds_spread,risk_free_rate,implied_V,implied_sigma_V,cca_converged,B_f,LCL_usd,sigma_lcl,convenience_yield
2015-01-04,Brazil,207.97,0.0255,613.638349600869,0.04887659163036217,True,631.8961,160.2673628759274,0.21649024802655198,-0.15466378480741275
2015-01-11,Brazil,201.92,0.0255,600.254701689251,0.05010111616343346,True,631.8961,164.16631832854327,0.21778215812940696,-0.18212621786809688
2015-01-18,Brazil,205.65,0.0255,613.7733947359453,0.050212662120599806,True,631.8961,164.74058305916728,0.21769124065400602,-0.16065271698389288
2015-01-25,Brazil,193.65,0.0255,609.3610968212992,0.05066945607793914,True,631.8961,167.3744289597118,0.21706984774871868,-0.17152313641973044
2015-02-01,Brazil,212.77,0.022,597.9950227333101,0.0503221936943393,True,622.0884000000001,144.93127013663783,0.23932827947842394,-0.1599159595464555
2015-02-08,Brazil,229.48,0.022,609.905370740927,0.04939009848358245,True,622.0884000000001,139.7179430311654,0.24150289632233052,-0.13269315302512558
2015-02-15,Brazil,235.35,0.022,643.9564264604035,0.04880233739016685,True,622.0884000000001,137.15209976232302,0.24207627214922844,-0.07466523347736367
2015-02-22,Brazil,235.89,0.022,631.6867202768159,0.04819106834149108,True,622.0884000000001,135.55427914934734,0.24135158036005602,-0.09161753568451705
2015-03-01,Brazil,235.88,0.0233999999999999,642.2709970332967,0.04958465018418223,True,626.0114799999998,139.31661473031954,0.24272838432174262,-0.07981015505748099
2015-03-08,Brazil,253.64,0.0233999999999999,633.3160850887415,0.04908733420301171,True,626.0114799999998,129.17953534174936,0.25367271947767583,-0.07889060932975009
2015-03-15,Brazil,302.25,0.0233999999999999,594.4275131739457,0.04811336630541619,True,626.0114799999998,121.72801077234331,0.25981150801503045,-0.13115713433027307
2015-03-22,Brazil,291.2898,0.0233999999999999,601.6677299139735,0.04831863967631379,True,626.0114799999998,122.47949148304409,0.2596572831266326,-0.12016084195405399
2015-03-29,Brazil,285.95,0.0233999999999999,599.5552185939156,0.047641495426588326,True,626.0114799999998,121.71219011100449,0.25763006184422194,-0.12261673853250557
2015-04-05,Brazil,259.48,0.0241,588.0586028588524,0.05285559475238865,True,627.97302,131.26473069520333,0.26741030782118635,-0.15528469712064494
2015-04-12,Brazil,245.19,0.0241,628.9785935967296,0.05356266116906852,True,627.97302,133.20250470822126,0.2678053919731544,-0.09080716874343352
2015-04-19,Brazil,241.81,0.0241,652.0344339068672,0.0541380577829501,True,627.97302,134.72240782937013,0.2682083184450355,-0.05698856750205279
2015-04-26,Brazil,220.11,0.0241,657.7935568454378,0.0559202596129238,True,627.97302,138.7946010247075,0.27029294117102004,-0.05397388600339666
2015-05-03,Brazil,237.95,0.0233,650.1663934316211,0.05444953988544984,True,625.73126,131.8555553026922,0.27349466194495314,-0.055829048404861636
2015-05-10,Brazil,222.26,0.0233,648.3478280004731,0.055155911230565444,True,625.73126,133.68798661814623,0.27396467487029863,-0.0612616090135366
2015-05-17,Brazil,228.93,0.0233,663.2911591363807,0.05481650277331127,True,625.73126,132.6227120211186,0.2739912880592644,-0.036932625660104614
2015-05-24,Brazil,220.46,0.0233,658.2800902447838,0.05379234681152967,True,625.73126,128.43713684132246,0.2754798066017218,-0.038372555856361124
2015-05-31,Brazil,231.01,0.0269,648.9420370254275,0.051691785283823115,True,635.8191800000001,121.36549541922707,0.27631633097100733,-0.040626023542028024
2015-06-07,Brazil,247.9,0.0269,647.701295384206,0.052261688035552374,True,635.8191800000001,122.75477896822359,0.2767486913287678,-0.04456448120830427
2015-06-14,Brazil,242.18,0.0269,635.4539126098311,0.05257280174115666,True,635.8191800000001,123.75043216075326,0.27663222488417627,-0.06512244127071135
2015-06-21,Brazil,240.17,0.0269,633.353475753165,0.05290174221849232,True,635.8191800000001,124.58786142389096,0.2768330566632799,-0.06965273377773792
2015-06-28,Brazil,256.0898,0.0269,638.233465001129,0.05231971934858398,True,635.8191800000001,123.31435150479783,0.27616753872870126,-0.06013858750377405
2015-07-05,Brazil,249.89,0.0285,653.4570924683118,0.051039559428545586,True,640.3027000000001,120.66602386118919,0.27427891625080997,-0.03195198478536301
2015-07-12,Brazil,251.79,0.0285,640.7945456714409,0.0507225325985773,True,640.3027000000001,119.72796005359916,0.27428469797431776,-0.050134425146615855
2015-07-19,Brazil,262.49,0.0285,641.7194776531694,0.050356630668348945,True,640.3027000000001,118.64994313961014,0.27428971368466715,-0.047097589294664496
2015-07-26,Brazil,293.25,0.0285,621.971628925754,0.04911345311570846,True,640.3027000000001,112.72652403700468,0.2780424144946168,-0.06938584124112063
2015-08-02,Brazil,288.8699,0.0277,605.4617867181294,0.04814056685827052,True,638.0609400000001,109.60366713020095,0.2787813322327535,-0.09199767880423357
2015-08-09,Brazil,327.8999,0.0277,584.5779111871559,0.04729357491699708,True,638.0609400000001,106.92254146768151,0.27934643538385934,-0.12304976091814113
2015-08-16,Brazil,300.5698,0.0277,589.8871884924954,0.04751065426716259,True,638.0609400000001,107.61625928999165,0.2791842331267866,-0.11505841306512579
2015-08-23,Brazil,336.74,0.0277,583.4898476674858,0.04733232329722908,True,638.0609400000001,107.11753244163364,0.2791923285326064,-0.12521291099815784
2015-08-30,Brazil,327.0698,0.0277,548.4840095747945,0.046318474497786664,True,638.0609400000001,104.67639564069201,0.2785574671109929,-0.1834344720136781
2015-09-06,Brazil,375.1199,0.0255,593.9844041975949,0.04825237662891824,True,631.8961,108.35801475315829,0.28170331433041984,-0.11021459859460253
2015-09-13,Brazil,392.8799,0.0255,583.6222451452874,0.047484977638456397,True,631.8961,107.62488091078171,0.2792873675707569,-0.12682662342501858
2015-09-20,Brazil,390.3398,0.0255,588.3017510392045,0.046789878659264095,True,631.8961,105.56710750811767,0.27952893540514623,-0.11573760997501742
2015-09-27,Brazil,489.5098,0.0255,590.897189227176,0.04639615001758847,True,631.8961,104.7215042861859,0.27910363243992736,-0.1100815284651343
2015-10-04,Brazil,521.3599,0.0262,612.1240179208155,0.04876142088796395,True,633.8576400000001,111.8220016481952,0.2781485949828469,-0.08514258733537375
2015-10-11,Brazil,410.8398,0.0262,637.0137866807177,0.051348933040266866,True,633.8576400000001,116.78287704329465,0.28199191588725836,-0.052480707268417415
2015-10-18,Brazil,435.3699,0.0262,605.4821249882733,0.050144623229303915,True,633.8576400000001,112.06388831373455,0.2842068160774489,-0.09612512620414447
2015-10-25,Brazil,445.24,0.0262,600.1067664460282,0.050685255669936397,True,633.8576400000001,113.33049478503534,0.2845864359778781,-0.10691007389067297
2015-11-01,Brazil,429.6699,0.025,604.7805861233854,0.055350334061804604,True,630.4950000000001,121.36819556847857,0.2924728666882882,-0.11117326655609952
2015-11-08,Brazil,401.45,0.025,602.7021987550775,0.05627505525872017,True,630.4950000000001,124.11092677629928,0.2921992819905441,-0.11865470685062285
2015-11-15,Brazil,426.99,0.025,569.4548327458887,0.05544570780561158,True,630.4950000000001,121.70986687003104,0.29235186720198136,-0.1718685306599144
2015-11-22,Brazil,388.6199,0.025,605.3508187880293,0.05721113407335892,True,630.4950000000001,126.32008909423288,0.2928043937084678,-0.11746360360932859
2015-11-29,Brazil,415.4199,0.025,607.0151282139698,0.05590661320085743,True,630.4950000000001,121.68178428874883,0.2943514269709409,-0.10783531430153043
2015-12-06,Brazil,435.1199,0.0269,590.1599937707146,0.0573953921519621,True,635.8191800000001,124.75789340904127,0.2956911580869044,-0.13953018945731996
2015-12-13,Brazil,485.73,0.0269,561.8172638699182,0.056112883655357236,True,635.8191800000001,120.86330512631993,0.2962879763639552,-0.1829954478969807
2015-12-20,Brazil,490.2798,0.0269,561.7190708989106,0.05511753067892209,True,635.8191800000001,117.54447926101417,0.2973008726549169,-0.17821391299142095
2015-12-27,Brazil,482.5698,0.0269,591.3029384918106,0.055585142323848716,True,635.8191800000001,118.62110824636369,0.29757968916735017,-0.12845996120809236
2016-01-03,Brazil,488.99,0.0260999999999999,561.9798159711639,0.05799085219589446,True,610.9855079999998,129.02067748617685,0.2852348289299222,-0.166271892647456
2016-01-10,Brazil,480.7998,0.0260999999999999,544.6852518554373,0.056971013999012256,True,610.9855079999998,126.97662365815607,0.2840039194020482,-0.19452465829472584
2016-01-17,Brazil,491.73,0.0260999999999999,555.2450742604956,0.056680431928236366,True,610.9855079999998,126.24076428139638,0.2838746437016484,-0.17422244541510049
2016-01-24,Brazil,468.7998,0.0260999999999999,557.4296704570934,0.05599425539489917,True,610.9855079999998,124.80481646576295,0.2831291848852051,-0.1681696400447158
2016-01-31,Brazil,462.6299,0.0249,565.3613623731762,0.04650039839520788,True,607.7427720000001,118.10019395636718,0.25100411961869884,-0.1456804922671357
2016-02-07,Brazil,456.8398,0.0249,564.5654814701186,0.04725480985480271,True,607.7427720000001,120.98091683725904,0.25028414357066536,-0.15149561352640742
2016-02-14,Brazil,482.0298,0.0249,561.0239679564622,0.04641884858571126,True,607.7427720000001,117.98685403834801,0.2507877276535682,-0.15321519156673796
2016-02-21,Brazil,457.5898,0.0249,567.562399245755,0.04621136548387495,True,607.7427720000001,117.43432193053789,0.25063405963986446,-0.140788956855771
2016-02-28,Brazil,446.2998,0.0249,585.8448304441437,0.04612227153606089,True,607.7427720000001,118.26548133040153,0.24896080807089224,-0.11039998025646067
2016-03-06,Brazil,395.75,0.022,597.452317041799,0.055134516893970184,True,599.90616,133.51008682528567,0.26768615811012064,-0.1143584033145274
2016-03-13,Brazil,376.23,0.022,609.290343455019,0.0565037152517784,True,599.90616,140.1150743817359,0.2647022459018842,-0.10464273162933746
2016-03-20,Brazil,351.1399,0.022,622.8930119668187,0.05608480280317319,True,599.90616,138.49394142253232,0.2650635586157959,-0.08015519159812329
2016-03-27,Brazil,382.3599,0.022,619.0931185550164,0.055505238028877496,True,599.90616,136.2554729882826,0.2655850702630842,-0.08293963502078758
2016-04-03,Brazil,351.5698,0.0227999999999999,608.6300380950398,0.05393584055288869,True,602.0679839999998,121.5239610697273,0.27963645608147947,-0.07697193013372536
2016-04-10,Brazil,374.0298,0.0227999999999999,625.8199772289446,0.05342032104966351,True,602.0679839999998,120.29744966418286,0.2792766761146023,-0.04727805878823858
2016-04-17,Brazil,336.21,0.0227999999999999,635.7530576661428,0.054162043944800765,True,602.0679839999998,122.23222824496071,0.27953850687732085,-0.034448975386284275
2016-04-24,Brazil,349.49,0.0227999999999999,638.8679997663791,0.053368884277320436,True,602.0679839999998,121.15687140718072,0.27774207535426987,-0.028018253364901973
2016-05-01,Brazil,330.8198,0.0220999999999999,653.424126098351,0.0514518452054939,True,600.1763879999997,117.77793211066134,0.2745661668729812,-0.0007899570051337727
2016-05-08,Brazil,330.6199,0.0220999999999999,612.090422833138,0.05067271063986413,True,600.1763879999997,115.5402080381728,0.274590901824271,-0.06272250509729803
2016-05-15,Brazil,320.6599,0.0220999999999999,635.5054633793475,0.050312116697802535,True,600.1763879999997,114.50429959879486,0.2746121469908337,-0.02359726325080184
2016-05-22,Brazil,338.74,0.0220999999999999,624.1586495571099,0.05012832305571626,True,600.1763879999997,114.94941651592603,0.27305742189360227,-0.04236097470660681
2016-05-29,Brazil,341.5598,0.0220999999999999,619.6520131145899,0.04812568499364169,True,600.1763879999997,112.04401709678739,0.26846702051816446,-0.04534128079553258
2016-06-05,Brazil,328.3799,0.0222,636.1769721544782,0.05064826397217052,True,600.4466160000001,117.085499733929,0.27202743828124953,-0.026552549680326488
2016-06-12,Brazil,337.8699,0.0222,642.2614445883889,0.052263501696662704,True,600.4466160000001,120.68755920016248,0.27367872376665503,-0.022439962439649467
2016-06-19,Brazil,330.6199,0.0222,632.3798524345831,0.05227302952910518,True,600.4466160000001,120.77833274531751,0.2735829844012171,-0.03808696688492022
2016-06-26,Brazil,334.9299,0.0222,622.3457331832617,0.05282372109485556,True,600.4466160000001,122.29672667381207,0.27370919635797075,-0.056375499506971724
2016-07-03,Brazil,320.6899,0.0202,621.7246956522791,0.05207987719835757,True,595.042056,120.58238236582679,0.2732044770403957,-0.05558223012509224
2016-07-10,Brazil,300.2798,0.0202,601.0219892986618,0.05140243765201911,True,595.042056,118.22934599641144,0.27380915978715803,-0.08585008168954647
2016-07-17,Brazil,290.8899,0.0202,610.3327666139741,0.05161435622667968,True,595.042056,118.89662495224181,0.2737213336682477,-0.07149522630205617
2016-07-24,Brazil,279.3298,0.0202,608.6866747834822,0.050826716768868754,True,595.042056,119.82925463395452,0.26877187186234514,-0.07581778660665768
2016-07-31,Brazil,283.3899,0.0182,604.6449554643641,0.0513944003978431,True,589.637496,122.29636822731769,0.2677588819901229,-0.08697132774636945
2016-08-07,Brazil,262.96,0.0182,620.120284326729,0.05236301507621109,True,589.637496,125.48657011359349,0.2673545327642753,-0.06652465006833311
2016-08-14,Brazil,252.31,0.0182,627.6859872705579,0.052068243962688415,True,589.637496,124.44568233546353,0.26757269070366996,-0.052822740242511095
2016-08-21,Brazil,248.55,0.0182,630.2105937405054,0.05191522957817956,True,589.637496,124.00469552427735,0.26754388443528,-0.0481453661583778
2016-08-28,Brazil,254.44,0.0182,638.6056350448625,0.05105203879558408,True,589.637496,121.66071158074611,0.2671817411066472,-0.031387294542450365
2016-09-04,Brazil,252.05,0.0189,622.8625680002003,0.05034365397479497,True,591.529092,120.67567336018658,0.26542640523336286,-0.05468196088495253
2016-09-11,Brazil,252.05,0.0189,621.9633401784383,0.050126520622650675,True,591.529092,120.05863767756605,0.2653750268668783,-0.055193283875701854
2016-09-18,Brazil,268.47,0.0189,626.1407737070656,0.05006810757973939,True,591.529092,120.47916516316891,0.2644776471418333,-0.04917026399096913
2016-09-25,Brazil,268.2598,0.0189,614.5040820609181,0.050233112675783474,True,591.529092,121.11585169025363,0.2642694560770195,-0.06890220344444768
2016-10-02,Brazil,265.8899,0.0202,608.9178308403549,0.04901447851170164,True,595.042056,122.51259890920672,0.25658421410779875,-0.0799413289273691
2016-10-09,Brazil,264.8899,0.0202,637.0972262784911,0.04877535298914415,True,595.042056,124.03442012085192,0.25330208248509656,-0.037104027236638554
2016-10-16,Brazil,263.1099,0.0202,627.9196369871463,0.04814790871228445,True,595.042056,124.6255737617067,0.2495999258675595,-0.05261399591868578
2016-10-23,Brazil,255.5,0.0202,617.7190958997184,0.04886504016756807,True,595.042056,126.75852000823154,0.24988084136976627,-0.07219627987111199
2016-10-30,Brazil,269.8699,0.0202,618.1017361405671,0.046321698106716346,True,595.042056,124.56965381982451,0.24123687813929726,-0.06850462341592203
2016-11-06,Brazil,278.3899,0.0217,596.6433647758108,0.04555820597380281,True,599.095476,122.02189578895026,0.2410997596028504,-0.09941058326606127
2016-11-13,Brazil,306.5598,0.0217,587.9265229884968,0.04463645202493897,True,599.095476,116.34398122060465,0.2449912952166732,-0.10539387843974513
2016-11-20,Brazil,305.8198,0.0217,605.5502077921251,0.04409403969861091,True,599.095476,116.61623700047372,0.24193287053042722,-0.07634881015235746
2016-11-27,Brazil,303.1599,0.0217,608.3492279036807,0.043174370731513145,True,599.095476,115.2944153413292,0.23938534680852286,-0.0697742907791153
2016-12-04,Brazil,308.7998,0.0254,637.6163225153474,0.042320168569295186,True,609.093912,112.52763168087964,0.23899726965885482,-0.01694001310787794
2016-12-11,Brazil,286.6299,0.0254,649.7039568609395,0.04328978812786241,True,609.093912,115.75801513908307,0.23892075598174659,-0.003123060383489782
2016-12-18,Brazil,286.0698,0.0254,643.5870700824175,0.04283534338347855,True,609.093912,115.29653180544445,0.2373565952069506,-0.011909101811517123
2016-12-25,Brazil,276.1799,0.0254,644.2459277467035,0.0446629109837628,True,609.093912,119.5632973752475,0.24001220616563812,-0.01734837272944107
2017-01-01,Brazil,274.3599,0.0283999999999999,659.5041348202747,0.04594408590399589,True,617.2007519999997,127.79039491964701,0.2343491225879977,-0.005083915665858366
2017-01-08,Brazil,253.99,0.0283999999999999,674.3237404503747,0.04566023782143526,True,626.5480219999997,129.0007123967414,0.23398072143035253,0.003176637921887701
2017-01-15,Brazil,246.19,0.0283999999999999,667.9806609433973,0.04567534706391616,True,626.5480219999997,129.1171690579918,0.2338980914369085,-0.006449197327152437
2017-01-22,Brazil,248.99,0.0283999999999999,674.8857111491997,0.04632025263279668,True,626.5480219999997,131.2466623808182,0.23411109893602747,0.0006796749670348531
2017-01-29,Brazil,240.51,0.0283999999999999,685.8743071011434,0.0451220985343629,True,626.5480219999997,132.41538820131845,0.22709550389797475,0.014969768588757155
2017-02-05,Brazil,234.87,0.0275,684.0799015214455,0.044275855558910095,True,624.0791375,126.72612122683316,0.23056680060551535,0.020414053610514234
2017-02-12,Brazil,221.89,0.0275,680.7227132177978,0.043977263967645404,True,624.0791375,126.80118656695053,0.22904483374285403,0.015354824814931334
2017-02-19,Brazil,227.23,0.0275,687.5484258887567,0.04408659896239386,True,624.0791375,127.2515786822518,0.22897003530489446,0.0246595933326448
2017-02-26,Brazil,218.6,0.0275,686.5509321003108,0.04400635500641376,True,624.0791375,126.99477616146461,0.2289272231415303,0.023589579090968524
2017-03-05,Brazil,213.51,0.0276,682.8866866651397,0.03640165316436443,True,624.3534579999999,124.30614525864591,0.19464154319873783,0.0219070474246853
2017-03-12,Brazil,228.87,0.0276,675.6212426354167,0.03490249763053101,True,624.3534579999999,123.36498954231314,0.1880135073077845,0.012582390078852524
2017-03-19,Brazil,209.2,0.0276,680.046039464292,0.035453242666831954,True,624.3534579999999,125.27053940965483,0.1886025867925023,0.016261356373766758
2017-03-26,Brazil,230.96,0.0276,672.8187249326965,0.03519507697289592,True,624.3534579999999,124.59275236523321,0.18807092526720878,0.006587553759371246
