date,SPX_Index,MXEF_Index,VIX_Index,MOVE_Index,DXY_Curncy,JPEIDIVR_Index,USGG10YR_Index,USGG2YR_Index,USGG30YR_Index,r_SPX_Index,r_MXEF_Index,r_VIX_Index,r_MOVE_Index,r_DXY_Curncy,r_JPEIDIVR_Index,d_USGG10YR_Index,d_USGG2YR_Index,d_USGG30YR_Index
2000-01-07,1441.47,492.1,21.72,98.89,100.72,171.98,6.515,6.308,6.546,,,,,,,,,
2000-01-14,1465.15,515.63,19.66,97.81,101.72,171.44,6.679,6.43,6.697,0.016294200080897,0.0467075061396942,-0.0996473803467142,-0.0109812999794983,0.00987955081782754,-0.00314483981742875,0.164000000000001,0.122,0.151
2000-01-21,1441.36,507.49,20.82,94.61,101.81,171.74,6.765,6.458,6.695,-0.0163705139808172,-0.0159124477233172,0.0573279484678024,-0.0332636425860482,0.000884390565185633,0.00174835407901686,0.0859999999999994,0.0280000000000005,-0.00199999999999978
2000-01-28,1360.16,499.05,26.14,96.6,104.48,170.88,6.658,6.557,6.452,-0.0579847724383962,-0.0167707151557144,0.227552645009253,0.0208155625021194,0.025887334409016,-0.00502014947250817,-0.106999999999999,0.0990000000000002,-0.243
2000-02-04,1424.37,515.43,21.54,102.58,104.29,173.54,6.549,6.618,6.271,0.0461272708131988,0.0322952126093901,-0.193555036467833,0.0600642407426495,-0.00182018539499929,0.0154465645935131,-0.109,0.0609999999999999,-0.181
2000-02-11,1387.12,529.45,24.42,118.86,104.1,175.2,6.604,6.645,6.269,-0.0264999554458303,0.026837228134478,0.125490796954316,0.147303347977393,-0.00182350451219815,0.0095200581369479,0.0549999999999997,0.0269999999999992,-0.00199999999999978
2000-02-18,1346.09,518.6,26,106.07,104.63,176.1,6.489,6.638,6.158,-0.0300255614825469,-0.0207058587718993,0.0626940693389235,-0.113847076421136,0.00507834177203215,0.00512383699986874,-0.115,-0.00699999999999967,-0.111
2000-02-25,1333.36,505.52,25.2,101.13,105.26,177.24,6.326,6.395,6.129,-0.00950202151994972,-0.0255452706393644,-0.0312525435041047,-0.0476924356032997,0.00600316253267774,0.00645273082912912,-0.163,-0.243,-0.0290000000000008
2000-03-03,1409.17,516.31,19.21,111.68,106,179.93,6.388,6.495,6.132,0.0552988063321296,0.0211197578169919,-0.271413017736912,0.099230821099983,0.00700561418643364,0.0150631400331385,0.0620000000000003,0.100000000000001,0.00300000000000011
2000-03-10,1395.07,518.63,21.24,94.85,105.71,181.57,6.383,6.537,6.176,-0.0100562853580488,0.00448335920168752,0.100455219593273,-0.163340942633039,-0.00273959833149551,0.00907336791814828,-0.00499999999999989,0.0419999999999998,0.0440000000000005
2000-03-17,1464.47,499.91,22.37,100.52,105.2,181.55,6.194,6.485,6,0.0485488090428694,-0.0367626372636316,0.0518345791283004,0.0580600162943679,-0.00483619547696179,-0.000110156422231,-0.189,-0.0519999999999996,-0.176
2000-03-24,1527.46,514.12,23.31,101.67,104.77,182.8,6.191,6.624,5.986,0.0421128228726273,0.0280286190216836,0.0411616775456274,0.0113755616116791,-0.00409582893873584,0.00686156115970515,-0.00300000000000011,0.138999999999999,-0.0140000000000002
2000-03-31,1498.58,499.4,24.11,102.31,105.44,181.24,6.004,6.479,5.828,-0.0190882320717467,-0.0290493233962579,0.0337442391454141,0.0062751456037784,0.00637459938932317,-0.00857053922111284,-0.187,-0.145,-0.157999999999999
