date,CO1_Comdty,CL1_Comdty,BCOMIN_Index,BCOMEN_Index,BCOMAG_Index,BCOMPR_Index,BCOM_Index,HG1_Comdty,LA1_Comdty,LN1_Comdty,CVT1_Comdty,HRC1_Comdty,FC1_Comdty,LC1_Comdty,W_1_Comdty,S_1_Comdty,C_1_Comdty,IOE1_Comdty,GC1_Comdty,r_CO1_Comdty,r_CL1_Comdty,r_BCOMIN_Index,r_BCOMEN_Index,r_BCOMAG_Index,r_BCOMPR_Index,r_BCOM_Index,r_HG1_Comdty,r_LA1_Comdty,r_LN1_Comdty,r_CVT1_Comdty,r_HRC1_Comdty,r_FC1_Comdty,r_LC1_Comdty,r_W_1_Comdty,r_S_1_Comdty,r_C_1_Comdty,r_IOE1_Comdty,r_GC1_Comdty
2000-01-07,23.09,24.22,80.7415,98.3473,74.0649,60.1012,90.7495,85.4,1652,8174,,,86.875,70.875,251.75,471.5,207,,282.9,,,,,,,,,,,,,,,,,,,
2000-01-14,25.47,28.02,80.9193,110.5436,76.0867,60.3034,95.2123,86.25,1653.5,8125,,,86.275,70.825,265,485.5,219,,284.9,0.0981016656249616,0.145739802783915,0.00219966833878171,0.116904921787072,0.0269317436864469,0.00335867882257279,0.0480061716442641,0.00990395511694508,0.000907578340924253,-0.00601265692628417,,,-0.00693043490088829,-0.000705716331336426,0.0512932943875502,0.0292601856578676,0.0563529365511322,,0.0070447631963404
2000-01-21,26.35,28.2,82.5525,115.557,76.7856,61.4223,97.4665,87.3,1739.5,8495,,,85.425,69.825,264.25,505.25,222.75,,289.7,0.0339669859960061,0.00640343703520685,0.0199820928404222,0.0443539014498464,0.00914364301914894,0.0183844745106594,0.0233995940875582,0.0121004069340875,0.0507034621701497,0.0445320269080938,,,-0.00990107098271231,-0.0142199338853395,-0.00283420123587508,0.0398740685523507,0.016978336534418,,0.0167076632714425
2000-01-28,25.68,27.22,80.5615,112.7096,77.8105,60.7134,96.5136,83.5,1730.5,8635,,,84.775,69.725,259.75,523.5,223.5,,283,-0.025755796165611,-0.0353699807207479,-0.0244135866841937,-0.0249493154042693,0.0132592609441549,-0.0116085298697914,-0.00982479816237625,-0.0445038309887469,-0.00518733151659845,0.0163459564747477,,,-0.00763810998965298,-0.00143317831768819,-0.0171759947710104,0.0354836740268611,0.0033613477027048,,-0.0233990071320669
2000-02-04,27.07,28.82,80.0825,120.3884,76.017,65.5659,98.9671,82.75,1720,9086,,,84.85,70.95,257,505.5,219.75,,310.4,0.0527136248044493,0.0571175933480559,-0.00596351459843802,0.0659085834014377,-0.0233193840341848,0.0768913121977395,0.0251035406133093,-0.00902261759963796,-0.00608609326789988,0.0509110557385686,,,0.000884303668533093,0.017416470092499,-0.0106435450841165,-0.0349889918500654,-0.0169208774883378,,0.0924148906658262
2000-02-11,27.82,29.44,81.6475,119.5027,76.3425,64.9163,98.7966,84.5,1704.25,9850,,,83.525,69.925,269.5,505.25,221.75,,311.1,0.0273290828690871,0.0212847032892998,0.0193538471532602,-0.00738421745966189,0.00427279552919302,-0.00995699592535182,-0.0017242804644475,0.020927520105956,-0.00919915956460393,0.0807366878467857,,,-0.0157390034374147,-0.0145521645180278,0.0474923054538321,-0.000494682176795713,0.00906008462440244,,0.00225261559452772
2000-02-18,26.22,29.51,80.5761,120.4818,75.9476,63.8093,98.3643,83.2,1642.75,9921,,,83.1,69.65,264.75,514.5,220.5,,305.2,-0.0592327081597435,0.00237489509417266,-0.0132091209686998,0.00815973892044219,-0.00518616620663703,-0.0171998000470914,-0.00438525785567023,-0.0155041865359653,-0.0367534644649172,0.00718226748376871,,,-0.00510128638141794,-0.00394053886220913,-0.0177824058675364,0.0181421989903736,-0.0056529263027878,,-0.0191471044932898
2000-02-25,27.48,30.35,80.2194,124.275,72.9382,61.1374,97.6421,81.5,1651,10145,,,83.275,70.525,248,497,213.25,,293,0.046935989018595,0.0280673285506592,-0.00443669860307594,0.0309981478017134,-0.0404311215471829,-0.0427751575458881,-0.00736918047821078,-0.0206443275803458,0.0050094981421509,0.0223272506100116,,,0.00210368221834045,0.0124845566622458,-0.0653572383165333,-0.0346055291774752,-0.0334325085151121,,-0.0407946903932341
2000-03-03,28.99,31.51,78.8462,131.0536,74.7977,60.7195,100.082,79.15,1595.5,10300,,,84.375,72.975,247.5,504,218.5,,290.3,0.0534924755794157,0.0375084382636759,-0.0172662614057186,0.0531095478425065,0.0251746285859324,-0.00685889167244191,0.0246810970994318,-0.029258233919796,-0.0341939982018298,0.0151629219578133,,,0.0131227651129509,0.034149659852118,-0.00201816415623757,0.0139862419747399,0.0243208281638561,,-0.00925773798648333
2000-03-10,28.94,31.76,78.6994,129.9445,75.3074,60.5375,100.0217,78.15,1580.75,10520,,,84.2,72.6,250,500,219.75,,290,-0.0017262217302263,0.00790268060975174,-0.00186358797054176,-0.00849896360218683,0.00679126770511385,-0.00300189080501845,-0.000602687524771106,-0.0127147294595353,-0.00928774877957572,0.0211343120739738,,,-0.00207622794441242,-0.0051519949094283,0.0100503358535011,-0.00796816964917735,0.00570452202964145,,-0.00103394805006474
