date,fx_ticker,fx_level,r_fx
2000-01-07,USDARS_Curncy,1,
2000-01-14,USDARS_Curncy,1,0
2000-01-21,USDARS_Curncy,0.9998,-0.000200020002667045
2000-01-28,USDARS_Curncy,1,0.000200020002667045
2000-02-04,USDARS_Curncy,0.9997,-0.000300045009001992
2000-02-11,USDARS_Curncy,0.9999,0.000200040008668645
2000-02-18,USDARS_Curncy,0.9996,-0.000300075021006344
2000-02-25,USDARS_Curncy,0.9997,0.000100035012337699
2000-03-03,USDARS_Curncy,1,0.000300045009001992
2000-03-10,USDARS_Curncy,0.9998,-0.000200020002667045
2000-03-17,USDARS_Curncy,0.9998,0
2000-03-24,USDARS_Curncy,0.9998,0
2000-03-31,USDARS_Curncy,0.9998,0
2000-04-07,USDARS_Curncy,0.9998,0
2000-04-14,USDARS_Curncy,0.9999,0.000100015002333697
2000-04-21,USDARS_Curncy,0.9991,-0.000800400242830808
2000-04-28,USDARS_Curncy,0.9997,0.000600360234162163
2000-05-05,USDARS_Curncy,0.9997,0
2000-05-12,USDARS_Curncy,0.9997,0
2000-05-19,USDARS_Curncy,0.9998,0.000100025006334948
2000-05-26,USDARS_Curncy,0.9997,-0.000100025006334948
2000-06-02,USDARS_Curncy,0.9997,0
2000-06-09,USDARS_Curncy,0.9998,0.000100025006334948
2000-06-16,USDARS_Curncy,0.9996,-0.000200060018672647
2000-06-23,USDARS_Curncy,0.9997,0.000100035012337699
2000-06-30,USDARS_Curncy,0.9999,0.000200040008668645
2000-07-07,USDARS_Curncy,0.9999,0
2000-07-14,USDARS_Curncy,0.9998,-0.000100015002333697
2000-07-21,USDARS_Curncy,0.9998,0
2000-07-28,USDARS_Curncy,0.9995,-0.000300105039015198
2000-08-04,USDARS_Curncy,0.9995,0
2000-08-11,USDARS_Curncy,0.9995,0
2000-08-18,USDARS_Curncy,0.9999,0.000400120041348896
2000-08-25,USDARS_Curncy,0.9999,0
2000-09-01,USDARS_Curncy,0.9992,-0.000700315170435808
2000-09-08,USDARS_Curncy,0.999,-0.000200180162814379
2000-09-15,USDARS_Curncy,0.9997,0.000700455324581542
2000-09-22,USDARS_Curncy,0.9994,-0.000300135063030468
2000-09-29,USDARS_Curncy,0.9994,0
2000-10-06,USDARS_Curncy,0.9992,-0.000200140098736695
2000-10-13,USDARS_Curncy,0.9992,0
2000-10-20,USDARS_Curncy,0.9994,0.000200140098736695
2000-10-27,USDARS_Curncy,0.9999,0.000500175071699113
2000-11-03,USDARS_Curncy,0.9995,-0.000400120041348896
2000-11-10,USDARS_Curncy,0.9991,-0.000400280201481912
2000-11-17,USDARS_Curncy,0.9997,0.000600360234162163
2000-11-24,USDARS_Curncy,0.9992,-0.000500275161767163
2000-12-01,USDARS_Curncy,0.9997,0.000500275161767163
2000-12-08,USDARS_Curncy,0.9987,-0.00100080072404608
