date,embi_ticker,embi_level,r_embi
2000-01-07,JPGCAR_Index,168.196,
2000-01-14,JPGCAR_Index,168.07,-0.000749406754752435
2000-01-21,JPGCAR_Index,168.314,0.00145072323768947
2000-01-28,JPGCAR_Index,167.096,-0.00726278497314858
2000-02-04,JPGCAR_Index,170.305,0.0190224496376556
2000-02-11,JPGCAR_Index,171.412,0.00647906819091659
2000-02-18,JPGCAR_Index,172.02,0.0035407337417448
2000-02-25,JPGCAR_Index,173.358,0.00774807135155875
2000-03-03,JPGCAR_Index,175.382,0.0116076316201665
2000-03-10,JPGCAR_Index,176.236,0.00485755381826802
2000-03-17,JPGCAR_Index,176.778,0.00307070215847549
2000-03-24,JPGCAR_Index,178.075,0.0073101017926156
2000-03-31,JPGCAR_Index,176.788,-0.00725353526753914
2000-04-07,JPGCAR_Index,175.891,-0.00508678959726794
2000-04-14,JPGCAR_Index,174.795,-0.00625062630627404
2000-04-21,JPGCAR_Index,175.5,0.00402518421258424
2000-04-28,JPGCAR_Index,176.838,0.00759501632971826
2000-05-05,JPGCAR_Index,172.459,-0.0250745321742887
2000-05-12,JPGCAR_Index,163.362,-0.0541909298208205
2000-05-19,JPGCAR_Index,163.206,-0.000955390680446477
2000-05-26,JPGCAR_Index,166.327,0.018942523646106
2000-06-02,JPGCAR_Index,173.432,0.041829861520025
2000-06-09,JPGCAR_Index,172.666,-0.004426499146156
2000-06-16,JPGCAR_Index,174.166,0.0086497748322758
2000-06-23,JPGCAR_Index,171.21,-0.0171179941956074
2000-06-30,JPGCAR_Index,173.023,0.0105336604211317
2000-07-07,JPGCAR_Index,175.948,0.0167639631995451
2000-07-14,JPGCAR_Index,177.593,0.00930591852948304
2000-07-21,JPGCAR_Index,177.741,0.000833019123182233
2000-07-28,JPGCAR_Index,176.935,-0.00454500100070909
2000-08-04,JPGCAR_Index,177.872,0.00528175700189948
2000-08-11,JPGCAR_Index,178.631,0.0042580351176662
2000-08-18,JPGCAR_Index,174.039,-0.0260428135785151
2000-08-25,JPGCAR_Index,176.424,0.013610776709486
2000-09-01,JPGCAR_Index,178.95,0.0142162484721382
2000-09-08,JPGCAR_Index,179.31,0.00200971429223795
2000-09-15,JPGCAR_Index,178.067,-0.00695626754020573
2000-09-22,JPGCAR_Index,176.804,-0.0071181095820636
2000-09-29,JPGCAR_Index,179.625,0.0158295700171855
2000-10-06,JPGCAR_Index,179.425,-0.00111405108305274
2000-10-13,JPGCAR_Index,176.307,-0.0175304996523229
2000-10-20,JPGCAR_Index,171.901,-0.0253080639562695
2000-10-27,JPGCAR_Index,169.522,-0.0139360177991632
2000-11-03,JPGCAR_Index,166.692,-0.0168349137051278
2000-11-10,JPGCAR_Index,168.01,0.00787570323805831
2000-11-17,JPGCAR_Index,170.882,0.0169497583818767
2000-11-24,JPGCAR_Index,172.307,0.00830450969914676
2000-12-01,JPGCAR_Index,173.382,0.00621948320749421
2000-12-08,JPGCAR_Index,177.83,0.0253307850257407
2000-12-15,JPGCAR_Index,178.069,0.00134307787280541
2000-12-22,JPGCAR_Index,181.671,0.0200262432932856
2000-12-29,JPGCAR_Index,183.106,0.00786786120061311
2001-01-05,JPGCAR_Index,187.712,0.0248436532327121
2001-01-12,JPGCAR_Index,188.499,0.00418382847922061
2001-01-19,JPGCAR_Index,189.915,0.00748390180612013
2001-01-26,JPGCAR_Index,192.065,0.0112572527618218
2001-02-02,JPGCAR_Index,193.99,0.00997275494086658
2001-02-09,JPGCAR_Index,193.153,-0.00432399038137277
2001-02-16,JPGCAR_Index,192.336,-0.00423877839974374
2001-02-23,JPGCAR_Index,188.545,-0.019907137374088
2001-03-02,JPGCAR_Index,187.646,-0.00477949611428485
2001-03-09,JPGCAR_Index,191.741,0.0215882939575733
2001-03-16,JPGCAR_Index,183.663,-0.0430429464479305
2001-03-23,JPGCAR_Index,171.121,-0.070731647973826
2001-03-30,JPGCAR_Index,176.493,0.0309103069208714
2001-04-06,JPGCAR_Index,180.924,0.0247958380545681
2001-04-13,JPGCAR_Index,183.218,0.012599647103821
2001-04-20,JPGCAR_Index,168.077,-0.0862544929546498
2001-04-27,JPGCAR_Index,172.42,0.0255111530478258
2001-05-04,JPGCAR_Index,171.426,-0.00578167417350173
2001-05-11,JPGCAR_Index,168.314,-0.0183204040821119
2001-05-18,JPGCAR_Index,176.597,0.0480390179569357
2001-05-25,JPGCAR_Index,179.025,0.0136551604099031
2001-06-01,JPGCAR_Index,174.298,-0.0267589829021668
2001-06-08,JPGCAR_Index,186.331,0.0667581840563871
2001-06-15,JPGCAR_Index,182.335,-0.0216790075673048
2001-06-22,JPGCAR_Index,177.975,-0.0242025634899825
2001-06-29,JPGCAR_Index,170.492,-0.0429547161882962
2001-07-06,JPGCAR_Index,161.85,-0.0520183944293873
2001-07-13,JPGCAR_Index,129.967,-0.219389408294905
2001-07-20,JPGCAR_Index,140.554,0.0783111844931357
2001-07-27,JPGCAR_Index,132.789,-0.0568303542841555
2001-08-03,JPGCAR_Index,135.028,0.0167207620535654
2001-08-10,JPGCAR_Index,145.986,0.0780285623597044
2001-08-17,JPGCAR_Index,141.896,-0.0284163317963131
2001-08-24,JPGCAR_Index,145.443,0.0246898623758547
2001-08-31,JPGCAR_Index,149.02,0.0242962678464416
