country,n,n_crash,p_jump_crash,p_jump_norm,ratio
Angola,684,64,0.296875,0.0258064516129032,11.50390625
Ecuador,1307,133,0.172932330827068,0.0366269165247019,4.72145479979017
Nigeria,1307,133,0.172932330827068,0.0366269165247019,4.72145479979017
Egypt,1271,128,0.171875,0.036745406824147,4.67745535714286
Colombia,1307,133,0.142857142857143,0.0400340715502555,3.56838905775076
Morocco,1307,133,0.120300751879699,0.0425894378194208,2.82466165413534
Brazil,1307,133,0.0977443609022556,0.045144804088586,2.16512980564619
