type_code,freq_code,ref_period_id,ref_year,ref_month,period,reporter_code,reporter_iso,reporter_desc,flow_code,flow_desc,partner_code,partner_iso,partner_desc,partner2code,partner2iso,partner2desc,classification_code,classification_search_code,is_original_classification,cmd_code,cmd_desc,aggr_level,is_leaf,customs_code,customs_desc,mos_code,mot_code,mot_desc,qty_unit_code,qty_unit_abbr,qty,is_qty_estimated,alt_qty_unit_code,alt_qty_unit_abbr,alt_qty,is_alt_qty_estimated,net_wgt,is_net_wgt_estimated,gross_wgt,is_gross_wgt_estimated,cifvalue,fobvalue,primary_value,legacy_estimation_flag,is_reported,is_aggregate,query_type
C,A,20090101,2009,52,2009,24,AGO,Angola,X,Export,0,W00,World,0,W00,World,H3,HS,TRUE,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,104186865776,FALSE,-1,N/A,,FALSE,104186865776,FALSE,,FALSE,,39262457163,39262457163,0,TRUE,FALSE,HS_2709
C,A,20090101,2009,52,2009,32,ARG,Argentina,X,Export,0,W00,World,0,W00,World,H3,HS,TRUE,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6432234310,FALSE,-1,N/A,,FALSE,6432234310,FALSE,,FALSE,,2466356802,2466356802,0,TRUE,FALSE,HS_2709
C,A,20090101,2009,52,2009,76,BRA,Brazil,X,Export,0,W00,World,0,W00,World,H3,HS,TRUE,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,0,FALSE,,9351031046,9351031046,0,FALSE,TRUE,HS_2709
C,A,20090101,2009,52,2009,144,LKA,Sri Lanka,X,Export,0,W00,World,0,W00,World,H3,HS,TRUE,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,38,FALSE,-1,N/A,,FALSE,38,FALSE,,FALSE,,120,120,0,TRUE,FALSE,HS_2709
C,A,20090101,2009,52,2009,170,COL,Colombia,X,Export,0,W00,World,0,W00,World,H3,HS,TRUE,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,20433737563,FALSE,-1,N/A,,FALSE,20433737563,FALSE,,FALSE,,8053481495,8053481495,0,TRUE,FALSE,HS_2709
C,A,20090101,2009,52,2009,218,ECU,Ecuador,X,Export,0,W00,World,0,W00,World,H3,HS,TRUE,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,16721352741,FALSE,-1,N/A,,FALSE,16721352741,FALSE,,FALSE,,6284131076,6284131076,0,TRUE,FALSE,HS_2709
C,A,20090101,2009,52,2009,360,IDN,Indonesia,X,Export,0,W00,World,0,W00,World,H1,HS,TRUE,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,17967053825,FALSE,-1,N/A,,FALSE,17967053825,FALSE,,FALSE,,7820256578,7820256578,0,FALSE,FALSE,HS_2709
C,A,20090101,2009,52,2009,384,CIV,Côte d'Ivoire,X,Export,0,W00,World,0,W00,World,H3,HS,TRUE,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2723771631,FALSE,8,kg,2723771631,FALSE,2723771631,FALSE,0,FALSE,,1146241953.856,1146241953.856,0,FALSE,TRUE,HS_2709
C,A,20090101,2009,52,2009,398,KAZ,Kazakhstan,X,Export,0,W00,World,0,W00,World,H3,HS,TRUE,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,67262228509,FALSE,-1,N/A,,FALSE,67262228509,FALSE,,FALSE,,26206871848,26206871848,0,TRUE,FALSE,HS_2709
C,A,20090101,2009,52,2009,484,MEX,Mexico,X,Export,0,W00,World,0,W00,World,H3,HS,TRUE,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,61161811704,FALSE,-1,N/A,,FALSE,61161811704,FALSE,,FALSE,,25693513265,25693513265,0,TRUE,FALSE,HS_2709
C,A,20090101,2009,52,2009,504,MAR,Morocco,X,Export,0,W00,World,0,W00,World,H2,HS,TRUE,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1600,FALSE,8,kg,1600,FALSE,1600,FALSE,0,FALSE,0,2457.459,2457.459,0,FALSE,TRUE,HS_2709
C,A,20090101,2009,52,2009,566,NGA,Nigeria,X,Export,0,W00,World,0,W00,World,H3,HS,TRUE,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,165649257,FALSE,-1,N/A,,FALSE,165649257,FALSE,,FALSE,,42212038172,42212038172,0,TRUE,FALSE,HS_2709
C,A,20090101,2009,52,2009,604,PER,Peru,X,Export,0,W00,World,0,W00,World,H3,HS,TRUE,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1037001924,FALSE,-1,N/A,,FALSE,1037001924,FALSE,,FALSE,,353214315,353214315,0,TRUE,FALSE,HS_2709
C,A,20090101,2009,52,2009,608,PHL,Philippines,X,Export,0,W00,World,0,W00,World,H2,HS,TRUE,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,862213516,FALSE,-1,N/A,,FALSE,862213516,FALSE,,FALSE,,225222991,225222991,0,TRUE,FALSE,HS_2709
C,A,20090101,2009,52,2009,616,POL,Poland,X,Export,0,W00,World,0,W00,World,H3,HS,TRUE,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,14965700,FALSE,8,kg,14965700,FALSE,14965700,FALSE,0,FALSE,0,4349927,4349927,0,FALSE,TRUE,HS_2709
