treatment_group,treatment_size,beta,pval,n_obs,is_true
Abu Dhabi,1,-0.009534214022866125,0.7469619976240274,901,False
Brazil,1,0.13630700822006872,1.8078191821313538e-06,901,False
Chile,1,-0.03025073267001354,0.3052536753221644,901,False
China,1,-0.1714965520395907,8.493041825374803e-10,901,False
Colombia,1,0.20731751515645414,2.375877272697835e-14,901,False
Dubai,1,0.037650154795926684,0.20154536263871448,901,False
Egypt,1,-0.042025152897224,0.15373422178458118,901,False
Indonesia,1,0.05479028006697768,0.0623340709213871,901,False
Malaysia,1,0.20413793980886039,6.88338275267597e-14,901,False
Mexico,1,0.14214806285473655,5.913805034563069e-07,901,False
Philippines,1,0.0685148820600896,0.01938782699991548,901,False
Qatar,1,-0.004772371652497118,0.871713519821129,901,False
Saudi Arabia,1,-0.03597172311839777,0.22248222184141375,901,False
South Africa,1,-0.11936370127971752,3.3830109048782475e-05,901,False
South Korea,1,-0.16074488981393198,1.13000238055605e-08,901,False
Thailand,1,-0.08147386469375388,0.005269117651298005,901,False
Turkey,1,-0.1952326407751216,1.1597389715234385e-12,901,False
"Abu Dhabi,Brazil",2,0.06761215690517473,0.23833775419285508,901,False
"Abu Dhabi,Chile",2,-0.02121863823620246,0.5100525228174155,901,False
"Abu Dhabi,China",2,-0.09654974189997696,0.1171007531607231,901,False
"Abu Dhabi,Colombia",2,0.10548442727124695,0.17533843527530957,901,False
"Abu Dhabi,Dubai",2,0.014995168412298981,0.6697027610970028,901,False
"Abu Dhabi,Egypt",2,-0.02749832902404803,0.40785523495557374,901,False
"Abu Dhabi,Indonesia",2,0.02413656855685945,0.5250764591639236,901,False
"Abu Dhabi,Malaysia",2,0.10378865375253027,0.1770281070747406,901,False
"Abu Dhabi,Mexico",2,0.07072738604366419,0.23020544740231963,901,False
"Abu Dhabi,Philippines",2,0.031456356286519195,0.43913334335430654,901,False
"Abu Dhabi,Qatar",2,-0.00763017902686044,0.8089462609703992,901,False
"Abu Dhabi,Saudi Arabia",2,-0.024269833142007483,0.45727484251679495,901,False
"Abu Dhabi,South Africa",2,-0.0687455548280446,0.14987512670897885,901,False
"Abu Dhabi,South Korea",2,-0.09081552204629233,0.12128181684245076,901,False
"Abu Dhabi,Thailand",2,-0.048537641982197316,0.21657323036092802,901,False
"Abu Dhabi,Turkey",2,-0.10920898922559338,0.11040372835695766,901,False
"Brazil,Chile",2,0.05656334696002945,0.3715003525425389,901,False
"Brazil,China",2,-0.018767756703745055,0.8602191282383953,901,False
"Brazil,Colombia",2,0.18326641246747877,3.7015755549596463e-07,901,False
"Brazil,Dubai",2,0.09277715360853095,0.03782884050600055,901,False
"Brazil,Egypt",2,0.05028365617218389,0.4512514763867148,901,False
"Brazil,Indonesia",2,0.10191855375309145,0.011972790679826595,901,False
"Brazil,Malaysia",2,0.18157063894876224,2.9960820735475124e-07,901,False
"Brazil,Mexico",2,0.14850937123989622,2.802190792738912e-07,901,False
"Brazil,Philippines",2,0.10923834148275119,0.003616324947229632,901,False
"Brazil,Qatar",2,0.07015180616937151,0.21029401638793654,901,False
"Brazil,Saudi Arabia",2,0.05351215205422453,0.41011732339373075,901,False
"Brazil,South Africa",2,0.009036430368187371,0.9202494292094623,901,False
"Brazil,South Korea",2,-0.013033536850060352,0.8994907465238264,901,False
"Brazil,Thailand",2,0.029244343214034667,0.7098347130007934,901,False
"Brazil,Turkey",2,-0.03142700402936144,0.782949409576968,901,False
"Chile,China",2,-0.10759855184512218,0.05299356882430528,901,False
"Chile,Colombia",2,0.0944356173261016,0.2625463734380096,901,False
"Chile,Dubai",2,0.003946358467153678,0.9187926834543161,901,False
"Chile,Egypt",2,-0.03854713896919336,0.22242096026866953,901,False
"Chile,Indonesia",2,0.013087758611714184,0.7566628165186207,901,False
"Chile,Malaysia",2,0.09273984380738497,0.26569636560453036,901,False
"Chile,Mexico",2,0.059678576098518926,0.35826955715354347,901,False
"Chile,Philippines",2,0.020407546341373952,0.652834351640494,901,False
"Chile,Qatar",2,-0.01867898897200575,0.5665789886608388,901,False
"Chile,Saudi Arabia",2,-0.03531864308715274,0.2612341319341609,901,False
"Chile,South Africa",2,-0.07979436477318991,0.06115472325061888,901,False
"Chile,South Korea",2,-0.10186433199143763,0.05341730263817768,901,False
"Chile,Thailand",2,-0.059586451927342646,0.09256199378284569,901,False
"Chile,Turkey",2,-0.12025779917073876,0.053112286094163075,901,False
"China,Colombia",2,0.01910451366232718,0.8824518390158875,901,False
"China,Dubai",2,-0.07138474519662076,0.3462143045219852,901,False
"China,Egypt",2,-0.11387824263296782,0.029387745610106375,901,False
"China,Indonesia",2,-0.06224334505206027,0.44249785405386466,901,False
"China,Malaysia",2,0.01740874014361054,0.891973671762861,901,False
"China,Mexico",2,-0.015652527565255536,0.8852176438324406,901,False
"China,Philippines",2,-0.05492355732240053,0.519627597358026,901,False
"China,Qatar",2,-0.09401009263578022,0.13573204251914373,901,False
"China,Saudi Arabia",2,-0.11064974675092723,0.04038740571132271,901,False
"China,South Africa",2,-0.15512546843696443,3.389341097559395e-06,901,False
"China,South Korea",2,-0.17719543565521212,2.0284884882926235e-10,901,False
"China,Thailand",2,-0.13491755559111712,0.0012482922473444624,901,False
"China,Turkey",2,-0.19558890283451325,2.1402879468723768e-12,901,False
"Colombia,Dubai",2,0.1306494239746031,0.039314426492258026,901,False
"Colombia,Egypt",2,0.08815592653825602,0.31633536678220087,901,False
"Colombia,Indonesia",2,0.13979082411916358,0.01645672265071485,901,False
"Colombia,Malaysia",2,0.2194429093148343,0.0,901,False
"Colombia,Mexico",2,0.18638164160596826,7.82129090382e-08,901,False
"Colombia,Philippines",2,0.14711061184882337,0.006698497984807705,901,False
"Colombia,Qatar",2,0.1080240765354437,0.15715874568204535,901,False
"Colombia,Saudi Arabia",2,0.09138442242029671,0.28840328169504725,901,False
"Colombia,South Africa",2,0.04690870073425956,0.6766984801435414,901,False
"Colombia,South Korea",2,0.024838733516011815,0.8434186894979483,901,False
"Colombia,Thailand",2,0.0671166135801068,0.5039669287840693,901,False
"Colombia,Turkey",2,0.006445266336710791,0.9624335974520692,901,False
"Dubai,Egypt",2,-0.00233333232069182,0.9547165793487311,901,False
"Dubai,Indonesia",2,0.04930156526021563,0.12049088441804412,901,False
"Dubai,Malaysia",2,0.12895365045588641,0.03906135044093095,901,False
"Dubai,Mexico",2,0.09589238274702044,0.03734676208726917,901,False
"Dubai,Philippines",2,0.05662135298987539,0.08412103889193978,901,False
"Dubai,Qatar",2,0.017534817676495743,0.6110133503405684,901,False
"Dubai,Saudi Arabia",2,0.000895163561348753,0.9820722452356856,901,False
"Dubai,South Africa",2,-0.04358055812468841,0.4723678960934352,901,False
"Dubai,South Korea",2,-0.06565052534293617,0.3657862386199531,901,False
"Dubai,Thailand",2,-0.023372645278841142,0.6429953146024596,901,False
"Dubai,Turkey",2,-0.08404399252223724,0.3108339402680109,901,False
"Egypt,Indonesia",2,0.006808067823868664,0.8795746640434716,901,False
"Egypt,Malaysia",2,0.08646015301953942,0.3203539823269561,901,False
"Egypt,Mexico",2,0.05339888531067333,0.4352885713925718,901,False
"Egypt,Philippines",2,0.014127855553528386,0.7697386034844185,901,False
"Egypt,Qatar",2,-0.024958679759851297,0.45999976308138857,901,False
"Egypt,Saudi Arabia",2,-0.04159833387499829,0.18506480817720994,901,False
"Egypt,South Africa",2,-0.08607405556103546,0.031096304499838467,901,False
"Egypt,South Korea",2,-0.10814402277928323,0.02891688320592145,901,False
"Egypt,Thailand",2,-0.06586614271518822,0.050304600961032175,901,False
"Egypt,Turkey",2,-0.1265374899585843,0.031095810446769123,901,False
"Indonesia,Malaysia",2,0.13809505060044688,0.01613810526046655,901,False
"Indonesia,Mexico",2,0.10503378289158094,0.012000287294655854,901,False
"Indonesia,Philippines",2,0.0657627531344359,0.03592723735379333,901,False
"Indonesia,Qatar",2,0.026676217821056277,0.4721872273335306,901,False
"Indonesia,Saudi Arabia",2,0.01003656370590928,0.8176356212686544,901,False
"Indonesia,South Africa",2,-0.034439157980127894,0.5996205651736339,901,False
"Indonesia,South Korea",2,-0.05650912519837561,0.46767167171431656,901,False
"Indonesia,Thailand",2,-0.014231245134280627,0.7958012216461767,901,False
"Indonesia,Turkey",2,-0.07490259237767675,0.3961738441932259,901,False
"Malaysia,Mexico",2,0.1846858680872517,6.227094151434187e-08,901,False
"Malaysia,Philippines",2,0.1454148383301067,0.006468469009363709,901,False
"Malaysia,Qatar",2,0.10632830301672702,0.1585449894386295,901,False
"Malaysia,Saudi Arabia",2,0.08968864890158004,0.2919755590222821,901,False
"Malaysia,South Africa",2,0.045212927215542875,0.6850946462001866,901,False
"Malaysia,South Korea",2,0.02314295999729515,0.8528086937277124,901,False
"Malaysia,Thailand",2,0.06542084006139016,0.5106201920748745,901,False
"Malaysia,Turkey",2,0.004749492817994051,0.9721043675537837,901,False
"Mexico,Philippines",2,0.11235357062124064,0.003659505392560325,901,False
"Mexico,Qatar",2,0.07326703530786098,0.20329351239293025,901,False
"Mexico,Saudi Arabia",2,0.05662738119271394,0.39552870342320046,901,False
"Mexico,South Africa",2,0.012151659506676784,0.8949943034319991,901,False
"Mexico,South Korea",2,-0.009918307711570902,0.9247689412601503,901,False
"Mexico,Thailand",2,0.032359572352524096,0.6871940650718606,901,False
"Mexico,Turkey",2,-0.028311774890872006,0.8070917793186256,901,False
"Philippines,Qatar",2,0.033996005550715976,0.3913700409350096,901,False
"Philippines,Saudi Arabia",2,0.01735635143556901,0.7104907283639403,901,False
"Philippines,South Africa",2,-0.02711937025046817,0.697002898037526,901,False
"Philippines,South Korea",2,-0.049189337468715906,0.5487003400547834,901,False
"Philippines,Thailand",2,-0.0069114574046208795,0.9064008584613932,901,False
"Philippines,Turkey",2,-0.06758280464801697,0.46543035955662404,901,False
"Qatar,Saudi Arabia",2,-0.021730183877810675,0.5117477392841483,901,False
"Qatar,South Africa",2,-0.06620590556384782,0.1764376520793305,901,False
"Qatar,South Korea",2,-0.08827587278209559,0.1411561266444583,901,False
"Qatar,Thailand",2,-0.045997992718000605,0.2534182446356388,901,False
"Qatar,Turkey",2,-0.1066693399613967,0.1267690932812342,901,False
"Saudi Arabia,South Africa",2,-0.08284555967899486,0.04479060369164767,901,False
"Saudi Arabia,South Korea",2,-0.1049155268972426,0.04027309727132189,901,False
"Saudi Arabia,Thailand",2,-0.0626376468331476,0.06959946193301225,901,False
"Saudi Arabia,Turkey",2,-0.12330899407654373,0.04147090278358223,901,False
"South Africa,South Korea",2,-0.14939124858327976,2.8297198639837262e-06,901,False
"South Africa,Thailand",2,-0.10711336851918475,0.001040644575744265,901,False
"South Africa,Turkey",2,-0.16778471576258092,8.332493819818154e-06,901,False
"South Korea,Thailand",2,-0.12918333573743246,0.0010697051946895186,901,False
"South Korea,Turkey",2,-0.18985468298082858,9.518119625795407e-11,901,False
"Thailand,Turkey",2,-0.14757680291673364,0.001865252832969455,901,False
"Abu Dhabi,Brazil,Chile",3,0.036770309153214886,0.47765908107795907,901,False
"Abu Dhabi,Brazil,China",3,-0.017037622035195397,0.8201703643482836,901,False
"Abu Dhabi,Brazil,Colombia",3,0.127272498801393,0.02567940469082397,901,False
"Abu Dhabi,Brazil,Dubai",3,0.06263731390214458,0.17571544185032506,901,False
"Abu Dhabi,Brazil,Egypt",3,0.03228481573332521,0.5441378810153523,901,False
"Abu Dhabi,Brazil,Indonesia",3,0.06916688543397344,0.13051030550194387,901,False
"Abu Dhabi,Brazil,Malaysia",3,0.1260612320023097,0.02587292140532349,901,False
"Abu Dhabi,Brazil,Mexico",3,0.10244604078169114,0.03687531816910927,901,False
"Abu Dhabi,Brazil,Philippines",3,0.0743953052408732,0.1028664377384707,901,False
"Abu Dhabi,Brazil,Qatar",3,0.04647635144560211,0.34399207152797917,901,False
"Abu Dhabi,Brazil,Saudi Arabia",3,0.034590884220497116,0.5097270054763055,901,False
"Abu Dhabi,Brazil,South Africa",3,0.0028225115876134303,0.9654629498052576,901,False
"Abu Dhabi,Brazil,South Korea",3,-0.012941750711134932,0.8590077933041262,901,False
"Abu Dhabi,Brazil,Thailand",3,0.017256735048932912,0.7693610857035469,901,False
"Abu Dhabi,Brazil,Turkey",3,-0.02607994155349285,0.7434620191323735,901,False
"Abu Dhabi,Chile,China",3,-0.080488189993322,0.10958243130318479,901,False
"Abu Dhabi,Chile,Colombia",3,0.06382193084326641,0.33396161229764565,901,False
"Abu Dhabi,Chile,Dubai",3,-0.0008132540559819751,0.9824685426310404,901,False
"Abu Dhabi,Chile,Egypt",3,-0.031165752224801366,0.3643123207388692,901,False
"Abu Dhabi,Chile,Indonesia",3,0.005716317475846868,0.8831285089192291,901,False
"Abu Dhabi,Chile,Malaysia",3,0.06261066404418311,0.3382691506788058,901,False
"Abu Dhabi,Chile,Mexico",3,0.03899547282356449,0.46088438743746685,901,False
"Abu Dhabi,Chile,Philippines",3,0.010944737282746668,0.7877162215454769,901,False
"Abu Dhabi,Chile,Qatar",3,-0.01697421651252448,0.6200286723991315,901,False
"Abu Dhabi,Chile,Saudi Arabia",3,-0.028859683737629503,0.3982897632567943,901,False
"Abu Dhabi,Chile,South Africa",3,-0.06062805637051315,0.14608338532453313,901,False
"Abu Dhabi,Chile,South Korea",3,-0.07639231866926158,0.11429403385508774,901,False
"Abu Dhabi,Chile,Thailand",3,-0.04619383290919372,0.21271576881909038,901,False
"Abu Dhabi,Chile,Turkey",3,-0.08953050951161948,0.102165876648735,901,False
"Abu Dhabi,China,Colombia",3,0.010013999654856087,0.9106669990418159,901,False
"Abu Dhabi,China,Dubai",3,-0.05462118524439233,0.34736871203323116,901,False
