date,country,CDS_observed,CDS_M0,CDS_M1,CDS_M2
2015-01-04,Abu Dhabi,69.65999,0.02000538923801702,56.31554634890795,216.3957225802351
2015-01-11,Abu Dhabi,71.7,0.01994235253742132,102.07487952545189,186.43719862910402
2015-01-18,Abu Dhabi,68.68999,0.020016211609362563,102.54008029493819,229.50925046375664
2015-01-25,Abu Dhabi,68.67999,0.020022750980922193,103.37199301135962,236.32283949888603
2015-02-01,Abu Dhabi,68.7,0.02014214025232993,129.23464802226644,241.81901351266265
2015-02-08,Abu Dhabi,70.17999,0.021397801880514086,180.49821079093573,253.16355681665115
2015-02-15,Abu Dhabi,70.17,0.021329258892263454,186.78641467114255,224.38766331047407
2015-02-22,Abu Dhabi,70.17999,0.02127571892287484,186.28952299846304,214.51866951368942
2015-03-01,Abu Dhabi,69.18999,0.021199282604699523,191.16022747151194,226.27437482980403
2015-03-08,Abu Dhabi,69.17999,0.021870978084478694,194.12628444880792,174.67596455492537
2015-03-15,Abu Dhabi,66.67999,0.021792256042802844,196.64415911235625,214.52121780439515
2015-03-22,Abu Dhabi,66.71999,0.021633359817282472,200.45813510566532,188.65099566719243
2015-03-29,Abu Dhabi,67.20999,0.022091271182141513,206.30579446351663,203.1959601939802
2015-04-05,Abu Dhabi,70.18999,0.10666093807308567,232.51612437261858,206.7184881017538
2015-04-12,Abu Dhabi,68.20999,0.10784105695452824,232.39441864975132,130.2414874038871
2015-04-19,Abu Dhabi,66.21999,0.10729743201942932,240.02636399582738,121.56066845101749
2015-04-26,Abu Dhabi,64.23,0.10763908386502188,241.31641690099428,78.51323240745859
2015-05-03,Abu Dhabi,66.21999,0.1032989202587511,239.84576368110862,70.35868394183203
2015-05-10,Abu Dhabi,65.71999,0.10303995293625229,239.90544685153833,66.46152555756855
2015-05-17,Abu Dhabi,64.23,0.10300207803871403,239.29115257951946,34.65460199967256
2015-05-24,Abu Dhabi,64.23,0.10289571832195982,238.8683569237749,41.971028084624265
2015-05-31,Abu Dhabi,63.73,0.10430716350736165,240.74970506498929,57.31880308941379
2015-06-07,Abu Dhabi,62.23999,0.028860859468100842,240.20874917113335,54.93222554453389
2015-06-14,Abu Dhabi,62.23999,0.02882281571685473,240.9441716213896,42.40638320919052
2015-06-21,Abu Dhabi,60.25999,0.028744428541333685,245.09390781536504,36.15750906838138
2015-06-28,Abu Dhabi,60.25999,0.029424608843333228,244.65060644060011,29.339681692167442
2015-07-05,Abu Dhabi,60.25999,0.015431751128053018,242.44655972725172,29.51090722537952
2015-07-12,Abu Dhabi,60.23,0.015591430166279197,240.71991223982312,113.20667538819183
2015-07-19,Abu Dhabi,58.04999,0.01564455099126695,237.83659129363176,63.000802829046414
2015-07-26,Abu Dhabi,58.07999,0.01590876271137314,239.34681031174915,95.52636776133927
2015-08-02,Abu Dhabi,56.79999,0.015294161778858667,240.02959510604455,94.15529627927975
2015-08-09,Abu Dhabi,56.26999,0.14040447808001655,258.9165282241132,116.38666166984169
2015-08-16,Abu Dhabi,56.25999,0.14135960508121814,258.9395340368105,114.51170902299044
2015-08-23,Abu Dhabi,67.45,0.14285341884148325,259.76719826371516,145.2820770567223
2015-08-30,Abu Dhabi,64.71999,0.14322835822436145,259.60138631935814,199.7855526556765
2015-09-06,Abu Dhabi,64.23,0.08377134479697551,261.4249373977197,180.5550999482805
2015-09-13,Abu Dhabi,62.75999,0.08506321426636111,266.50621412145745,183.4755906803922
2015-09-20,Abu Dhabi,62.75,0.08636481415507011,267.3776216243622,153.00104408664853
2015-09-27,Abu Dhabi,66.56999,0.08635522550886951,268.87306651230335,168.08482620800473
2015-10-04,Abu Dhabi,77.31999,0.05324908840600716,266.7820433626575,126.66948534748087
2015-10-11,Abu Dhabi,75.17999,0.05398216430253077,271.75912340530914,126.37087070671687
2015-10-18,Abu Dhabi,75.17999,0.05428250489750476,277.22988383194166,99.77874209679705
2015-10-25,Abu Dhabi,75.15999,0.05446986852468314,279.1569590441278,115.49730050273723
2015-11-01,Abu Dhabi,75.15999,0.06028592731034483,279.093228781612,119.75787655174338
2015-11-08,Abu Dhabi,75.12999,0.05953377461505496,278.53083452414035,102.68642941889493
2015-11-15,Abu Dhabi,75.17,0.05995213410380882,283.7704332348,155.47504552386295
2015-11-22,Abu Dhabi,75.15999,0.0598046327720387,281.8375356276417,144.54672885573038
2015-11-29,Abu Dhabi,78.60999,0.05995667708988207,279.00983955846453,171.63082282055697
2015-12-06,Abu Dhabi,81.62,56.19561726026719,299.6974350284475,131.9526639794128
2015-12-13,Abu Dhabi,84.57999,56.614662567850395,312.47540227191917,196.68939785818534
2015-12-20,Abu Dhabi,86.57999,56.40839542869767,307.41899474602315,162.88404964483325
2015-12-27,Abu Dhabi,89.07999,56.293522010160785,307.0322748192892,162.66936174305496
2016-01-03,Abu Dhabi,90.06,68.76666876710492,329.21237232453353,191.98864497891495
2016-01-10,Abu Dhabi,98.45,68.75819671333947,316.9348144237034,238.52758673395982
2016-01-17,Abu Dhabi,113.78,68.50343272904446,317.1137862266701,267.6532876386554
2016-01-24,Abu Dhabi,124.83,68.41188926718297,318.79829157601336,266.55570647658436
2016-01-31,Abu Dhabi,127.27,68.40130570214775,306.1154300361447,266.56838122333824
2016-02-07,Abu Dhabi,129.77,68.27314354003289,280.26647291925065,279.817369011894
2016-02-14,Abu Dhabi,123.83,68.13588731570219,282.09419022232635,291.9347999075663
2016-02-21,Abu Dhabi,121.85,68.24704590457722,280.8878203812063,266.40456536374916
2016-02-28,Abu Dhabi,121.87,68.72056231320688,286.2496489858695,256.1552622980369
2016-03-06,Abu Dhabi,112.46,65.83088005957462,284.73872820695397,206.78660846538372
2016-03-13,Abu Dhabi,110.0,66.01727559054419,282.9135643583679,194.89316143036248
2016-03-20,Abu Dhabi,85.25,65.76368160165686,280.1285042658764,152.133815636695
2016-03-27,Abu Dhabi,91.17,65.75746510550339,278.15334318923675,152.21145993774545
2016-04-03,Abu Dhabi,95.03999,62.27244650194164,263.7635341435972,176.29629373789308
2016-04-10,Abu Dhabi,95.03999,61.93448145427109,268.86585288424914,172.96573985427986
2016-04-17,Abu Dhabi,90.14,61.89855801682435,257.6305432704304,202.666333657815
2016-04-24,Abu Dhabi,91.12,62.04537247614971,256.07745026879206,127.78798313788633
2016-05-01,Abu Dhabi,93.37999,61.83637757073414,254.77691322191615,132.41702600551017
2016-05-08,Abu Dhabi,94.85999,61.55599416366744,259.01042334588146,131.1876690989143
2016-05-15,Abu Dhabi,93.09999,61.78358443065335,257.9785939415412,123.8964215330358
2016-05-22,Abu Dhabi,95.06999,62.64918065339012,259.5862782015987,112.96351770002428
2016-05-29,Abu Dhabi,96.29999,62.63520082400356,259.7527336467275,79.26809921724283
2016-06-05,Abu Dhabi,99.25,61.60949328950776,257.74253043106967,69.78732047199227
2016-06-12,Abu Dhabi,97.78,61.49911859582989,253.00152240226794,110.01577253938486
2016-06-19,Abu Dhabi,101.71,61.314241378379805,257.9702507641106,121.2742852467141
2016-06-26,Abu Dhabi,99.98999,61.09012889442698,257.0476568168191,137.67297731121795
