treatment_group,treatment_size,beta,pval,n_obs,is_true
"Dubai,Mexico",2,0.1458344734930897,0.033984685571072815,442,False
"Dubai,Philippines",2,0.09075208692263696,0.05451188158072329,442,False
"Dubai,Qatar",2,-0.03927710743480529,0.5955701289181934,442,False
"Dubai,Saudi Arabia",2,-0.037756186798736796,0.6061726369522031,442,False
"Dubai,South Africa",2,-0.04390472021571213,0.5652316372061941,442,False
"Dubai,South Korea",2,-0.07186692959153924,0.43037303456875975,442,False
"Dubai,Thailand",2,-0.020640308914334632,0.7507024128821707,442,False
"Dubai,Turkey",2,-0.09069256950816049,0.3717392885850266,442,False
"Egypt,Indonesia",2,0.04499018234953017,0.473637711732696,442,False
"Egypt,Malaysia",2,0.1618103030403058,0.19690819860668252,442,False
"Egypt,Mexico",2,0.10274064895534737,0.2642317830012779,442,False
"Egypt,Philippines",2,0.047658262384894574,0.4564332133235076,442,False
"Egypt,Qatar",2,-0.08237093197254769,0.1279686412523513,442,False
"Egypt,Saudi Arabia",2,-0.0808500113364792,0.13109764622458364,442,False
"Egypt,South Africa",2,-0.08699854475345466,0.11957780419557373,442,False
"Egypt,South Korea",2,-0.11496075412928167,0.09189604116613248,442,False
"Egypt,Thailand",2,-0.06373413345207704,0.18442006221927842,442,False
"Egypt,Turkey",2,-0.13378639404590292,0.08455240314566548,442,False
"Indonesia,Malaysia",2,0.23544228278235332,0.004205363424330422,442,False
"Indonesia,Mexico",2,0.176372628697395,0.0011374225880813604,442,False
"Indonesia,Philippines",2,0.12129024212694221,0.003836715074371444,442,False
"Indonesia,Qatar",2,-0.008738952230500058,0.9228203248196669,442,False
"Indonesia,Saudi Arabia",2,-0.007218031594431559,0.9356303383390938,442,False
"Indonesia,South Africa",2,-0.013366565011406917,0.8853965667252153,442,False
"Indonesia,South Korea",2,-0.041328774387234014,0.7030125737559199,442,False
"Indonesia,Thailand",2,0.009897846289970563,0.9017840429951334,442,False
