country,date,msci_index,msci_ret_weekly,n_obs,msci_vol_annual,debt_lt,debt_st,debt_total,default_barrier,OVX,country_clean,cds_spread,rf,lambda,theta,delta,country_lower,pd_cf_gbm,dd_cf_gbm,pd_mc_jump_const,dd_mc_jump_const,pd_mc_jump_ovx,dd_mc_jump_ovx
Brazil,2014-01-03,804.695,-0.023366128694581,5,0.2205366579527401,58678384820.0,0.0,58678384820.0,29339192410.0,20.6,brazil,187.25,0.0013,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,0.28242525454663536,0.5756518765099303,0.305,0.510073456968595,0.27466666666666667,0.5987594099452506
Brazil,2014-01-10,788.35,-0.0205211699535798,5,0.220924551146801,58678384820.0,0.0,58678384820.0,29339192410.0,19.47,brazil,191.83,0.0012,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,0.28306018005143796,0.5737745688146594,0.29833333333333334,0.5292000721197277,0.2786666666666667,0.5868070024760493
Brazil,2014-01-17,780.773,-0.00965769910054,5,0.2206567394238426,58678384820.0,0.0,58678384820.0,29339192410.0,17.12,brazil,194.64,0.0011,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,0.28262192088040966,0.5750701692964478,0.2876666666666667,0.5602142133610593,0.26466666666666666,0.629024016386869
Brazil,2014-01-24,743.312,-0.0491685787603054,5,0.2248166904952141,58678384820.0,0.0,58678384820.0,29339192410.0,19.46,brazil,206.22,0.0011,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,0.28937437152550544,0.5552133435395156,0.31633333333333336,0.47797687163183716,0.2826666666666667,0.5749378456727938
Brazil,2014-01-31,737.863,-0.0073577053111953,5,0.2237705511297982,58678384820.0,0.0,58678384820.0,29339192410.0,20.35,brazil,205.43,0.001,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,0.2876873014944873,0.5601537025595885,0.288,0.5592369776119069,0.29933333333333334,0.5263188809325863
Brazil,2014-02-07,754.118,0.0217906839256064,5,0.2251843170197835,58678384820.0,0.0,58678384820.0,29339192410.0,19.03,brazil,183.07,0.0012,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,0.28996548338139483,0.5534855585033618,0.2896666666666667,0.5543587752735466,0.2996666666666667,0.5253594551459451
Brazil,2014-02-14,757.65,0.004672683145115,5,0.225294012401671,58678384820.0,0.0,58678384820.0,29339192410.0,17.95,brazil,184.8,0.0011,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,0.29014168872527457,0.5529708404390911,0.297,0.5330485109029092,0.2823333333333333,0.5759238313965821
Brazil,2014-02-21,756.126,-0.0020135086233174,5,0.2246900091618335,58678384820.0,0.0,58678384820.0,29339192410.0,17.9,brazil,177.89,0.0012,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,0.2891704688340061,0.5558097234829688,0.2866666666666667,0.5631491384553193,0.30133333333333334,0.52056954914725
Brazil,2014-02-28,760.551,0.0058351416359801,5,0.224876577426914,58678384820.0,0.0,58678384820.0,29339192410.0,18.71,brazil,170.39,0.0012,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,0.2894707263480576,0.5549315911303698,0.29833333333333334,0.5292000721197277,0.2663333333333333,0.6239404918956901
Brazil,2014-03-07,747.948,-0.0167097137534721,5,0.2198495139806355,58678384820.0,0.0,58678384820.0,29339192410.0,20.01,brazil,170.76,0.0013,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,0.281297963871603,0.5789899895647497,0.28,0.5828415072712162,0.2886666666666667,0.5572841059220769
Brazil,2014-03-14,720.592,-0.0372603604485563,5,0.2208273766868468,58678384820.0,0.0,58678384820.0,29339192410.0,21.7,brazil,180.9,0.0012,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,0.28290121617633635,0.5742443931908997,0.2843333333333333,0.5700162646508788,0.29433333333333334,0.5407692115443284
Brazil,2014-03-21,769.839,0.0661083056832819,5,0.2294706968965804,58678384820.0,0.0,58678384820.0,29339192410.0,19.46,brazil,179.04,0.0014,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,0.2967912834424408,0.5336516493971029,0.30566666666666664,0.5081711329765899,0.3006666666666667,0.5224840724114908
Brazil,2014-03-28,827.415,0.072124980865937,5,0.2409565207231421,58678384820.0,0.0,58678384820.0,29339192410.0,19.15,brazil,158.05,0.0013,0.104860067293648,-0.0247105455273542,0.0580118333478574,brazil,0.314497177248169,0.4831427883104466,0.3233333333333333,0.4583978073599044,0.31633333333333336,0.47797687163183716
