date,country,DD_market,DD_M0,DD_M1,DD_M2
2015-01-04,Abu Dhabi,1.585756962210164,20.746751069259343,8.432724189273754,3.7216710819556833
2015-01-11,Abu Dhabi,1.5717868522888692,20.750363196648145,6.973769627410611,4.070297678854997
2015-01-18,Abu Dhabi,1.5925180790918283,20.746132013673588,6.961988027948041,3.5817547362289073
2015-01-25,Abu Dhabi,1.5925881899249725,20.74575810606768,6.941026289187434,3.510864015495487
2015-02-01,Abu Dhabi,1.592447906571823,20.73895199057123,6.348407004423961,3.4546891544064184
2015-02-08,Abu Dhabi,1.5821643172063915,20.66960259217015,5.409481728681483,3.341678732404468
2015-02-15,Abu Dhabi,1.5822331306279898,20.673287184728792,5.30938229850329,3.635883697925504
2015-02-22,Abu Dhabi,1.5821643172063915,20.67617310592225,5.317195729216943,3.7432824140489456
2015-03-01,Abu Dhabi,1.5890232144083198,20.68030516397742,5.241294648639537,3.6159173294898177
2015-03-08,Abu Dhabi,1.5890929074633053,20.644468141789034,5.195808047331744,4.263795628828113
2015-03-15,Abu Dhabi,1.606782594895117,20.64861371850567,5.1576164307782095,3.783646689633977
2015-03-22,Abu Dhabi,1.606495286139016,20.65702483770943,5.100481776194693,4.086977308221779
2015-03-29,Abu Dhabi,1.6029872394290805,20.632942152920556,5.01449650449849,3.912405777310771
2015-04-05,Abu Dhabi,1.582095442978566,18.74345221304041,4.650740094302532,3.828223184788833
2015-04-12,Abu Dhabi,1.5958929295448352,18.72964781279237,4.652354441636805,4.857575820977633
2015-04-19,Abu Dhabi,1.6100969123134798,18.73598910849649,4.55235215839185,5.002760154420431
2015-04-26,Abu Dhabi,1.6246577118155965,18.73200027913265,4.535689981325337,5.876347708663657
2015-05-03,Abu Dhabi,1.6100969123134798,18.78358163150844,4.554690239099141,6.1071734242916165
2015-05-10,Abu Dhabi,1.6137210603157564,18.786723441746,4.5539174220862035,6.214494371872531
2015-05-17,Abu Dhabi,1.6246577118155965,18.787183565163815,4.561878760855732,7.3650026923177165
2015-05-24,Abu Dhabi,1.6246577118155965,18.788476528266703,4.567367349506639,7.039173611733102
2015-05-31,Abu Dhabi,1.6283747595058153,18.77141970901181,4.543001148012609,6.486334582773036
2015-06-07,Abu Dhabi,1.6395965579981782,20.323340671637727,4.54999233726186,6.6013968572884805
2015-06-14,Abu Dhabi,1.6395965579981782,20.324878922339423,4.540490845756656,7.0614345194762835
2015-06-21,Abu Dhabi,1.6548580770660164,20.32805448678161,4.48728920585065,7.336095873011953
2015-06-28,Abu Dhabi,1.6548580770660164,20.300768721678544,4.4929395236695004,7.683857400106245
2015-07-05,Abu Dhabi,1.6548580770660164,21.04196090720555,4.521149119045617,7.661277272988106
2015-07-12,Abu Dhabi,1.655092411273177,21.030325186802912,4.543385870511348,5.190079592542881
2015-07-19,Abu Dhabi,1.6723916057529775,21.026479416174663,4.58079268466919,6.338120208351826
2015-07-26,Abu Dhabi,1.6721499119597985,21.00753397421839,4.561156784561879,5.535265577584599
2015-08-02,Abu Dhabi,1.6825556610101522,21.05207918276029,4.552310340187005,5.563996471605185
2015-08-09,Abu Dhabi,1.6869214405089874,18.39585262991856,4.31489803625538,5.077491946587103
2015-08-16,Abu Dhabi,1.6870041418904727,18.38720542201445,4.314617031640822,5.11034567902791
2015-08-23,Abu Dhabi,1.6012766343768265,18.373790549521104,4.304520145779548,4.609688856546466
2015-08-30,Abu Dhabi,1.6210382172588966,18.370444156068498,4.3065409633825755,3.895625555463897
2015-09-06,Abu Dhabi,1.6246577118155965,19.04425516532775,4.28437040010644,4.15372265134255
2015-09-13,Abu Dhabi,1.6356552391705335,19.025324632662073,4.223207365597905,4.11640117254706
2015-09-20,Abu Dhabi,1.6357307028510093,19.00652341251489,4.212807534697982,4.524816032953277
2015-09-27,Abu Dhabi,1.6075734280819818,19.006660939241726,4.195019982718209,4.315908462164017
2015-10-04,Abu Dhabi,1.5349229848307406,19.597314620049143,4.219912683970177,4.95134420787505
2015-10-11,Abu Dhabi,1.5486924840585807,19.580830824766142,4.160903155346517,4.955805981885262
2015-10-18,Abu Dhabi,1.5486924840585807,19.574138419236377,4.096979260305027,5.44536262672382
2015-10-25,Abu Dhabi,1.5488226789657806,19.5699811420183,4.074689849368873,5.145378189425688
2015-11-01,Abu Dhabi,1.5488226789657806,19.4472215430211,4.075425115151242,5.067864240965055
2015-11-08,Abu Dhabi,1.5490180246363812,19.4624511512276,4.081919063583119,5.396115207685028
2015-11-15,Abu Dhabi,1.5487575128619238,19.453957929453807,4.021797918308588,4.514884500732522
2015-11-22,Abu Dhabi,1.5488226789657806,19.45694598735448,4.04387811592069,4.675432960657293
2015-11-29,Abu Dhabi,1.5267728669933904,19.453866008593963,4.076387381480111,4.29312824980545
2015-12-06,Abu Dhabi,1.5081732386447717,8.437684031300831,3.8440538479114297,4.1876862047047005
2015-12-13,Abu Dhabi,1.4904215074049167,8.420391977225094,3.7065323455101353,4.17999705247819
2015-12-20,Abu Dhabi,1.478711897277649,8.42889031116963,3.760436243528848,4.1831629036790705
2015-12-27,Abu Dhabi,1.4643808173756874,8.433634378798194,3.764586245499604,4.185373768511546
2016-01-03,Abu Dhabi,1.4588521722552106,7.959903786124494,3.532652227287697,3.1165747837017492
2016-01-10,Abu Dhabi,1.413418008418409,7.960200501817749,3.659533901086837,3.113976120067189
2016-01-17,Abu Dhabi,1.3379256837313496,7.969137177038043,3.657658078160865,3.113297061464699
2016-01-24,Abu Dhabi,1.2884353331850074,7.972355052211373,3.640041403189408,3.114503582158827
2016-01-31,Abu Dhabi,1.2779823953426006,7.972727307536761,3.774440904492256,3.1144702409486804
2016-02-07,Abu Dhabi,1.267436887912553,7.977238923239041,4.06190954662529,3.0604597529448694
2016-02-14,Abu Dhabi,1.2927664849577873,7.982078420937186,4.040939670570917,2.971896041154095
2016-02-21,Abu Dhabi,1.301425266310194,7.978158478112949,4.054769079725881,3.1221718992443397
2016-02-28,Abu Dhabi,1.3013372435134296,7.961518931069142,3.993642891550252,3.1205009273926354
2016-03-06,Abu Dhabi,1.3440921954720184,8.064576682063917,4.010779490187775,3.16904414706085
2016-03-13,Abu Dhabi,1.3557411882926713,8.057817569080356,4.0315721558933895,3.167865684562667
2016-03-20,Abu Dhabi,1.486473822572601,8.067017322434838,4.063496695661173,3.1718874818581564
2016-03-27,Abu Dhabi,1.4526489579944857,8.067243208933327,4.086283517888054,3.1715069933479816
2016-04-03,Abu Dhabi,1.4314904057804259,8.196748795657214,4.256109564767362,3.2025598559908
2016-04-10,Abu Dhabi,1.4314904057804259,8.209624396935073,4.195105604530302,3.2064280537490015
2016-04-17,Abu Dhabi,1.4584030219882689,8.210996406332573,4.330636038572522,3.2063391957915655
2016-04-24,Abu Dhabi,1.4529270584252139,8.205393333955547,4.349722928296831,3.2056991284932845
2016-05-01,Abu Dhabi,1.440478930583042,8.213372798564157,4.365774002600255,3.2101313123868325
2016-05-08,Abu Dhabi,1.4324588825400242,8.224113049777582,4.313751273368414,3.216672873705949
