COUNTRY,INDICATOR,FREQUENCY,SCALE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Advanced Economies,Exports of goods and services - US dollar,Annual,Billions,5977.583,5761.752,5989.346,6863.095,8209.503,9005.53,10126.035,11638.929,12944.927,10487.685,12140.771,14078.426,14056.192,14516.613,14874.75,13467.61,13397.536,14571.778,15824.754,15585.191,14077.783,17263.189,19081.235,19045.118,19649.518
Advanced Economies,Expenditure - General government - Percent of GDP,Annual,Units,,37.061,37.733,38.452,38.073,37.938,37.568,37.852,39.713,43.468,42.222,41.404,40.792,40.196,39.613,38.687,38.569,38.237,38.292,38.59,46.25,44.218,40.263,40.535,40.765
Advanced Economies,Gross domestic product (GDP) - Current prices - US dollar,Annual,Billions,26960.202,26687.422,27845.422,31241.269,34664.257,36491.101,38380.458,41931.843,44299.427,41800.254,43660.796,46894.568,46709.215,47175.962,48289.23,45711.404,46951.019,49016.624,51868.982,52406.467,51561.468,57609.524,58945.923,62310.258,64901.125
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),Structural balance - General government - Percent,Annual,Units,-0.203,-0.669,-0.736,-0.333,-0.5,0.382,0.584,1.077,-0.263,-1.641,-1.618,-1.345,-1.193,-1.317,-1.078,-0.924,-0.411,0.039,-0.057,-1.281,-4.409,-2.496,-1.766,-1.78,-2.039
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),Gross debt - General government - Percent of GDP,Annual,Units,34.91,35.659,35.9,36.722,34.968,33.927,33.115,31.306,32.788,35.549,35.684,36.67,38.173,39.167,40.45,41.352,41.792,41.311,41.015,42.934,49.72,49.333,48.138,49.613,50.08
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),Expenditure - General government - Percent of GDP,Annual,Units,32.269,32.007,32.094,33.239,32.617,31.538,30.85,30.54,32.153,34.056,32.406,32.357,32.358,32.333,31.672,31.026,30.93,30.515,30.705,31.727,36.178,33.86,32.538,32.36,32.695
Denmark,Current account balance (credit less debit) - Percent of GDP,Annual,Units,1.991,3.644,2.997,3.925,4.035,4.052,3.18,1.292,2.865,3.586,6.415,6.346,6.064,7.368,8.402,7.957,7.088,7.323,6.307,7.446,7.226,8.548,11.163,11.005,12.193
Austria,Net lending (+) / net borrowing (-) - General government - Percent of GDP,Annual,Units,-2.075,-0.712,-1.426,-1.839,-4.941,-2.588,-2.609,-1.561,-1.572,-5.381,-4.465,-2.482,-2.177,-1.993,-1.923,-0.476,-1.451,-0.776,0.195,0.536,-8.204,-5.694,-3.306,-2.62,-4.643
United Kingdom,Gross domestic product (GDP) - Current prices - US dollar,Annual,Billions,1668.69,1650.252,1788.549,2056.294,2422.619,2546.038,2712.257,3091.695,2960.39,2421.476,2487.924,2664.719,2707.571,2786.665,3066.304,2928.558,2699.086,2682.384,2875.024,2853.074,2698.705,3144.079,3125.404,3371.118,3644.636
United States,Gross national savings - Percent of GDP,Annual,Units,20.741,19.581,18.303,17.351,17.662,18.052,19.126,17.354,14.975,13.798,15.288,16.238,18.288,18.475,19.571,19.611,18.472,18.882,19.126,19.329,18.232,17.583,18.186,17.026,16.494
United States,Unemployment rate,Annual,Units,3.967,4.742,5.783,5.992,5.542,5.083,4.608,4.617,5.8,9.283,9.608,8.933,8.075,7.358,6.158,5.275,4.875,4.358,3.892,3.675,8.1,5.358,3.642,3.633,4.033
United Kingdom,Primary Net lending (+) / net borrowing (-) - General government - Percent of GDP,Annual,Units,3.054,1.82,-0.585,-1.806,-1.697,-1.552,-1.147,-0.963,-3.536,-8.583,-6.684,-4.577,-5.089,-3.944,-3.695,-3.081,-1.687,-0.667,-0.582,-1.028,-12.034,-5.58,-0.912,-3.65,-3.786
United Kingdom,Unemployment rate,Annual,Units,5.45,5.1,5.2,5,4.75,4.825,5.425,5.35,5.725,7.625,7.9,8.1,7.95,7.575,6.175,5.375,4.875,4.425,4.075,3.825,4.625,4.55,3.8,4.05,4.3
United States,Primary Net lending (+) / net borrowing (-) - General government - Percent of GDP,Annual,Units,,1.768,-1.717,-2.812,-2.351,-1.084,-0.074,-0.847,-4.589,-11.288,-8.966,-7.419,-5.905,-2.584,-2.056,-1.692,-2.374,-2.781,-3.101,-3.528,-12.072,-9.164,-0.987,-4.669,-4.614
G7,Imports of goods and services - US dollar,Annual,Billions,3886.785,3742.342,3828.526,4332.796,5085.61,5648.754,6339.115,6979.008,7678.027,5996.474,6950.161,8034.331,7969.458,7991.262,8252.456,7446.986,7324.267,7884.177,8610.31,8478.383,7537.918,9141.097,10581.257,10317.57,10547.513
United Kingdom,Structural balance - General government - Percent,Annual,Units,1.307,0.085,-1.733,-3.153,-3.279,-3.625,-3.676,-4.326,-6.217,-7.695,-6.41,-4.811,-4.85,-2.911,-3.82,-3.389,-2.302,-2.084,-2.061,-2.385,-11.072,-7.21,-5.601,-6.309,-5.496
G7,Net debt - General government - Percent of GDP,Annual,Units,,47.938,50.624,53.809,59.116,58.171,56.251,55.466,61.597,73.119,79.085,84.428,87.525,86.146,85.896,85.479,87.289,84.688,84.842,85.378,98.479,95.986,91.365,91.548,93.303
G7,Expenditure - General government - Percent of GDP,Annual,Units,,37.061,37.839,38.502,38.104,38.183,37.907,38.332,40.18,44.101,42.902,42.116,41.298,40.647,40.117,39.301,39.308,39.14,39.166,39.357,47.752,45.912,41.279,41.534,41.704
