date,country,cds_spread,yield_market,spread_M0,spread_M1,spread_M2,RNS_M0,RNS_M1,RNS_M2,yield_rf_M0,yield_rf_M1,yield_rf_M2,yield_rns_M0,yield_rns_M1,yield_rns_M2
2015-01-31,Brazil,212.77,432.77,0.0003580245847167089,0.0003580245847167089,38.734488496768506,1.8217238134665692e-05,0.0023487541524550015,8.877174388563883,220.00035802458473,220.00035802458473,258.7344884967685,220.00001821723814,220.00234875415245,228.87717438856387
2015-02-28,Brazil,235.88,469.879999999999,0.00029138326298330976,0.00029138326298330976,35.02585732703753,1.4271254109021747e-05,0.0001460739066164174,7.645303822979566,234.00029138326198,234.00029138326198,269.02585732703653,234.00001427125312,234.00014607390563,241.64530382297858
2015-03-31,Brazil,285.95,519.949999999999,0.15103694678730697,0.15103694677020826,44.32859622935663,0.0117818359379393,0.062469088960882824,9.635094002894487,234.15103694678632,234.1510369467692,278.32859622935564,234.01178183593694,234.0624690889599,243.63509400289348
2015-04-30,Brazil,220.11,461.11,4.529311192919801,4.529311187640293,4.629006435536427,0.6377531074376954,0.9444401408863906,0.654226748926165,245.5293111929198,245.5293111876403,245.62900643553644,241.6377531074377,241.9444401408864,241.65422674892616
2015-05-31,Brazil,231.01,500.01,10.146558056225478,10.146558058110852,10.374311758012048,1.5823624610944096,2.1156355574983645,1.6249712696889822,279.1465580562255,279.1465580581108,279.374311758012,270.5823624610944,271.11563555749836,270.62497126968896
2015-06-30,Brazil,256.0898,525.0898,9.609424014471633,9.609424017195854,9.80387661421799,1.4952569848544415,2.277071247858628,1.531486357750217,278.60942401447164,278.60942401719586,278.803876614218,270.49525698485445,271.2770712478586,270.5314863577502
2015-07-31,Brazil,288.8699,565.8698999999999,14.40906194164912,14.40906196970759,14.878118000114592,2.3240116933749206,4.041552549559901,2.415887695523464,291.4090619416491,291.4090619697076,291.87811800011457,279.3240116933749,281.0415525495599,279.41588769552345
2015-08-31,Brazil,327.0698,604.0698,15.358834676275746,15.358834669933373,56.16802040282448,2.4455398020638635,8.222199643438607,12.699521231166674,292.35883467627576,292.35883466993334,333.1680204028245,279.4455398020639,285.2221996434386,289.69952123116667
2015-09-30,Brazil,489.5098,744.5097999999999,14.08757694439422,14.087576986490705,24.595585274239472,2.1427737505111746,4.474878007218949,4.284900268735591,269.0875769443942,269.08757698649066,279.59558527423945,257.14277375051114,259.47487800721893,259.28490026873556
2015-10-31,Brazil,429.6699,679.6699,36.67192095381809,36.67192091742229,37.499069156141324,7.758405437887084,13.906121239676377,7.977460565266985,286.6719209538181,286.6719209174223,287.49906915614133,257.75840543788706,263.9061212396764,257.977460565267
2015-11-30,Brazil,415.4199,665.4199,36.940623341047974,36.940623304769424,38.022708022717076,7.843036941289558,13.34746611504227,8.131009778695082,286.94062334104797,286.9406233047694,288.0227080227171,257.84303694128954,263.34746611504227,258.1310097786951
2015-12-31,Brazil,482.5698,751.5698,37.133773372373554,37.13377330250944,38.19535026226562,7.812263866531811,18.46110601906613,8.092278401785856,306.1337733723735,306.13377330250944,307.1953502622656,276.8122638665318,287.4611060190661,277.09227840178585
2016-01-31,Brazil,462.6299,711.6299,34.069369531947565,34.069369504724946,64.2318260888799,7.120893128925373,14.668590540105539,16.25596304028046,283.06936953194753,283.06936950472493,313.23182608887987,256.12089312892533,263.6685905401055,265.25596304028045
2016-02-29,Brazil,446.2998,695.2998,33.18606832177519,33.18606829846617,58.02817291659692,6.890958779350344,12.04208175436247,14.204811429346167,282.18606832177517,282.1860682984661,307.0281729165969,255.8909587793503,261.04208175436247,263.20481142934614
2016-03-31,Brazil,382.3599,602.3598999999999,23.521753640171855,23.52175363783033,24.14263210378976,4.690683596552982,8.684636624266066,4.843033155465213,243.52175364017185,243.52175363783033,244.14263210378977,224.690683596553,228.68463662426606,224.8430331554652
2016-04-30,Brazil,330.8198,551.819799999999,8.679513452689802,8.67951345277343,8.909351304551615,1.4130397147961091,1.6010972299151938,1.4576678021794436,229.6795134526888,229.67951345277243,229.90935130455063,222.4130397147951,222.6010972299142,222.45766780217843
2016-05-31,Brazil,341.5598,562.559799999999,3.9796830335431808,3.979683030853982,4.0813800861854785,0.5407522782958571,0.6530984458138003,0.556926341213869,224.9796830335422,224.97968303085298,225.08138008618448,221.54075227829486,221.65309844581282,221.5569263412129
2016-06-30,Brazil,334.9299,556.9299,5.197741515595026,5.197741511781281,5.306557643053312,0.7767286621556888,1.0645747866914328,0.7958602105400878,227.19774151559503,227.1977415117813,227.3065576430533,222.77672866215568,223.06457478669142,222.7958602105401
2016-07-31,Brazil,283.3899,465.3899,1.6907279542799334,1.6907279542003741,2.2762956030358366,0.2044521724453921,0.4589399168261968,0.28864004714943686,183.69072795427994,183.69072795420038,184.27629560303583,182.2044521724454,182.4589399168262,182.28864004714944
2016-08-31,Brazil,254.44,436.44,1.0185359774254341,1.0185359777289016,1.4915916852995805,0.11363180675148798,0.21115390852883414,0.17617606526579982,183.01853597742544,183.0185359777289,183.49159168529957,182.1136318067515,182.21115390852884,182.1761760652658
