,country,date,cds_spread,fx_rate,domestic_rate,risk_free_rate,monetary_base_bn_local,external_debt_bn_usd,domestic_debt_bn_local,LCL_usd,sigma_lcl,B_f,implied_V,implied_sigma_V,cca_converged
12,Brazil,2015-01-31,212.77,2.682403433,0.1197,0.022,238.52469,560.44,0,144.93127013663783,0.1419852440365045,622.0884000000001,702.2171428704676,0.02930990898109141,True
13,Brazil,2015-02-28,235.88,2.838973427,0.1243,0.0233999999999999,238.81559,560.44,0,139.31661473031954,0.14524121917272437,626.0114799999998,696.2040956029055,0.02907170199807687,True
14,Brazil,2015-03-31,285.95,3.249601924,0.1243,0.0233999999999999,238.81559,560.44,0,121.71219011100449,0.18527487748827862,626.0114799999998,678.5454533747404,0.03335356480623128,True
15,Brazil,2015-04-30,220.11,2.951680982,0.1305,0.0241,240.65635,560.44,0,138.7946010247075,0.23700041020114565,627.97302,694.9961123739022,0.04816047049325528,True
16,Brazil,2015-05-31,231.01,3.179751343,0.1223,0.0269,239.51346,560.44,0,121.36549541922707,0.25843407878338137,635.8191800000001,676.3179372614428,0.0477787275701389,True
17,Brazil,2015-06-30,256.0898,3.129498654,0.1223,0.0269,239.51346,560.44,0,123.31435150479783,0.25763509278450447,635.8191800000001,678.2793246770503,0.04822143564067993,True
18,Brazil,2015-07-31,288.8699,3.421259708,0.1298,0.0277,225.06284,560.44,0,109.60366713020095,0.27092075203641147,638.0609400000001,664.0278295954267,0.04651321852973887,True
19,Brazil,2015-08-31,327.0698,3.582303421,0.1298,0.0277,225.06284,560.44,0,104.67639564069201,0.27002602508801593,638.0609400000001,659.1471913392338,0.04461545264372901,True
20,Brazil,2015-09-30,489.5098,3.977724741,0.1427999999999999,0.0255,231.71646,560.44,0,104.7215042861859,0.2670273831716441,631.8961,659.9835765403772,0.04399538341901636,True
21,Brazil,2015-10-31,429.6699,3.856388107,0.1589,0.025,239.62133,560.44,0,121.36819556847857,0.31603892184726334,630.4950000000001,674.7979605385027,0.0610768718091071,True
22,Brazil,2015-11-30,415.4199,3.846449727,0.1589,0.025,239.62133,560.44,0,121.68178428874883,0.31628513468829494,630.4950000000001,675.0946385845109,0.06126316529891017,True
23,Brazil,2015-12-31,482.5698,3.946174184,0.1581499999999999,0.0269,242.84685,560.44,0,118.62110824636369,0.3154993039185309,635.8191800000001,671.5058322333317,0.05990157227265746,True
