date,country,cds_spread,risk_free_rate,implied_V,implied_sigma_V,cca_converged,B_f,LCL_usd,sigma_lcl,lambda_annual
2015-01-04,Brazil,207.97,0.0255,716.1129667974569,0.04905770820660183,True,631.8961,160.2673628759274,0.21649024802655198,2.6023820616726665
2015-01-11,Brazil,201.92,0.0255,720.0285589268984,0.05025069657035093,True,631.8961,164.16631832854327,0.21778215812940696,2.2108140811796937
2015-01-18,Brazil,205.65,0.0255,720.5674669642907,0.050399538490394795,True,631.8961,164.74058305916728,0.21769124065400602,2.83295297897659
2015-01-25,Brazil,193.65,0.0255,723.2058581927216,0.050857959156222314,True,631.8961,167.3744289597118,0.21706984774871868,2.965042768060412
2015-02-01,Brazil,212.77,0.022,701.4135815757171,0.05059060327977631,True,622.0884000000001,144.93127013663783,0.23932827947842394,3.0814917573686564
2015-02-08,Brazil,229.48,0.022,695.9926123149745,0.050731316028903774,True,622.0884000000001,139.7179430311654,0.24150289632233052,3.3541974334182703
2015-02-15,Brazil,235.35,0.022,693.5965618050041,0.04906745703683706,True,622.0884000000001,137.15209976232302,0.24207627214922844,2.734894940899593
2015-02-22,Brazil,235.89,0.022,692.0232893553944,0.04844761037425043,True,622.0884000000001,135.55427914934734,0.24135158036005602,2.5772203745154045
2015-03-01,Brazil,235.88,0.0233999999999999,695.3547827309936,0.04984503768749757,True,626.0114799999998,139.31661473031954,0.24272838432174262,2.7690059304580967
2015-03-08,Brazil,253.64,0.0233999999999999,685.0463784544692,0.049314589246650616,True,626.0114799999998,129.17953534174936,0.25367271947767583,2.1166837664365223
2015-03-15,Brazil,302.25,0.0233999999999999,677.3788815160258,0.048414755360577516,True,626.0114799999998,121.72801077234331,0.25981150801503045,2.6339057918384183
2015-03-22,Brazil,291.2898,0.0233999999999999,678.1809038430971,0.04857986976822544,True,626.0114799999998,122.47949148304409,0.2596572831266326,2.27844793797244
2015-03-29,Brazil,285.95,0.0233999999999999,677.435165622494,0.047927440858047475,True,626.0114799999998,121.71219011100449,0.25763006184422194,2.4634593270953387
2015-04-05,Brazil,259.48,0.0241,686.5835090529282,0.05307069042932281,True,627.97302,131.26473069520333,0.26741030782118635,2.190986631386841
2015-04-12,Brazil,245.19,0.0241,688.5698574933056,0.05372475361306512,True,627.97302,133.20250470822126,0.2678053919731544,1.6761753424889447
2015-04-19,Brazil,241.81,0.0241,690.0856745333137,0.054290402509226204,True,627.97302,134.72240782937013,0.2682083184450355,1.6085318647327536
2015-04-26,Brazil,220.11,0.0241,694.1293472484532,0.05603621179293024,True,627.97302,138.7946010247075,0.27029294117102004,1.2982401556495284
2015-05-03,Brazil,237.95,0.0233,687.3449663250298,0.05456938761266386,True,625.73126,131.8555553026922,0.27349466194495314,1.2479595079323942
2015-05-10,Brazil,222.26,0.0233,689.1633589339721,0.055270090240604204,True,625.73126,133.68798661814623,0.27396467487029863,1.2218273786539982
2015-05-17,Brazil,228.93,0.0233,688.1258574507042,0.05491123101667162,True,625.73126,132.6227120211186,0.2739912880592644,0.9946011142782022
2015-05-24,Brazil,220.46,0.0233,683.8963363813854,0.053896940290009646,True,625.73126,128.43713684132246,0.2754798066017218,1.0495017613920892
2015-05-31,Brazil,231.01,0.0269,675.685564788364,0.051817807608042527,True,635.8191800000001,121.36549541922707,0.27631633097100733,1.1576540526773655
2015-06-07,Brazil,247.9,0.0269,677.0599618419972,0.05238383441277555,True,635.8191800000001,122.75477896822359,0.2767486913287678,1.1484313532010355
2015-06-14,Brazil,242.18,0.0269,678.0690371379349,0.05268414361387696,True,635.8191800000001,123.75043216075326,0.27663222488417627,1.0587946426926078
2015-06-21,Brazil,240.17,0.0269,678.9044245244761,0.053006917461994964,True,635.8191800000001,124.58786142389096,0.2768330566632799,1.012716434655686
