date,country,cds_spread,risk_free_rate,B_f,LCL_usd,sigma_lcl,implied_V_M0,implied_sigma_V_M0,cca_converged_M0,implied_V_M1,implied_sigma_V_M1,cca_converged_M1,convenience_yield,implied_V_M2,implied_sigma_V_M2,cca_converged_M2,lambda_annual,group,exporter,DD_M0,DD_M1,DD_M2,PD_M0,PD_M1,PD_M2,spread_rf_M0,spread_rf_M1,spread_rf_M2,put_M0,put_M1,put_M2,risky_debt_M0,risky_debt_M1,risky_debt_M2,RNS_M0,RNS_M1,RNS_M2,yield_rf_M0,yield_rns_M0,yield_rf_M1,yield_rns_M1,yield_rf_M2,yield_rns_M2,yield_market,leverage_M0,leverage_M1,leverage_M2
2015-01-31,Brazil,212.77,0.022,622.0884000000001,144.93127013663783,0.1419852440365045,702.2171428704676,0.0293099089810914,True,449.14206562528653,0.0293099089810914,True,-0.2234517171584395,680.796109235382,0.1071047894587815,True,6.883217345026881,Exporter,1.0,3.494300696661996,-3.324597711759078,0.7161029556273593,0.00023765267302265292,0.999557269003427,0.2369638894500845,0.2852035419256611,1831.2537115875878,306.7180983957539,0.0021511583045230875,108.15026072604928,35.47816888128215,557.2858727336964,449.1377631659516,521.8098550107187,0.007720110119327157,431.5050838988804,60.361931158781545,220.28520354192565,220.00772011011932,2051.2537115875875,651.5050838988805,526.7180983957539,280.36193115878154,432.77,0.8858917876272238,1.3850593110977951,0.9137660917285236
2015-02-28,Brazil,235.88,0.0233999999999999,626.0114799999998,139.31661473031954,0.1452412191727243,696.2040956029055,0.0290717019980768,True,572.6096715262546,0.0290717019980768,True,-0.0977192875449052,674.0157111996057,0.0979675106607021,True,5.758779539831991,Exporter,1.0,3.4021507530195345,0.3956949262817426,0.7618419367406358,0.00033428873490574376,0.3461650494508943,0.22307717382145348,0.40118671689205426,465.6278926242564,287.38581689030593,0.003062486071288034,8.105708966815087,31.070816372164135,556.8874808722418,548.784834391498,525.8197269861489,0.010998550894868984,29.32453537305532,51.472017051519835,234.40118671689106,234.01099855089387,699.6278926242554,263.32453537305435,521.3858168903049,285.47201705151883,469.879999999999,0.8991781058941924,1.0932604025555595,0.9287787652395098
2015-03-31,Brazil,285.95,0.0233999999999999,626.0114799999998,121.71219011100447,0.1852748774882786,678.5454533747404,0.0333535648062312,True,539.5871636032037,0.0333535648062312,True,-0.1145735663396463,657.7062103369822,0.0910807877301157,True,4.9436356043553475,Exporter,1.0,2.6119525122691796,-0.4605140651224891,0.715154338360502,0.0045013379108292655,0.6774263609111439,0.23725684025219862,5.4089129888393535,1043.2872442413616,307.1279469659253,0.05728009428283132,26.39822445718454,30.303731388099138,556.8332632640302,530.4923189011286,526.586811970214,0.20572459345036487,97.12646124168641,52.15206426442968,239.40891298883835,234.20572459344936,1277.2872442413607,331.12646124168543,541.1279469659243,286.1520642644287,519.949999999999,0.9225785492873567,1.1601674803004578,0.9518102006050038
2015-04-30,Brazil,220.11,0.0241,627.97302,138.7946010247075,0.2370004102011456,694.9961123739022,0.0481604704932552,True,629.9015279287285,0.0481604704932552,True,-0.0491713747744338,694.6789852112411,0.0484592448582302,True,0.984571317590502,Exporter,1.0,2.0067814885369555,1.093579973546351,1.98953070134753,0.02238646738635699,0.13706961820917973,0.023321328277675104,27.04580827277938,171.6425801401628,28.18323819696495,0.4821823526666762,3.9770931463733206,2.474347113747863,556.2015113484143,552.7066005547076,554.2093465873331,1.7330893811920598,14.339805223297477,1.8256318889617416,268.04580827277937,242.73308938119206,412.6425801401628,255.33980522329747,269.18323819696496,242.82563188896174,461.11,0.9035633564265978,0.9969383977602502,0.9039758411707866
2015-05-31,Brazil,231.01,0.0269,635.8191800000001,121.36549541922707,0.2584340787833813,676.3179372614428,0.0477787275701389,True,623.5389541704667,0.0477787275701389,True,-0.040626023542028,675.9825176101342,0.0480589885833671,True,0.7536519799067671,Exporter,1.0,1.7834924011661737,1.0229652384272743,1.7678507121389033,0.03725309192643347,0.15316214091109015,0.03854293221001194,45.210887556248686,192.79556806552696,46.7947102155861,0.8507247997273346,4.5169546440028085,2.8412418898610934,554.9524418422142,551.2862119979387,552.9619247520804,3.063590080748841,16.32019887613071,3.2032116252168485,314.2108875562487,272.06359008074884,461.79556806552694,285.3201988761307,315.7947102155861,272.20321162521685,500.01,0.9401187591956662,1.019694400401769,0.9405852421270783
2015-06-30,Brazil,256.0898,0.0269,635.8191800000001,123.31435150479784,0.2576350927845044,678.2793246770503,0.0482214356406799,True,602.7193460217864,0.0482214356406799,True,-0.0590537637498694,677.99415585014,0.0484619709498095,True,0.6555709085060676,Exporter,1.0,1.7929903071821107,0.6976414996030632,1.7796738931085823,0.03648723697659002,0.24270071082196443,0.037564672696011714,44.271070882332424,314.7594369488432,45.593369412121625,0.8381934696902427,8.157097985600245,2.5014623685061084,554.9649731722512,547.6460686563413,553.3017042734355,3.0184287746264546,29.569993132864685,3.1354925107164875,313.2710708823324,272.01842877462644,583.7594369488431,298.5699931328647,314.5933694121216,272.13549251071646,525.0898,0.9374002079493329,1.0549174905313514,0.9377944846777381
2015-07-31,Brazil,288.8699,0.0277,638.0609400000001,109.60366713020096,0.2709207520364114,664.0278295954267,0.0465132185297388,True,564.0049162286685,0.0465132185297388,True,-0.081630546230944,663.3664979965197,0.0470118851178119,True,1.2798493596458795,Exporter,1.0,1.6631768446291302,0.09346005286485909,1.6349471091583219,0.048138520634787386,0.4627690419699203,0.05103006784528789,58.61687867450112,650.522619632397,62.1931318453442,1.1120500630185006,19.22652397740896,5.345881458405694,554.4241624652101,536.3096885508196,550.190331069823,4.007532017008037,70.4440493115716,4.331306437958293,335.6168786745011,281.00753201700803,927.522619632397,347.4440493115716,339.19313184534417,281.3313064379583,565.8698999999999,0.9608948775366124,1.1313038621480853,0.961852824836728
2015-08-31,Brazil,327.0698,0.0277,638.0609400000001,104.676395640692,0.2700260250880159,659.1471913392338,0.044615452643729,True,456.7233840689774,0.0446154526437289,True,-0.1834344720136781,639.2912945819767,0.0929725001888747,True,5.186451655297059,Exporter,1.0,1.6643085590018978,-2.0130895130494424,0.5715286082946032,0.0480253914291455,0.9779473933610362,0.28382068678201083,58.47709086488622,1767.494311073175,373.36388792572,1.065416829703448,99.28298936371925,35.69965724369138,554.4707956985252,456.25322316450934,519.8365552845372,3.8393168655217997,393.77165336556516,67.33806561886495,335.47709086488624,280.8393168655218,2044.494311073175,670.7716533655652,650.3638879257201,344.33806561886496,604.0698,0.9680097986970234,1.3970402266585848,0.9980754397996595
2015-09-30,Brazil,489.5098,0.0255,631.8961,104.7215042861859,0.2670273831716441,659.9835765403772,0.0439953834190163,True,537.2765674012894,0.0439953834190164,True,-0.102850982828744,650.7483267581769,0.064153147255423,True,2.46911863862289,Exporter,1.0,1.6889267315123835,-0.4020361949143866,1.0220154001967732,0.04561673589157388,0.656171305585957,0.15338680580427422,55.503158069180465,1000.7699132635079,193.0924704740234,0.9919040671401191,32.259106808719025,15.592368795771202,555.2620722541825,523.9948695126036,540.6616075255514,3.5695546878150255,119.48617726219763,21.638928864568403,310.5031580691804,258.569554687815,1255.7699132635078,374.4861772621976,448.09247047402334,276.63892886456836,744.5097999999999,0.9574421583524682,1.1761095464415439,0.9710299266506106
2015-10-31,Brazil,429.6699,0.025,630.4950000000001,121.36819556847855,0.3160389218472633,674.7979605385027,0.0610768718091071,True,532.64550927575,0.0610768718091071,True,-0.1182786056178546,674.1163387371089,0.0614449061523916,True,1.752557485191959,Exporter,1.0,1.3442147181242583,-0.3878910339321233,1.3279872357546594,0.0894394818040633,0.6509516632181686,0.09209116185001381,110.31452947774042,990.4656447527557,113.67981713394197,2.980119625050804,43.02609226761922,8.791363029290798,553.4297649700238,513.3837923274554,547.6185215657838,10.740747237360521,160.96305301772227,11.184536627113319,360.3145294777404,260.7407472373605,1240.4656447527557,410.96305301772225,363.679817133942,261.18453662711335,679.6699,0.9343463330814635,1.1837047135857734,0.9352910822205718
2015-11-30,Brazil,415.4199,0.025,630.4950000000001,121.68178428874884,0.3162851346882949,675.0946385845109,0.0612631652989101,True,544.1267726965966,0.0612631652989101,True,-0.1078353143015304,670.3911425723123,0.0722544738510312,True,3.1322603344023494,Exporter,1.0,1.342919920238765,-0.23144922622495578,1.0726540871221673,0.08964895270696704,0.5915170869292476,0.14171317374629955,110.58016630675107,876.7316558483996,177.7234212346054,2.9970302993128186,36.587964184535224,16.519918179937918,553.4128542957618,519.8219204105394,539.8899664151367,10.801860439794126,136.03786597195526,21.947905724955213,360.58016630675104,260.80186043979415,1126.7316558483994,386.0378659719553,427.72342123460544,271.9479057249552,665.4199,0.9339357239186138,1.1587281340254179,0.9404882611974414
2015-12-31,Brazil,482.5698,0.0269,635.8191800000001,118.62110824636368,0.3154993039185309,671.5058322333317,0.0599015722726574,True,471.6511318747419,0.0599015722726574,True,-0.1766415581971715,668.6361192569274,0.0673368668167737,True,2.7203299192815336,Exporter,1.0,1.3448755255415201,-1.2926681434793605,1.1522239689911034,0.08933271755370853,0.9019370698814111,0.12461452531617068,110.17915185041137,1558.117199321576,155.42307018231378,2.9184426549740934,87.79553704021453,14.06729967041474,552.8847239869674,468.007629601727,541.7358669715268,10.529381336276929,343.85923277647237,17.5519970937665,379.17915185041136,279.5293813362769,1827.117199321576,612.8592327764724,424.4230701823138,286.5519970937665,751.5698,0.946855782153607,1.3480709300382998,0.9509195834448824
2016-01-31,Brazil,462.6299,0.0249,607.7427720000001,118.10019395636718,0.3138161699881718,651.9293832402008,0.0609473348487067,True,487.1515490135359,0.0609473348487067,True,-0.1456804922671357,621.1664954931125,0.1171046741674435,True,8.228645440637633,Exporter,1.0,1.3603965448747197,-0.777524560378405,0.42796240547936243,0.08685223563475691,0.7815753250322515,0.3343392456798951,107.03646467747345,1265.7801043594607,447.7965406057449,2.770157184432442,59.23322879270995,49.09502301600635,533.8291892832368,477.36611767495936,487.50432345166297,10.351605085399896,233.93596260695512,103.74153086649603,356.0364646774734,259.35160508539985,1514.7801043594607,482.93596260695506,696.7965406057449,352.741530866496,711.6299,0.9322217829474326,1.2475435482667703,0.9783894920435848
2016-02-29,Brazil,446.2998,0.0249,607.7427720000001,118.26548133040151,0.3132895512222989,652.1198266002758,0.0608818412766116,True,522.9199367074818,0.0608818412766115,True,-0.1103999802564606,626.0893726988633,0.1117965134405275,True,7.460964622366987,Exporter,1.0,1.364152019511478,-0.25775596087619923,0.4920113313283388,0.0862598627454283,0.6017023728247651,0.3113556665527726,106.2866780616318,895.7687041513084,413.5893507816829,2.7450011983595672,36.103794555267086,44.197554978541156,533.8543452693098,500.4955519124022,492.40179148912813,10.25735998275108,139.3060172990123,90.22983323205473,355.2866780616318,259.25735998275104,1144.7687041513084,388.3060172990123,662.5893507816829,339.2298332320547,695.2998,0.931949539348269,1.1622099853881984,0.9706965147487218
2016-03-31,Brazil,382.3599,0.022,599.90616,136.2554729882826,0.3184284678590221,670.4700587651947,0.0692965664202665,True,531.3636718602062,0.0692965664202665,True,-0.1162661893643098,669.7438850080001,0.0697008715419911,True,2.560185045728421,Exporter,1.0,1.35010192615526,-0.1505733097676903,1.3344161109046913,0.08849164530614878,0.5598438414872634,0.09103376145959646,109.11298816607686,818.6640647411,112.33717526077002,3.2018303258972836,36.11560639437613,10.339567038469557,534.2145857767634,501.3008097082846,527.0768490641912,11.95127743756899,139.13380699846567,12.428586792163964,329.1129881660769,231.951277437569,1038.6640647411,359.1338069984657,332.33717526077004,232.42858679216397,602.3598999999999,0.8947545862150021,1.1289935533226034,0.8957247291520013
2016-04-30,Brazil,330.8198,0.0220999999999999,600.1763879999997,117.77793211066134,0.3231947759687415,651.8884701032429,0.0631340383713868,True,628.6226651200969,0.0631340383713868,True,-0.0181711544752797,651.2230282832159,0.0634790430501202,True,1.8534513666232515,Exporter,1.0,1.2976024156264498,1.0401695779083444,1.2825854640873169,0.0972119958283279,0.14913056136443248,0.09981867271801692,120.19481631708243,187.4751749532043,123.51933919450423,3.279195525779514,5.502645862940653,9.245692730871365,534.1105379919215,531.8870876547604,528.1440407868297,12.241548977934885,20.58473289532165,12.700759088001094,341.1948163170814,233.2415489779339,408.4751749532033,241.58473289532066,344.51933919450323,233.7007590880001,551.819799999999,0.9206734211834531,0.9547482477192218,0.9216141965713535
2016-05-31,Brazil,341.5598,0.0220999999999999,600.1763879999997,112.0440170967874,0.2989966783848226,647.3982172111911,0.0548854022596734,True,618.8693077095764,0.0548854022596733,True,-0.022533735942566,646.8749454039939,0.0552238543558247,True,1.1863909953952416,Exporter,1.0,1.4561283428580971,1.088912556655297,1.439901476353402,0.07267857187484847,0.13809622421860884,0.07494763767463293,89.17302437766706,172.98535296218077,92.02208249297058,2.0355334034040737,4.387502280334772,5.856434513915739,535.354200114297,533.0022312373663,531.5332990037854,7.590015781326542,16.3959633379652,7.916045307932023,310.1730243776661,228.59001578132555,393.9853529621798,237.3959633379642,313.0220824929696,228.91604530793103,562.559799999999,0.9270590681966817,0.9697950448071841,0.9278089872922355
2016-06-30,Brazil,334.9299,0.0222,600.4466160000001,122.29672667381207,0.3131452536348896,656.8792316627645,0.0623958981124402,True,603.9397368845019,0.0623958981124402,True,-0.0420128820680252,656.4507889097126,0.0626407233059884,True,1.1876113463235816,Exporter,1.0,1.3696338317532604,0.7673912928895943,1.3590762922771185,0.08540061658658304,0.22142445192688404,0.08706120722764665,105.19960015107308,285.0973871828283,107.3010342509255,2.7804383329844953,8.931491419219483,6.373982679378729,534.5825049887258,528.4314519024908,530.9889606423316,10.375321143139526,33.521289073712246,10.654682251806474,327.19960015107307,232.37532114313953,507.0973871828283,255.52128907371224,329.3010342509255,232.65468225180646,556.9299,0.9140898159926353,0.9942161101991375,0.9146864108386116
