date,country,cds_spread,risk_free_rate,B_f,LCL_usd,sigma_lcl,implied_V_M0,implied_sigma_V_M0,cca_converged_M0,implied_V_M1,implied_sigma_V_M1,cca_converged_M1,convenience_yield,implied_V_M2,implied_sigma_V_M2,cca_converged_M2,lambda_annual,group,exporter,DD_M0,DD_M1,DD_M2
2015-01-04,Brazil,207.97,0.0222,622.6488400000001,805.96795740989,0.1691149950763337,1363.199154630469,0.0999882721739818,True,1210.0787270831372,0.099988272174015,True,-0.1579637848074127,1363.1447166599537,0.1270131175716624,True,8.155143423832989,Exporter,1.0,3.8894823714012277,3.3565700799774887,3.00776795327593
2015-01-11,Brazil,201.92,0.0222,622.6488400000001,825.5754002840185,0.1705800817642371,1382.8064971543754,0.1018432925837181,True,1202.43954243218,0.1018432925837552,True,-0.1854262178680968,1382.7597263289194,0.1273421698189301,True,7.705557631254091,Exporter,1.0,3.877237446514387,3.2635124760982985,3.049435568193971
2015-01-18,Brazil,205.65,0.0222,622.6488400000001,828.4633180961553,0.1705010408566339,1385.6944469821874,0.1019392458097321,True,1224.4658298080142,0.1019392458097691,True,-0.1639527169838928,1385.6373531903396,0.129569149886,True,8.384938910883598,Exporter,1.0,3.882526118037051,3.3398611404251595,2.9992617255399585
2015-01-25,Brazil,193.65,0.0222,622.6488400000001,841.7086561518994,0.1692594836754159,1398.9400461117798,0.1018410189226238,True,1226.1368371111705,0.1018410189226453,True,-0.1748231364197304,1398.8876008440452,0.1298527481532145,True,8.506863620477713,Exporter,1.0,3.928266809879604,3.3492908585623344,3.0248549493847183
2015-02-01,Brazil,212.77,0.0217,621.24774,805.2046121749763,0.1700252092454822,1362.5734441589357,0.1004775366041491,True,1207.3923758961316,0.100477536604198,True,-0.1602159595464554,1362.5074085801775,0.1289026805651414,True,8.60907893308385,Exporter,1.0,3.866307731772769,3.328141975228783,2.9570031739157656
2015-02-08,Brazil,229.48,0.0217,621.24774,776.2405726951206,0.1738432291170986,1333.6083304743236,0.101190911387133,True,1206.053635199292,0.1011909113873435,True,-0.1329931530251255,1333.5121723011832,0.1302902574704521,True,8.831137734961025,Exporter,1.0,3.7425003231834446,3.2981867320914846,2.8485917294552476
2015-02-15,Brazil,235.35,0.0217,621.24774,761.9853410101833,0.1748650569077345,1319.3526325305177,0.100996734740628,True,1245.9713334397804,0.1009967347410617,True,-0.0749652334773636,1319.2609876847573,0.1284173525633719,True,8.28998791264736,Exporter,1.0,3.7025420553502193,3.449146301116824,2.8569379098194903
2015-02-22,Brazil,235.89,0.0217,621.24774,753.1082192835655,0.1743207607170283,1310.4755562929836,0.1001834888893921,True,1221.9511145859788,0.1001834888898295,True,-0.091917535684517,1310.3871281445845,0.1271446585465726,True,8.128638703411497,Exporter,1.0,3.7042870125973923,3.3920731745272596,2.864656336678037
2015-03-01,Brazil,235.88,0.0168,607.51696,775.2310822442553,0.1765231908980881,1333.7977229627152,0.1026037281505855,True,1248.8407405056885,0.1026037281511988,True,-0.0864101550574809,1333.7021844642036,0.1300373538291068,True,8.32346641060847,Exporter,1.0,3.67907721240031,3.392214539454424,2.847793262129088
2015-03-08,Brazil,253.64,0.0168,607.51696,718.8230289735859,0.1921444676280539,1277.3768787713136,0.1081476832604748,True,1196.8393961813815,0.1081476832605478,True,-0.08549060932975,1277.1880094531996,0.1330593944874507,True,7.584145071576028,Exporter,1.0,3.299667773671166,3.030364507866939,2.63090903661485
2015-03-15,Brazil,302.25,0.0168,607.51696,677.3588183516697,0.2007996565675794,1235.8947190157962,0.1100972387950025,True,1113.3072082821643,0.1100972387959594,True,-0.1377571343302729,1235.5485818955992,0.1369184255278905,True,8.187934488258595,Exporter,1.0,3.102817544151926,2.678501837070401,2.4399865525380395
2015-03-22,Brazil,291.2898,0.0168,607.51696,681.5404531535916,0.2006353282988505,1240.0771686510968,0.110311723834431,True,1126.3116862759612,0.1103117238353103,True,-0.1267608419540538,1239.7685699977335,0.1358575248031092,True,7.789327994082119,Exporter,1.0,3.1100019046402085,2.7198958882173803,2.472645580224175
2015-03-29,Brazil,285.95,0.0168,607.51696,677.2707838524447,0.1983762352936146,1235.811747103872,0.1087559750666056,True,1120.373847560738,0.1087559750672159,True,-0.1292167385325054,1235.5060298911585,0.1350469480138709,True,8.004976404557853,Exporter,1.0,3.143825492903869,2.7405715361989267,2.4778995266717243
2015-04-05,Brazil,259.48,0.0208,618.72576,735.9204742427992,0.2127278635756757,1293.472387344836,0.1211031240352895,True,1147.0597256831802,0.1211031240383933,True,-0.1585846971206449,1293.1001729764391,0.1458634379225756,True,7.680461418578111,Exporter,1.0,2.9718390005175825,2.528224649843202,2.415820444570453
2015-04-12,Brazil,245.19,0.0208,618.72576,746.7843792924108,0.2131532927355051,1304.3366427888998,0.1221094628753083,True,1213.6832299378527,0.1221094628788614,True,-0.0941071687434335,1304.0309089953598,0.1444619377009617,True,6.926849823778328,Exporter,1.0,2.9757393599657207,2.7119189333639984,2.468465138355718
2015-04-19,Brazil,241.81,0.0208,618.72576,755.3055396969996,0.2134495994774195,1312.858198746293,0.1228704096535266,True,1252.9332966261925,0.1228704096569645,True,-0.0602885675020527,1312.5656970389089,0.1448231736810493,True,6.810288774147373,Exporter,1.0,2.979315936276798,2.8092714152048157,2.481646113275565
2015-04-26,Brazil,220.11,0.0208,618.72576,778.1358181095579,0.215717987334336,1335.684383296724,0.125745066044223,True,1277.602333057478,0.1257450660478756,True,-0.0572738860033966,1335.4313712859607,0.1456971594721927,True,6.205567383411147,Exporter,1.0,2.966155710033207,2.8080380262151823,2.5178228018205933
2015-05-03,Brazil,237.95,0.0187,612.8411400000001,774.4032720768671,0.2152233317992127,1332.4791977541918,0.1251547455534301,True,1271.534321827258,0.1251547455571118,True,-0.0604290484048616,1332.2341436747731,0.1447793711599375,True,6.094891294281151,Exporter,1.0,2.969512594159285,2.802222221176351,2.525523576234667
2015-05-10,Brazil,222.26,0.0187,612.8411400000001,785.1653579312409,0.2156768098122574,1343.241501027941,0.1261412300251627,True,1276.5975430750832,0.1261412300285855,True,-0.0658616090135366,1343.00400353617,0.1455427879626629,True,6.0357508272506495,Exporter,1.0,2.9726127125217143,2.7921997211819067,2.5353141111069664
2015-05-17,Brazil,228.93,0.0187,612.8411400000001,778.9088742229528,0.215808632404222,1336.983478256529,0.1258008399359031,True,1294.004945222586,0.1258008399397924,True,-0.0415326256601046,1336.7758150605748,0.1434337358007414,True,5.468223330610242,Exporter,1.0,2.9648173639223345,2.8486637468268703,2.562851109920497
2015-05-24,Brazil,220.46,0.0187,612.8411400000001,754.3264961250642,0.2180727412753234,1312.3876363424145,0.1254322279412913,True,1268.8289207800408,0.1254322279489476,True,-0.0429725558563611,1312.1370916158658,0.1435698869678881,True,5.614899382679133,Exporter,1.0,2.9081542184659153,2.7878093127300243,2.5021675591375723
2015-05-31,Brazil,231.01,0.0212,619.8466400000001,720.132232808983,0.2222837719400983,1277.5331621675164,0.1254216824993616,True,1232.02936507202,0.1254216825203735,True,-0.046326023542028,1277.1956264065564,0.1444740235114003,True,5.885534915659204,Exporter,1.0,2.8164868115113175,2.6871656513932702,2.404454723469045
2015-06-07,Brazil,247.9,0.0212,619.8466400000001,728.3756619705233,0.2226645581414575,1285.7767380443152,0.1262582819215949,True,1236.3248318567594,0.1262582819415062,True,-0.0502644812083042,1285.4449868293375,0.14520860798578,True,5.863339376158497,Exporter,1.0,2.818742493174719,2.6798236212124227,2.4104809452987435
2015-06-14,Brazil,242.18,0.0212,619.8466400000001,734.2834527652882,0.2225459843939217,1291.6867125151734,0.1266292780305487,True,1222.983896250464,0.1266292780489242,True,-0.0708224412707113,1291.3803337321442,0.144852882958952,True,5.639079082667099,Exporter,1.0,2.8258517225131357,2.632827243433514,2.4314195530712404
