date,country,cds_spread,risk_free_rate,B_f,LCL_usd,sigma_lcl,implied_V,implied_sigma_V,cca_converged
2015-01-04,Brazil,207.97,0.0222,622.6488400000001,805.96795740989,0.16911499507633374,1363.1991546304687,0.09998827217398182,True
2015-01-11,Brazil,201.92,0.0222,622.6488400000001,825.5754002840185,0.17058008176423717,1382.8064971543754,0.10184329258371812,True
2015-01-18,Brazil,205.65,0.0222,622.6488400000001,828.4633180961553,0.17050104085663392,1385.6944469821874,0.10193924580973217,True
2015-01-25,Brazil,193.65,0.0222,622.6488400000001,841.7086561518994,0.16925948367541593,1398.9400461117798,0.10184101892262383,True
2015-02-01,Brazil,212.77,0.0217,621.24774,805.2046121749763,0.17002520924548223,1362.5734441589357,0.10047753660414915,True
2015-02-08,Brazil,229.48,0.0217,621.24774,776.2405726951206,0.1738432291170986,1333.6083304743236,0.10119091138713308,True
2015-02-15,Brazil,235.35,0.0217,621.24774,761.9853410101833,0.17486505690773455,1319.3526325305177,0.10099673474062801,True
2015-02-22,Brazil,235.89,0.0217,621.24774,753.1082192835655,0.17432076071702832,1310.4755562929836,0.1001834888893921,True
2015-03-01,Brazil,235.88,0.0168,607.51696,775.2310822442553,0.1765231908980881,1333.7977229627152,0.10260372815058558,True
2015-03-08,Brazil,253.64,0.0168,607.51696,718.8230289735859,0.1921444676280539,1277.3768787713136,0.10814768326047482,True
2015-03-15,Brazil,302.25,0.0168,607.51696,677.3588183516697,0.20079965656757942,1235.8947190157962,0.11009723879500252,True
2015-03-22,Brazil,291.2898,0.0168,607.51696,681.5404531535916,0.20063532829885053,1240.0771686510968,0.11031172383443101,True
2015-03-29,Brazil,285.95,0.0168,607.51696,677.2707838524447,0.1983762352936146,1235.811747103872,0.10875597506660567,True
2015-04-05,Brazil,259.48,0.0208,618.72576,735.9204742427992,0.21272786357567575,1293.472387344836,0.12110312403528957,True
2015-04-12,Brazil,245.19,0.0208,618.72576,746.7843792924108,0.2131532927355051,1304.3366427888998,0.12210946287530833,True
2015-04-19,Brazil,241.81,0.0208,618.72576,755.3055396969996,0.21344959947741957,1312.858198746293,0.12287040965352664,True
2015-04-26,Brazil,220.11,0.0208,618.72576,778.1358181095579,0.215717987334336,1335.684383296724,0.12574506604422303,True
2015-05-03,Brazil,237.95,0.0187,612.8411400000001,774.4032720768671,0.2152233317992127,1332.4791977541918,0.1251547455534301,True
2015-05-10,Brazil,222.26,0.0187,612.8411400000001,785.1653579312409,0.21567680981225743,1343.241501027941,0.12614123002516278,True
2015-05-17,Brazil,228.93,0.0187,612.8411400000001,778.9088742229528,0.215808632404222,1336.983478256529,0.12580083993590313,True
2015-05-24,Brazil,220.46,0.0187,612.8411400000001,754.3264961250642,0.2180727412753234,1312.3876363424145,0.12543222794129139,True
2015-05-31,Brazil,231.01,0.0212,619.8466400000001,720.132232808983,0.22228377194009832,1277.5331621675164,0.12542168249936164,True
2015-06-07,Brazil,247.9,0.0212,619.8466400000001,728.3756619705233,0.22266455814145752,1285.7767380443152,0.12625828192159497,True
2015-06-14,Brazil,242.18,0.0212,619.8466400000001,734.2834527652882,0.2225459843939217,1291.6867125151734,0.1266292780305487,True
2015-06-21,Brazil,240.17,0.0212,619.8466400000001,739.252408752324,0.22269562021170297,1296.6561696801136,0.1270815971536018,True
2015-06-28,Brazil,256.0898,0.0212,619.8466400000001,731.6959320257795,0.2221552301008468,1289.1005733019626,0.12621330926221308,True
2015-07-05,Brazil,249.89,0.0219,621.8081800000001,763.9461349960022,0.2125355766154828,1321.2075536851398,0.12295642800532375,True
2015-07-12,Brazil,251.79,0.0219,621.8081800000001,758.0071788817905,0.2126008670403863,1315.2674661752278,0.12259091935148986,True
2015-07-19,Brazil,262.49,0.0219,621.8081800000001,751.1821685885069,0.21269937967352223,1308.4410507326106,0.12217965311707932,True
