date,country,cds_spread,risk_free_rate,B_f,LCL_usd,sigma_lcl,implied_V_M0,implied_sigma_V_M0,cca_converged_M0,implied_V_M1,implied_sigma_V_M1,cca_converged_M1,convenience_yield,implied_V_M2,implied_sigma_V_M2,cca_converged_M2,lambda_annual,group,exporter,DD_M0,DD_M1,DD_M2,PD_M0,PD_M1,PD_M2
2015-01-04,Brazil,207.97,0.0222,622.6488400000001,805.96795740989,0.1691149950763337,1363.1991546305114,0.099988272174107,True,1310.3158302641789,0.0999882721741221,True,-0.1579637848074127,1363.1955047145595,0.107633005719038,True,8.155143423832989,Exporter,1.0,3.889482371396218,3.7125168310920564,3.5967300920721352,5.0229132700899534e-05,0.0001026042047753929,0.00016112127262745307
2015-01-11,Brazil,201.92,0.0222,622.6488400000001,825.5754002840185,0.1705800817642371,1382.8064971543856,0.1018432925838602,True,1320.0657830753958,0.1018432929308661,True,-0.1854262178680968,1382.8030699032615,0.1090542794562661,True,7.705557631254091,Exporter,1.0,3.8772374465086927,3.6733387054260525,3.6052618744060405,5.282461972094975e-05,0.00011970090747366872,0.00015591915751976426
2015-01-18,Brazil,205.65,0.0222,622.6488400000001,828.4633180961553,0.1705010408566339,1385.6944469822051,0.1019392458098648,True,1329.937416680911,0.1019392452035339,True,-0.1639527169838928,1385.6906011190922,0.1097799168918868,True,8.384938910883598,Exporter,1.0,3.8825261180317567,3.702351629580284,3.588311916475784,5.168845434608385e-05,0.00010680514180730904,0.00016641298264293648
2015-01-25,Brazil,193.65,0.0222,622.6488400000001,841.7086561518994,0.1692594836754159,1398.9400461118478,0.101841018922696,True,1339.006673967085,0.1018410187966603,True,-0.1748231364197304,1398.9367010382457,0.1097949464407398,True,8.506863620477713,Exporter,1.0,3.9282668098768716,3.735986262865891,3.6265384696288407,4.2780128910531874e-05,9.34904380129306e-05,0.00014362302096026443
2015-02-01,Brazil,212.77,0.0217,621.24774,805.2046121749763,0.1700252092454822,1362.5734441589138,0.1004775366043163,True,1308.966381199338,0.100477535969356,True,-0.1602159595464554,1362.5691362538382,0.1085399468140009,True,8.60907893308385,Exporter,1.0,3.8663077317658905,3.6876611897732525,3.561744595570984,5.5247749724168355e-05,0.0001131623623742268,0.00018419933749541266
2015-02-08,Brazil,229.48,0.0217,621.24774,776.2405726951206,0.1738432291170986,1333.6083304738293,0.1011909113878657,True,1289.8839436879066,0.1011909113878839,True,-0.1329931530251255,1333.6014742308955,0.1094555456783235,True,8.831137734961025,Exporter,1.0,3.742500323153069,3.5951715269686666,3.4421126299730447,9.109914923581858e-05,0.00016208895868367776,0.0002885949378707833
2015-02-15,Brazil,235.35,0.0217,621.24774,761.9853410101833,0.1748650569077345,1319.3526325296702,0.1009967347417947,True,1294.7123689195575,0.1009967344623298,True,-0.0749652334773636,1319.3454971254005,0.1087617753098287,True,8.28998791264736,Exporter,1.0,3.702542055301995,3.619062632981623,3.421433706653412,0.0001067249819657577,0.00014783603831258313,0.00031145954554491565
2015-02-22,Brazil,235.89,0.0217,621.24774,753.1082192835655,0.1743207607170283,1310.47555629215,0.1001834888905542,True,1280.562268376028,0.1001834884062033,True,-0.091917535684517,1310.4686455909537,0.1078058299866229,True,8.128638703411497,Exporter,1.0,3.7042870125489857,3.601210798704469,3.425914404711046,0.00010599306718462882,0.00015836931265386935,0.00030636672126228707
2015-03-01,Brazil,235.88,0.0168,607.51696,775.2310822442553,0.1765231908980881,1333.7977229617557,0.1026037281518183,True,1305.147262479112,0.102603727934683,True,-0.0864101550574809,1333.7900202474652,0.1103861539876842,True,8.32346641060847,Exporter,1.0,3.679077212350214,3.5844316732265633,3.402883544711472,0.0001170396985633047,0.00016890649102281155,0.0003333934723942986
2015-03-08,Brazil,253.64,0.0168,607.51696,718.8230289735859,0.1921444676280539,1277.3768787709023,0.1081476832605424,True,1250.225807019903,0.108147682941458,True,-0.08549060932975,1277.3546210801842,0.1152187493223146,True,7.584145071576028,Exporter,1.0,3.299667773667622,3.2108249000479154,3.081770705926213,0.00048399673895902217,0.0006617727778607134,0.0010288663868998926
