date,country,cds_spread,risk_free_rate,implied_V,implied_sigma_V,cca_converged,B_f,LCL_usd,sigma_lcl,lambda_annual
2015-01-04,Brazil,207.97,0.0222,1363.144716652369,0.127013117573717,True,622.6488400000001,805.96795740989,0.16911499507633374,8.155143423832989
2015-01-11,Brazil,201.92,0.0222,1382.7597263285252,0.12734216981992197,True,622.6488400000001,825.5754002840185,0.17058008176423717,7.705557631254091
2015-01-18,Brazil,205.65,0.0222,1385.6373531890283,0.12956914988769283,True,622.6488400000001,828.4633180961553,0.17050104085663392,8.384938910883598
2015-01-25,Brazil,193.65,0.0222,1398.8876008439233,0.12985274815436398,True,622.6488400000001,841.7086561518994,0.16925948367541593,8.506863620477713
2015-02-01,Brazil,212.77,0.0217,1362.5074085815154,0.12890268056767193,True,621.24774,805.2046121749763,0.17002520924548223,8.60907893308385
2015-02-08,Brazil,229.48,0.0217,1333.5121722971885,0.13029025747996664,True,621.24774,776.2405726951206,0.1738432291170986,8.831137734961025
2015-02-15,Brazil,235.35,0.0217,1319.260987689464,0.1284173525721936,True,621.24774,761.9853410101833,0.17486505690773455,8.28998791264736
2015-02-22,Brazil,235.89,0.0217,1310.3871281480924,0.12714465855497065,True,621.24774,753.1082192835655,0.17432076071702832,8.128638703411497
2015-03-01,Brazil,235.88,0.0168,1333.7021844552296,0.13003735383979115,True,607.51696,775.2310822442553,0.1765231908980881,8.32346641060847
2015-03-08,Brazil,253.64,0.0168,1277.1880093645516,0.13305939449480597,True,607.51696,718.8230289735859,0.1921444676280539,7.584145071576028
2015-03-15,Brazil,302.25,0.0168,1235.5485818946806,0.1369184255279744,True,607.51696,677.3588183516697,0.20079965656757942,8.187934488258595
2015-03-22,Brazil,291.2898,0.0168,1239.7685700738696,0.13585752479636495,True,607.51696,681.5404531535916,0.20063532829885053,7.789327994082119
2015-03-29,Brazil,285.95,0.0168,1235.5060299891618,0.13504694800530342,True,607.51696,677.2707838524447,0.1983762352936146,8.004976404557853
2015-04-05,Brazil,259.48,0.0208,1293.100172972631,0.14586343792293763,True,618.72576,735.9204742427992,0.21272786357567575,7.680461418578111
2015-04-12,Brazil,245.19,0.0208,1304.0309090930432,0.1444619376917782,True,618.72576,746.7843792924108,0.2131532927355051,6.926849823778328
2015-04-19,Brazil,241.81,0.0208,1312.5656969908275,0.14482317368556694,True,618.72576,755.3055396969996,0.21344959947741957,6.810288774147373
