date,debt_st,debt_lt,default_barrier,msci_index,msci_ret_weekly,n_obs,msci_vol_annual,country,cds_spread,rf,country_lower,A,d2,pd_model,spread_model,ln_cds,d_ln_cds,d_pd,ym
2010-01-01,0.0,69577819702.0,34788909851.0,1317.519,0.0261558056623226,5,0.3454255090863118,Brazil,122.56,0.004699999999999999,brazil,105023188305.54723,1.0746905973613352,0.14125663740799427,282.51327481598855,4.808600705992281,,,2010-01
2010-01-08,0.0,69577819702.0,34788909851.0,1356.236,0.0289627930909422,5,0.3452881716051062,Brazil,116.06,0.0037,brazil,108109430539.34111,1.1064615664912323,0.13426339518234853,268.5267903646971,4.754107298762462,-0.05449340722981866,-0.006993242225645735,2010-01
2010-01-15,0.0,69577819702.0,34788909851.0,1307.133,-0.0368770264526326,5,0.3378139798820282,Brazil,129.06,0.0033,brazil,104195290693.64075,1.0963727187186265,0.13645784890594492,272.91569781188986,4.860277412507694,0.10617011374523155,0.00219445372359639,2010-01
2010-01-22,0.0,69577819702.0,34788909851.0,1228.794,-0.061802988633227,5,0.3432774286161663,Brazil,135.56,0.003,brazil,97950666101.00243,0.9843343051751783,0.1624755837410976,324.9511674821952,4.909414346738851,0.04913693423115717,0.026017734835152684,2010-01
2010-01-29,0.0,69577819702.0,34788909851.0,1176.188,-0.0437544999417151,5,0.3469477397677651,Brazil,143.5629,0.003,brazil,93757292158.00682,0.9093582239814584,0.18158053296773952,363.16106593547903,4.966773266688361,0.057358919949510145,0.01910494922664191,2010-01
2010-02-05,0.0,69577819702.0,34788909851.0,1124.336,-0.0450860614606766,5,0.3351045077122469,Brazil,149.5629,0.0031,brazil,89624021700.41248,0.9089446042512912,0.18168968376030492,363.37936752060983,5.007717040132212,0.040943773443850695,0.0001091507925654045,2010-02
2010-02-12,0.0,69577819702.0,34788909851.0,1185.389,0.0528783515760087,5,0.3357743836176764,Brazil,140.0629,0.0034999999999999996,brazil,94490730048.16197,0.9787266222848021,0.16385753712712903,327.71507425425807,4.942091607424984,-0.06562543270722809,-0.017832146633175894,2010-02
2010-02-19,0.0,69577819702.0,34788909851.0,1245.455,0.0494299342386786,5,0.3097197383635058,Brazil,131.5629,0.0039000000000000003,brazil,99278761817.5414,1.1960320200574068,0.11584203193883225,231.6840638776645,4.879485064252126,-0.06260654317285752,-0.04801550518829678,2010-02
2010-02-26,0.0,69577819702.0,34788909851.0,1227.906,-0.0141906454353541,5,0.3107555319746149,Brazil,129.0629,0.0032,brazil,97879881094.32294,1.1642743154431905,0.12215643093919787,244.31286187839572,4.860299882424157,-0.01918518182796891,0.0063143990003656225,2010-02
2010-03-05,0.0,69577819702.0,34788909851.0,1289.351,0.0488287114369375,5,0.3099178104324983,Brazil,122.5629,0.0038,brazil,102777836877.45348,1.2440863320647657,0.1067338954227311,213.4677908454622,4.808624367592238,-0.05167551483191879,-0.015422535516466773,2010-03
2010-03-12,0.0,69577819702.0,34788909851.0,1307.822,0.0142241671468771,5,0.303758199212394,Brazil,115.5629,0.0040999999999999995,brazil,104250212844.09361,1.3063770760903726,0.09571217879504246,191.42435759008492,4.749814970471802,-0.0588093971204362,-0.011021716627688638,2010-03
2010-03-19,0.0,69577819702.0,34788909851.0,1276.399,-0.024320326179425,5,0.3035198606367026,Brazil,119.0629,0.0042,brazil,101745396104.35384,1.2728386055684,0.1015376593995525,203.075318799105,4.779651924895429,0.02983695442362677,0.005825480604510047,2010-03
2010-03-26,0.0,69577819702.0,34788909851.0,1256.211,-0.015942784400951,5,0.3043213273342692,Brazil,127.0629,0.0043,brazil,100136153182.23099,1.245002806482245,0.10656535930975514,213.13071861951025,4.844682239440669,0.06503031454523978,0.005027699910202632,2010-03
2010-04-02,0.0,69577819702.0,34788909851.0,1334.108,0.0601628561693963,5,0.300710181607652,Brazil,126.1257,0.0046,brazil,106345544697.2203,1.3597814226383267,0.08694955144491257,173.89910288982512,4.8372790287079255,-0.007403210732743304,-0.01961580786484257,2010-04
2010-04-09,0.0,69577819702.0,34788909851.0,1337.72,0.0027037685063706,5,0.2999564512191035,Brazil,125.06,0.0046,brazil,106633467494.65976,1.3689169157694734,0.08551262372635726,171.02524745271452,4.828793622139152,-0.008485406568773612,-0.001436927718555303,2010-04
2010-04-16,0.0,69577819702.0,34788909851.0,1315.275,-0.0169209030016683,5,0.3005960855163673,Brazil,115.1188,0.0040999999999999995,brazil,104844312680.55994,1.3356817093977162,0.09082666511267312,181.65333022534622,4.745964638619293,-0.08282898351985857,0.00531404138631586,2010-04
2010-04-23,0.0,69577819702.0,34788909851.0,1308.116,-0.0054578351233151,5,0.3010414129442011,Brazil,116.65,0.0046,brazil,104273648420.6294,1.3283167765298447,0.09203673989324546,184.0734797864909,4.759177998467439,0.013213359848145423,0.0012100747805723344,2010-04
2010-04-30,0.0,69577819702.0,34788909851.0,1294.597,-0.0103884843095168,5,0.3014958974288213,Brazil,123.7211,0.0040999999999999995,brazil,103196010464.21078,1.306181246417993,0.09574546436962139,191.49092873924278,4.818029838821637,0.05885184035419844,0.0037087244763759353,2010-04
2010-05-07,0.0,69577819702.0,34788909851.0,1131.041,-0.1350610022263527,5,0.3164167003680329,Brazil,156.0081,0.0038,brazil,90158496328.54967,1.0189991668773242,0.15410168102523214,308.2033620504643,5.049907928978504,0.2318780901568669,0.05835621665561075,2010-05
2010-05-14,0.0,69577819702.0,34788909851.0,1174.26,0.0374997143806511,5,0.314054938988189,Brazil,131.29,0.0034000000000000002,brazil,93603605792.1532,1.0825146995741912,0.1395119436497358,279.02388729947154,4.877408616946019,-0.17249931203248536,-0.014589737375496348,2010-05
2010-05-21,0.0,69577819702.0,34788909851.0,1069.361,-0.0935768881433778,5,0.3247331727115262,Brazil,147.91,0.0034999999999999996,brazil,85241808026.75961,0.8952506511891963,0.18532655695426814,370.6531139085363,4.996603980683279,0.11919536373726025,0.04581461330453235,2010-05
2010-05-28,0.0,69577819702.0,34788909851.0,1122.176,0.0482083837245107,5,0.3207738057558478,Brazil,136.1971,0.0034000000000000002,brazil,89451841954.4354,0.9817225928478336,0.16311826593109097,326.23653186218195,4.914103101271402,-0.08250087941187711,-0.022208291023177174,2010-05
2010-06-04,0.0,69577819702.0,34788909851.0,1115.065,-0.0063569583668645,5,0.3209186232323223,Brazil,143.14,0.0034000000000000002,brazil,88885003911.08214,0.9720971440700161,0.16550111140394302,331.002222807886,4.963823172310452,0.04972007103904996,0.0023828454728520576,2010-06
2010-06-11,0.0,69577819702.0,34788909851.0,1161.398,0.0407117527176824,5,0.3226815318618493,Brazil,140.57,0.003,brazil,92578339175.13594,1.0165067915246704,0.15469405752042586,309.38811504085174,4.945705585343674,-0.018117586966777566,-0.01080705388351716,2010-06
2010-06-18,0.0,69577819702.0,34788909851.0,1194.346,0.0279743033414547,5,0.3182288640013346,Brazil,127.37,0.003,brazil,95204718004.04936,1.0800687751059797,0.14005577763949706,280.11155527899416,4.8470962366016686,-0.09860934874200566,-0.014638279880928806,2010-06
