#NAME?,Brazil,Chile,China,Colombia,Czechia,Egypt,Euro,Hungary,India,Indonesia,South Korea,Kuwait,Malaysia,Mexico,Peru,Philippines,Poland,Qatar,Saudi Arabia,South Africa,Taiwan,Thailand,Turkey,United Arab Emirates
1/25/00,1.776482919,517.0630817,8.278145695,1947.040498,35.76537911,#DIV/0!,0.999350422,254.9070239,43.57300374,7352.941176,#DIV/0!,0.304599452,3.799392097,9.523809524,3.490401396,40.50222762,4.132231405,#DIV/0!,3.750937734,6.153846154,30.77870114,37.29951511,0.552620527,3.672420125
1/26/00,1.77799904,516.5289256,8.278145695,1964.636542,35.72704537,#DIV/0!,0.998751561,254.712305,43.57300374,7446.016381,#DIV/0!,0.304599452,3.799392097,9.505703422,3.483106931,40.55150041,4.127115147,#DIV/0!,3.750937734,6.165228113,30.77870114,37.50937734,0.552620527,3.672420125
1/27/00,1.778979577,517.3305742,8.278145695,1978.630787,36.12716763,#DIV/0!,1.011684961,258.3979328,43.55400697,7412.898443,#DIV/0!,0.304803706,3.797949107,9.532897553,3.468609088,40.4040404,4.158004158,#DIV/0!,3.750937734,6.218905473,30.7503075,37.41114852,0.555623465,3.672420125
1/28/00,1.793496781,517.5983437,8.278145695,1965.408805,36.61662395,#DIV/0!,1.025641026,261.7801047,43.59197908,7451.564829,#DIV/0!,0.305203723,3.799392097,9.596938193,3.487966516,40.50222762,4.199916002,#DIV/0!,3.750937734,6.337135615,30.67484663,37.62227239,0.558802821,3.672420125
1/31/00,1.783994006,517.8663905,8.278145695,1976.675232,36.71071953,#DIV/0!,1.031459515,263.0886609,43.59197908,7451.564829,#DIV/0!,0.305595453,3.799392097,9.587727709,3.48553503,40.55150041,4.208754209,#DIV/0!,3.750937734,6.309148265,30.67484663,37.53753754,0.558802821,3.672420125
2/1/00,1.789004777,518.4033178,8.278145695,1968.116512,36.83241252,#DIV/0!,1.028436263,262.8812468,43.57300374,7485.02994,#DIV/0!,0.305801046,3.799392097,9.587727709,3.46981263,40.60089322,4.244482173,#DIV/0!,3.750937734,6.261740764,30.68425898,37.5516335,0.561873511,3.672420125
2/2/00,1.784981168,516.5289256,8.278145695,1967.72924,36.68378577,#DIV/0!,1.024117978,261.5062762,43.57300374,7662.835249,#DIV/0!,0.306203687,3.799392097,9.541984733,3.473428274,40.61738424,4.22832981,#DIV/0!,3.750937734,6.285355123,31.69572108,37.63643207,0.561873511,3.672420125
2/3/00,1.783994006,514.9330587,8.278145695,1945.903872,36.29764065,#DIV/0!,1.009845998,257.9980026,43.61100899,7686.395081,#DIV/0!,0.306100585,3.799392097,9.487666034,3.475842892,40.7000407,4.175365344,#DIV/0!,3.750937734,6.257822278,30.68425898,37.5516335,0.558802821,3.673769287
2/4/00,1.768002687,515.7297576,8.278145695,1955.416504,36.61662395,#DIV/0!,1.017552786,260.0780234,43.59197908,7547.169811,#DIV/0!,0.305997552,3.799392097,9.442870633,3.475842892,40.60089322,4.180602007,#DIV/0!,3.750937734,6.257822278,30.72196621,37.56574005,0.561873511,3.672420125
2/7/00,1.768502962,514.6680391,8.278145695,1950.078003,36.46973012,#DIV/0!,1.019367992,260.6882169,43.61100899,7524.454477,#DIV/0!,0.305997552,3.799392097,9.425070688,3.472222222,40.58441558,4.182350481,#DIV/0!,3.750937734,6.289308176,30.68425898,37.67897513,0.561873511,3.672420125
