Dates,Argentina,Brazil,Chile,Colombia,Mexico,Peru,Uruguay,Angola,Egypt,Ghana,Kenya,Morocco,Nigeria,South Africa,Tunisia,Zambia,West African CFA Franc,Kazakhstan,Poland,Euro,Turkey,Ukraine,Hungary,Bahrain,Oman,Saudi,United Arab Emirates,Qatar,Iraq,Indonesia,Pakistan,Philippines,Sri Lanka,Vietnam
17.03.2000,0.9998,1.739,506.7,1953.5,9.309,3.4385,11.845,5.81,3.4408,0.395,74.9,10.312,100.98,6.4721,1.3018,2.84,677.3618,141.67,4.0735,1.0287,0.5786,5.4595,260.72,0.37702,0.385,3.7502,3.6729,3.64,0.315,7435,51.8975,40.975,73.66,14065
24.03.2000,0.9998,1.7325,502.45,1958,9.22,3.5175,11.875,5.81,3.435,0.405,74.85,10.2997,101.75,6.4795,1.3022,2.925,675.1656,141.73,4.037,1.0226,0.5836,5.495,263.34,0.37702,0.38499,3.7502,3.6729,3.6405,0.315,7453,51.895,40.915,73.71,14061
31.03.2000,0.9998,1.736,503.25,1958.7,9.253,3.481,11.8425,5.84,3.4279,0.4175,74.95,10.3737,102.9,6.525,1.3149,2.925,685.5022,142.06,4.1295,1.0466,0.5899,5.44,270.42,0.37702,0.385,3.7504,3.6729,3.64,0.315,7580,51.895,41.115,73.75,14061
07.04.2000,0.9998,1.741,505.75,2002,9.3,3.493,11.86,5.84,3.4313,0.423,74.85,10.3625,101.3,6.5615,1.3097,2.925,684.2866,142.64,4.1475,1.0468,0.5925,5.525,271.23,0.37702,0.385,3.7506,3.6729,3.64,0.315,7665,51.8965,41.09,73.71,14057
14.04.2000,0.9999,1.786,508.05,1993,9.513,3.4725,11.86,5.84,3.4313,0.431,73.7,10.3796,101.17,6.5955,1.3138,2.9515,686.0759,142.19,4.23,1.0393,0.5938,5.555,268,0.37702,0.385,3.7506,3.6725,3.6394,0.315,7605,51.8925,41.175,73.7,14062
21.04.2000,0.9991,1.778,510.2,1993.5,9.402,3.4695,11.8675,6.39,3.432,0.4325,73.73,10.487,101.1,6.7326,1.3335,2.9525,698.1981,142.2,4.2905,1.0655,0.6003,5.515,274.61,0.37702,0.385,3.7507,3.6731,3.6401,0.315,7995,51.75,41.25,73.75,14064
28.04.2000,0.9997,1.807,515.35,2007,9.3925,3.4755,11.905,6.39,3.4313,0.441,74.75,10.6841,100.8,6.7885,1.3704,2.9675,719.8432,142.15,4.471,1.0966,0.6111,5.515,283.54,0.37702,0.3849,3.7505,3.6729,3.6401,0.315,7925,51.895,41.275,74.08,14068
05.05.2000,0.9997,1.801,519.55,2039.5,9.478,3.497,11.92,6.55,3.4363,0.441,75.15,10.8062,100.53,6.96,1.4033,2.9775,729.8401,142.1,4.64,1.1148,0.6182,5.3974,289.43,0.37702,0.385,3.7507,3.6729,3.64,0.3123,7970,51.875,41.265,74.31,14071
12.05.2000,0.9997,1.836,520.9,2037.65,9.5855,3.5005,11.9225,6.55,3.4569,0.446,76.75,10.7346,102,7.0252,1.3927,2.96,723.4555,142.25,4.477,1.0873,0.6157,5.3934,284.43,0.37702,0.385,3.7505,3.673,3.6408,0.3123,8455,51.875,41.5,74.56,14074
19.05.2000,0.9998,1.839,524,2100,9.589,3.508,11.975,6.96,3.437,0.456,76.35,10.8299,101,7.1683,1.4123,3.0225,734.7601,142.34,4.525,1.1142,0.6236,5.4125,289.44,0.37702,0.385,3.7503,3.6731,3.64,0.3123,8360,51.895,41.675,74.7,14077
26.05.2000,0.9997,1.837,523.95,2111.5,9.537,3.527,11.985,7.27,3.4438,0.466,76.65,10.592,102.48,7.1185,1.3842,3.0175,708.4535,142.3,4.525,1.0742,0.6185,5.414,278.65,0.37702,0.385,3.7508,3.673,3.64,0.3123,8515,51.8995,43.025,74.68,14082
02.06.2000,0.9997,1.801,519.45,2125,9.55,3.4875,12.02,8.2,3.4438,0.48,76.8,10.5075,102.4,6.9338,1.3617,3.025,694.7594,142.57,4.3205,1.0567,0.616,5.44,274.11,0.37702,0.385,3.7506,3.6727,3.64,0.3096,8315,52.075,42.5,74.92,14082
09.06.2000,0.9998,1.802,528.65,2118,9.895,3.483,12.02,8.67,3.4435,0.485,78.6,10.457,103,7.007,1.3479,3.035,689.7915,142.45,4.407,1.0487,0.6122,5.4385,273.62,0.377,0.385,3.7505,3.673,3.64,0.3096,8625,52.025,42.5,75.1,14083
16.06.2000,0.9996,1.803,531.05,2114.75,9.88,3.4805,12.0425,9.44,3.4538,0.498,77.25,10.3865,103.35,6.83,1.3293,3.0225,682.7197,142.5,4.4213,1.0363,0.6124,5.4384,269.1,0.377,0.385,3.7506,3.6731,3.64,0.31,8600,52.15,42.615,74.95,14085
23.06.2000,0.9997,1.826,536.65,2127.7,9.944,3.495,12.07,9.83,3.4635,0.575,77.65,10.5207,103.65,6.885,1.3559,3.095,700.4721,142.82,4.4473,1.0685,0.624,5.49,277.6,0.377,0.385,3.7506,3.6731,3.64,0.3133,8675,52.27,42.9,78.7,14086
30.06.2000,0.9999,1.806,539.85,2148.5,9.83,3.487,12.115,9.83,3.4713,0.5655,77.75,10.3968,105.1,6.795,1.3317,3.1325,684.3223,142.6,4.355,1.0499,0.6193,5.4379,271.99,0.377,0.385,3.7508,3.6731,3.64,0.3133,8760,52.23,43.25,79.12,14083
07.07.2000,0.9999,1.8,536.15,2176.25,9.526,3.4815,12.1025,9.83,3.4722,0.607,77.25,10.455,104.75,6.8585,1.3437,3.175,691.0631,142.85,4.3275,1.0544,0.6245,5.49,274.18,0.377,0.385,3.7506,3.6731,3.64,0.3142,9313,52.29,44.05,78.95,14088
14.07.2000,0.9998,1.802,543.05,2146.75,9.3805,3.478,12.175,10.56,3.48,0.625,77.15,10.555,113.75,6.8875,1.358,3.1975,699.9115,142.7,4.342,1.0655,0.628,5.4387,277.33,0.377,0.385,3.7506,3.6731,3.64,0.3142,9500,52.2975,44.55,79,14090
21.07.2000,0.9998,1.797,546.05,2147,9.362,3.4805,12.225,10.52,3.4805,0.66,75.75,10.5505,106.75,6.9135,1.3653,3.2525,703.477,142.71,4.2995,1.0673,0.6295,5.4389,277.76,0.377,0.385,3.7507,3.6729,3.64,0.3142,8925,52.785,44.43,78.2,14094
28.07.2000,0.9995,1.784,557.65,2178.5,9.38,3.474,12.23,10.66,3.4825,0.6625,74.3,10.638,105.7,6.955,1.3683,3.285,707.5365,142.75,4.3465,1.0834,0.6365,5.4389,281.39,0.37701,0.385,3.7509,3.6731,3.6401,0.3142,8900,53.395,44.95,78.35,14092
04.08.2000,0.9995,1.792,555.2,2184,9.35,3.4855,12.28,9.49,3.4825,0.6775,75.25,10.747,108.5,6.956,1.394,3.25,722.0221,142.57,4.4075,1.101,0.644,5.4388,287.43,0.377,0.385,3.7507,3.673,3.64,0.3124,8625,53.24,44.8,78.46,14098
11.08.2000,0.9995,1.799,547.65,2182.5,9.271,3.4875,12.3325,9.49,3.4999,0.674,76.25,10.757,104.75,6.89,1.3995,3.31,724.9747,142.73,4.3645,1.1079,0.647,5.4386,289.15,0.37706,0.385,3.7508,3.6732,3.6409,0.3124,8325,53.3875,44.9,78.35,14101
18.08.2000,0.9999,1.817,549.4,2184.75,9.305,3.4725,12.27,9.49,3.5,0.672,77.15,10.7339,103.9,6.9363,1.3925,3.325,721.7838,142.69,4.3135,1.1033,0.6463,5.4418,287.02,0.37701,0.385,3.7508,3.6731,3.6395,0.3124,8345,54.385,45,78.18,14108
