COUNTRY;INDICATOR;FREQUENCY;SCALE;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Sierra Leone;Population - Persons for countries / Index for country groups;Annual;Millions;4.585;4.754;4.971;5.178;5.356;5.502;5.624;5.749;5.895;6.056;6.223;6.387;6.551;6.714;6.876;7.038;7.205;7.379;7.555;7.732;7.913;8.095;8.277;8.461;8.642
Tonga;Population - Persons for countries / Index for country groups;Annual;Millions;0.099;0.1;0.1;0.1;0.101;0.101;0.102;0.102;0.102;0.103;0.103;0.103;0.103;0.102;0.102;0.101;0.101;0.101;0.1;0.1;0.1;0.1;0.1;0.1;0.099
Slovakia;Gross domestic product (GDP) - Constant prices - Domestic currency;Annual;Billions;47.159;48.538;50.682;53.144;56.008;59.64;64.963;71.992;75.853;71.677;76.544;78.506;79.738;80.298;82.473;86.742;88.432;90.974;94.669;96.824;94.321;99.697;100.133;102.304;104.413
Montenegro;Population - Persons for countries / Index for country groups;Annual;Millions;0.605;0.607;0.61;0.612;0.613;0.614;0.615;0.616;0.617;0.618;0.619;0.62;0.621;0.623;0.624;0.625;0.625;0.626;0.626;0.627;0.627;0.625;0.624;0.624;0.624
Serbia;Population - Persons for countries / Index for country groups;Annual;Millions;7.516;7.503;7.5;7.481;7.463;7.441;7.412;7.382;7.35;7.321;7.291;7.237;7.201;7.167;7.132;7.095;7.058;7.021;6.983;6.945;6.899;6.834;6.664;6.623;6.576
United Kingdom;Current account balance (credit less debit) - Percent of GDP;Annual;Units;-1.831;-1.773;-1.973;-1.823;-2.302;-1.998;-3.12;-3.729;-3.862;-3.068;-2.761;-1.63;-3.146;-4.644;-5.022;-4.948;-5.448;-3.493;-3.927;-2.688;-2.934;-0.437;-2.102;-3.509;-2.656
G7;Financial account balance (assets less liabilities) - US dollar;Annual;Billions;-379.39;-314.273;-444.127;-482.085;-280.395;-552.184;-678.352;-336.385;-630.749;-132.903;-364.511;-486.313;-401.644;-290.526;-53.704;-134.344;32.2;-8.02;61.029;-179.675;-459.351;-384.042;-802.029;-818.921;-730.019
United States;Population - Persons for countries / Index for country groups;Annual;Millions;282.296;285.216;288.019;290.733;293.389;296.115;298.93;301.903;304.718;307.374;309.737;311.944;314.167;316.331;318.619;320.926;323.221;325.28;327.023;328.547;331.307;332.453;334.273;337.014;340.102
G7;Net lending (+) / net borrowing (-) - General government - Percent of GDP;Annual;Units;;-2.002;-4.133;-4.715;-3.961;-3.252;-2.207;-2.231;-4.499;-9.825;-8.787;-7.359;-6.444;-4.336;-3.61;-3.016;-3.323;-3.355;-3.364;-3.801;-11.716;-8.871;-3.716;-6.135;-6.188
G7;Gross domestic product (GDP) - Price deflator - Index;Annual;Units;91.983;93.471;94.706;96.165;98.01;100;102.017;104.136;105.903;106.549;107.383;108.889;110.334;111.836;113.607;114.845;115.967;117.56;119.594;121.41;123.545;127.412;134.536;140.508;144.283
United States;Expenditure - General government - Percent of GDP;Annual;Units;;32.801;33.698;34.037;33.719;33.928;33.692;34.562;37.144;41.399;39.763;38.796;37.223;35.782;35.324;35.031;35.333;35.194;35.349;35.819;44.722;43.201;36.79;37.65;37.918
Austria;Current account balance (credit less debit) - Percent of GDP;Annual;Units;-0.71;-0.8;2.118;1.557;2.092;2.274;3.318;3.826;4.52;2.613;2.873;1.641;1.492;1.748;2.397;1.577;2.574;1.264;0.846;2.376;3.367;1.735;-0.862;1.341;2.409
United States;Net debt - General government - Domestic currency;Annual;Billions;;3645.179;4008.2;4446.831;5787.847;5991.418;6132.015;6375.362;7425.784;8884.162;10215.416;11578.792;12713.853;13353.564;14045.283;14651.041;15245.204;15538.953;16518.331;17587.551;20547.574;22750.765;23964.929;26274.591;28535.496
G7;Revenue - General government - Percent of GDP;Annual;Units;;35.06;33.705;33.787;34.143;34.93;35.7;36.101;35.681;34.277;34.115;34.757;34.854;36.311;36.507;36.286;35.985;35.785;35.803;35.555;36.036;37.042;37.562;35.399;35.516
G7;Gross domestic product (GDP) - Per capita - purchasing power parity (PPP) international dollar - ICP benchmarks 2017-2021;Annual;Units;32012.711;32943.335;33630.978;34726.672;36472.609;38345.667;40325.131;42029.071;42567.707;41016.02;42497.151;43855.197;45061.855;46321.933;47809.329;49053.761;50050.48;51951.35;54013.465;56403.999;55308.052;60753.46;66531.885;69803.757;72267.969
G7;Current account balance (credit less debit) - Percent of GDP;Annual;Units;-1.361;-1.376;-1.408;-1.481;-1.296;-1.706;-1.86;-1.339;-1.607;-0.633;-0.674;-0.75;-0.877;-0.621;-0.633;-0.512;-0.123;0.09;-0.103;0.039;-0.738;-0.74;-1.992;-1.434;-1.629
United Kingdom;Current account balance (credit less debit) - US dollar;Annual;Billions;-30.557;-29.263;-35.297;-37.489;-55.765;-50.868;-84.629;-115.284;-114.329;-74.294;-68.681;-43.443;-85.168;-129.421;-153.981;-144.899;-147.036;-93.708;-112.902;-76.688;-79.182;-13.738;-65.683;-118.276;-96.81
United Kingdom;Net debt - General government - Domestic currency;Annual;Billions;349.544;350.081;373.127;414.761;474.856;518.699;554.641;588.185;717.477;901.762;1106.159;1217.106;1302.932;1373.011;1469.532;1520.619;1569.936;1608.185;1647.894;1692.657;1958.839;2094.559;2268.998;2488.444;2670.922
G7;Employed persons - Persons for countries / Index for country groups;Annual;Units;97.556;97.897;97.768;98.165;98.88;100;101.441;102.653;102.869;100.55;100.207;100.804;101.767;102.507;103.698;104.895;106.466;107.713;109.231;110.348;106.556;108.671;111.425;113.011;113.612
United Kingdom;Expenditure - General government - Domestic currency;Annual;Billions;373.546;397.252;428.22;468.267;503.098;537.664;565.48;597.06;652.702;691.209;719.097;723.276;746.373;745.321;767.062;774.726;789.332;815.393;836.626;865.939;1051.463;1045.648;1114.117;1215.406;1255.571
United Kingdom;Gross domestic product (GDP) - Constant prices - Per capita - Domestic currency;Annual;Units;30508.1;31172.838;31597.362;32445.311;33069.224;33712.529;34280.205;34897.748;34526.575;32700.117;33164.611;33263.886;33543.223;33933.376;34751.258;35243.849;35626.752;36356.087;36647.209;37041.259;33086.478;35953.436;37375.407;37156.083;37043.444
United States;Gross debt - General government - Percent of GDP;Annual;Units;;53.485;55.859;58.956;66.439;65.778;64.531;64.948;73.845;87.07;95.644;100.02;103.659;105.003;104.93;105.424;107.38;106.374;107.625;108.751;132.513;125.009;119.104;119.836;122.322
United Kingdom;Expenditure - General government - Percent of GDP;Annual;Units;33.936;34.66;35.941;37.213;38.037;38.439;38.415;38.654;40.958;44.629;44.705;43.503;43.553;41.84;41.184;40.425;39.632;39.155;38.871;38.763;49.987;45.753;44.099;44.829;44.04
Advanced Economies;Gross domestic product (GDP) - Constant prices - Percent change;Annual;Units;4.158;1.577;1.639;2.025;3.251;2.833;3.085;2.755;0.314;-3.365;3.107;1.764;1.152;1.492;2.107;2.393;1.826;2.595;2.286;1.87;-3.928;6.033;2.98;1.727;1.827
Advanced Economies;Gross debt - General government - Percent of GDP;Annual;Units;;70.273;71.312;73.425;76.799;76.269;73.547;71.231;77.935;91.158;97.515;101.453;105.725;104.187;103.694;103.292;105.633;103.23;102.746;103.814;122.16;115.62;109.327;108.513;109.053
Advanced Economies;All Items - Consumer price index (CPI) - Period average - percent change;Annual;Units;2.256;2.184;1.574;1.856;2.031;2.333;2.363;2.194;3.449;0.189;1.552;2.707;2.006;1.382;1.352;0.306;0.747;1.707;1.959;1.399;0.681;3.1;7.311;4.625;2.622
Advanced Economies;Exports of manufactures - Price deflator - Free on board (FOB) - Index;Annual;Units;92.626;89.484;87.727;90.235;96.117;100;102.164;105.555;111.916;109.862;112.14;117.226;120.048;116.593;115.957;112.403;106.769;106.908;109.082;109.515;106.043;113.15;124.858;122.714;124.252
