Month,Qatar,Brazil,Mexico,Chile,Philippines,Egypt,Malaysia,Indonesia,Colombia,Turkey,South Korea,South Africa,Thailand,United Arab Emirates,Saudi Arabia,China
30.11.2016,52585,614788,1307077,9725184.5,2534713.614,766002,136082,1021568214,77868733.56,413922,140003112,229096,1584852.3,313650,299374,64903.501
30.12.2016,54988,642501,1420269,10342493.8,2757771.98,856607,141737,1070048263,84599929.77,408059,143435305,240004,1753532.2,338072,302404,68303.868
31.01.2017,62081,645546,1382791,10301723.7,2630029.536,864697,148338,1030791018,78092246.34,415042,149132912,224073,1698846.2,325436,301552,86598.61
28.02.2017,60941,648316,1367861,9815314.2,2560975.696,885867,140007,1030509625,78239464.41,405404,146929993,222945,1720523.4,336370,297934,71727.688
31.03.2017,60481,630460,1370072,10097732.1,2734817.559,933481,139368,1045342604,80163337.84,414801,152539240,226303,1685951.9,351559,302693,68605.05
28.04.2017,63537,651075,1379550,10420599.3,2751948.227,941335,141544,1066038824,77103501.45,406847,148202915,230474,1701396.4,342280,301187,68392.596
31.05.2017,61742,631967,1375218,9536167.7,2653070.407,989299,139786,1084840914,77966337.83,412709,146241612,226193,1658200.4,354510,306556,67333.207
30.06.2017,71934,659405,1371218,9771302.2,2815199.461,1045495,145291,1220031871,78099857.41,429540,149971695,230188,1639410.4,355028,322689,66977.682
31.07.2017,55899,652489,1370625,9792698.3,2775798.604,1112977,141165,1076352593,78292691.51,426356,151177510,230132,1698000.7,355934,307181,67129.041
31.08.2017,60264,663928,1354488,10865923.5,2843873.038,1174784,144741,1082203141,79159257.11,435829,154591010,233508,1693026.8,361754,313478,67550.989
29.09.2017,61102,676511,1357349,9950678.9,2879741.058,1182139,143121,1086544792,79366696.58,430716,161818814,234701,1708827.3,358703,308922,69748.54
31.10.2017,57394,670380,1372081,9797689.8,2902065.609,1210154,142055,1093778019,77627981.09,456081,157141925,234173,1686108.9,348935,301197,68230.688
30.11.2017,57979,676037,1410047,10268371.7,2903631.678,1199354,144134,1109757580,81210760.24,468217,154807523,243431,1703762.9,356347,297926,68623.157
29.12.2017,62771,704436,1545934,11105786.6,3136499.19,1206838,147417,1165674070,88812688.57,457790,155880975,256894,1869273.1,377348,301926,70645.599
31.01.2018,57954,678794,1483140,10278761.4,2937520.357,1264570,154251,1107638922,84703155.83,459242,158176638,235405,1809083,358045,305054,74636.29
28.02.2018,59986,668025,1478777,10022778.1,3001797.904,1339212,155840,1103193843,83532515.35,462515,165676030,234697,1814497,363796,308896,81424.243
30.03.2018,63752,680259,1522134,10349965.9,3045784.739,1346038,154936,1121053722,84420232.08,477213,163765621,245659,1850383.4,365221,311894,72692.629
30.04.2018,72647,677210,1495941,10230399.5,3026581.235,1376001,157120,1120659513,83161941.21,481494,159087961,242913,1810634.7,345265,312222,71476.456
31.05.2018,70147,657502,1510220,10741296,2979014.948,1387210,161613,1191232599,82037435.73,506022,162659652,243542,1728295.2,350142,320531,69774.808
29.06.2018,66972,659935,1534342,10513903.8,2980254.981,1393795,161082,1209230749,83050751.87,509726,167048272,244430,1734817.1,354009,326643,69589.333
31.07.2018,73231,674955,1528710,11197792.4,2908320.593,1399758,155591,1087252273,85190656.3,533546,164566531,243726,1925612.1,355975,313960,69530.59
31.08.2018,75265,667727,1520064,11819105.2,2988197.174,1422494,156387,1093530380,85255231.56,580060,170586799,246426,1758510.2,353970,317007,69775.393
28.09.2018,72427,679536,1509265,11241801.5,3017687.061,1440524,155768,1088931567,84382171.41,544286,177902426,252610,1733804.9,347648,311497,71254.261
31.10.2018,77229,693609,1528719,10549499.5,3065095.093,1423981,153804,1088394914,83336337.78,507358,173738887,254270,1720455.3,350675,311458,70106.62
30.11.2018,74608,684411,1566428,10755425.1,3129540.957,1495329,154872,1087057004,86706378.17,490796,171141717,256282,1815509.3,371653,310686,70563.304
31.12.2018,82866,715837,1674211,11295937.6,3338017.042,1358380,155578,1167523159,98052535.87,500845,172353298,268745,1927988.9,379658,311615,73208.4
31.01.2019,76051,693854,1603684,11249178.9,3044918.673,1328397,164788,1097364753,90810707.49,495841,179920824,252723,1831276,362431,313525,87470.615
28.02.2019,71991,698661,1579046,11855226.7,3064010.133,1397491,160220,1082232684,89347244.48,491189,180690675,252973,1880305.3,378474,317391,79484.72
29.03.2019,82713,699712,1561116,11755290,3227041.838,1407350,159718,1086744672,89884288.46,518977,180425465,261864,1848472.2,372854,320354,74941.576
30.04.2019,88884,705292,1571665,10670102.2,3185104.343,1420201,160521,1109736860,88149962.67,541891,176149421,264034,1891042,385860,317108,73965.76
31.05.2019,87015,708707,1574536,11250324.3,3226640.882,1429414,167209,1240558375,93056903.28,576065,183868670,261387,1833795.1,396137,338829,72798.46
28.06.2019,83726,709205,1574602,12354790.1,3113809.726,1466375,162632,1117978482,95482171.61,561649,183143538,261880,1830407,397157,325958,72580.96
31.07.2019,80334,686568,1561176,11396466.7,2989583.627,1387415,160956,1111734856,94268294.09,535321,173689041,262674,1814171.2,385909,328170,72689.25
30.08.2019,74608,691381,1569316,11047916.3,3061893.759,1426267,162446,1114412968,93341298.48,560161,185472984,265297,1812237.8,386275,327154,73152.625
30.09.2019,70710,697377,1556211,12250270,3090821.309,1441604,161496,1114802112,93624890.23,548801,186543991,268320,1822206.4,392760,321954,74129.755
31.10.2019,71502,708364,1562900,12244050.4,3107060.567,1451769,163847,1114771757,97603782.08,574263,187003239,265723,1897711.2,390221,323203,73395.403
29.11.2019,70270,717852,1621395,14079588.9,3136996.221,1476013,155950,1115889798,100768519.5,554422,186456991,279386,1858512.2,404998,321575,73973.823
31.12.2019,72057,739570,1742475,12335260.5,3238044.287,1462661,159558,1201174228,112442846.3,565961,191829324,282041,1995531.9,409593,324674,77189.475
31.01.2020,75614,744822,1697687,12256854.8,3072616.088,1378544,163891,1098841643,102752276.4,578679,190856860,267166,1954992.9,408446,331213,93249.163
28.02.2020,75830,728968,1670343,12549110.4,3047221.439,1396345,160663,1091216474,101543978.2,625640,196955352,265912,1933898,415540,330486,88187.054
31.03.2020,91015,630618,1770528,12771543.5,3162689.55,1388619,136261,1088646219,106594639.4,610782,194031842,302237,2037096.1,415177,340692,83022.205
30.04.2020,110694,690036,1791789,13460830.5,3296537.805,1272528,139354,1086922860,115831506.5,669264,200616859,267957,2129006.2,407505,351552,81485.215
29.05.2020,109582,736638,1850824,14043819.7,3384200.179,1194805,132345,1019328134,109342735.2,736678,210307180,278105,2100683.6,407099,357970,79706.83
30.06.2020,102757,761097,1857092,15067486.9,3142279.687,1279580,128258,1007597159,114804025.3,731871,220161669,280631,2238044.1,408230,354261,79459.407
31.07.2020,106394,800955,1914662,14340472.2,3129070.998,1305162,130325,981046151,111954860,809226,208587614,307616,2106254.1,405319,362632,79867.208
31.08.2020,105611,786080,1914938,22181099.5,3146434.19,1268729,130599,989779191,113948124.9,766477,218973504,307494,2104348.5,417029,353559,80042.707
30.09.2020,99916,783283,1898296,24962952.5,3019516.705,1257412,129937,1020778977,114920608.3,817609,216880968,302910,2115416.9,416816,351527,82370.87
30.10.2020,94442,807474,1920444,24346573.4,3155682.766,1360376,131534,1036493642,114911197.1,866921,218553160,294715,2120422.9,402800,351149,81036.43
30.11.2020,94740,798442,1990506,23736738.1,3217544.733,1303913,132125,1046268307,119311513.5,873421,221264851,304844,2106065.7,402216,349694,81593.61
31.12.2020,100720,798914,2118243,,3401764.677,1309683,133842,1205421407,132453078,926655,221503717,299127,2253138.7,427445,352651,84314.53
29.01.2021,99033,811155,2101714,27817977.9,3261738.214,1462709,141455,1048478259,122173580.7,907905,223711474,291850,2209681.4,416906,354904,89625.24
26.02.2021,103058,775807,2088210,27232173,3234859.353,1437300,143477,1043704215,122222703.5,886182,236265644,285782,2262263.3,426287,353248,91924.6
31.03.2021,104543,768843,2178192,27603253.3,3291008.005,1438645,143814,1048891951,120784383.6,964040,234792371,292891,2299389,437104,355108,86543.64
30.04.2021,101809,786214,2148400,31860868.3,3310746.677,1510869,146660,1116309266,123964501,976778,234431342,280093,2335208,430880,362435,85803.37
31.05.2021,100016,768686,2147225,31709242.1,3286449.536,1468103,146870,1178227171,124708442.4,1041773,238704864,276176,2267667.7,443428,364083,84177.72
30.06.2021,100823,791629,2156047,32194779.4,3219545.851,1456857,145153,1152885515,128209755.6,1080452,242801063,294692,2241657.4,443115,361586,84346.97
30.07.2021,113043,805107,2177779,21742587.1,3295560.594,1653894,146070,1198581377,128519164.1,1107715,239636687,292886,2226092.7,436869,370488,84717.56
31.08.2021,111787,786075,2174192,28297183.5,3277933.223,1683349,147820,1182166879,128020112.7,1128297,245448706,290281,2337893.7,444782,359837,85059.2
30.09.2021,100045,785676,2198931,23504213.5,3148753.317,1732684,148608,1216443194,129100420.1,1182135,251060116,302625,2336257.8,449110,357535,86867.09
29.10.2021,106674,781706,2225574,22699443.2,3397269.42,1826822,150401,1217831461,131129288.1,1262681,247044089,294637,2345250.2,455087,353711,86085.78
30.11.2021,108076,821683,2286794,23743579.5,3316622.165,1773626,150704,1240716515,136035772.9,1685328,242888661,300815,2434702.9,461755,354368,87433.41
31.12.2021,106505,820263,2440781,21456306,3598649.213,1984559,153507,1438332453,145258642.1,1788579,248785547,312465,2500967.7,484025,356276,90800
31.01.2022,107154,830085,2433663,26436424,3448885.43,2038870,159458,1304390333,136186575.4,1748127,252553325,297555,2395390,481211,358783,106188.87
28.02.2022,82015,807261,2438546,20851349.1,3431219.241,2080383,155923,1282714433,141170854.7,1744588,260625401,293013,2445562.5,486745,358253,97227.7
31.03.2022,83437,805133,2511751,30660068.8,3287598.584,1785010,155548,1367707520,143466158,1774806,265200790,308798,2457945.4,478895,356545,95141.92
29.04.2022,84852,832650,2474416,25216483.1,3588861.935,1844522,169533,1538193470,141678703.6,1858890,263730375,301212,2462809.3,477971,372443,95626.49
31.05.2022,88519,843741,2463886,19595234.4,3533294.117,1905995,164011,1386079316,142252168.6,2032701,266837543,305540,2421235.4,471093,365405,95546.86
30.06.2022,84573,887443,2455161,19542315.9,3333659.814,1928762,163384,1420403743,142196817.4,2156040,283469790,310816,2344126.7,466044,362772,96011.17
29.07.2022,88793,880533,2489347,18345948.5,3506010.508,1999687,161630,,142137166.5,2290660,257290961,309558,2362604.1,463716,362154,96509.19
31.08.2022,90985,912906,2459987,20049929.4,3362472.48,1956247,161109,1548419219,143239908.2,2376968,276637317,349484,2333346.9,471445,357680,97231.03
30.09.2022,86142,926176,2480963,17906175.6,3485452.597,2040168,164120,1543215319,143067613.9,2456449,279655429,352329,2357202,461467,354316,98672.06
31.10.2022,106882,928309,2492681,17688110.9,3508117.475,2088423,164709,1697592503,147043945.6,2505013,266693301,353140,2501180.3,462772,359821,98416.71
30.11.2022,104460,937939,2546233,17175645.5,3520795.305,2268268,167617,1556871971,144834005.1,2558361,264982123,361495,2441772.4,481337,361480,99740.12
30.12.2022,98965,956834,2700041,17641229.9,3780529.502,2107856,196820,1782004941,154572988,2633464,275963489,359965,2465059,512273,364156,104706.03
31.01.2023,100870,962750,2663291,17668207,3567225.288,2201221,200912,1609211518,145660129.4,2580484,255849776,359965,2468502.9,529825,359842,114601.3
28.02.2023,103924,941679,2640274,17192720.2,3798075.873,2254556,194855,1547266951,140551898.4,2533889,270346068,360869,2462013.5,537536,360279,107602.58
31.03.2023,108351,975522,2681153,16140027.5,3676823.072,2230279,195964,1572563210,143420131.1,2646068,268517286,391669,2525801.7,555755,375592,105591.3
28.04.2023,102018,992349,2662966,16407633.5,3714564.701,2502597,201172,1676824205,141050323.3,2742293,267226241,389615,2587927.9,582247,381456,105904.46
31.05.2023,99098,1002270,2683963,16563914.9,3551963.798,2496681,195531,1603389314,138149489.7,2560909,261700847,403379,2434225.6,608826,375462,104756.71
30.06.2023,103995,1028002,2684908,16897335.2,3604420.269,2470761,199279,1613040955,140431292.8,2997841,268895551,386186,2429613.9,611344,387072,105419.2
31.07.2023,97576,1040366,2711162,24947408.5,3393096.913,2576062,197011,1572418271,138351078.6,3234811,254224688,395218,2465130.1,609624,376919,106129.68
31.08.2023,97364,1062083,2680309,18685951.4,3322191.207,2785613,196194,1562392286,139716493.8,3574062,272498003,391410,2493545.6,595033,374916,106515.36
29.09.2023,99179,1099706,2702815,16561404,3634851.441,2592966,196679,1585609507,138783749.5,4103159,265562871,396586,2454372.7,597311,373327,109253.22
31.10.2023,94553,1116378,2718501,19843467.8,3627816.257,2712643,195979,1546366941,140443007.2,3997562,263844544,401379,2640214.6,596935,373255,108565.35
30.11.2023,94526,1119475,2780024,14894821.8,3454485.447,2621447,196137,1586338665,144150784.1,4435947,262299666,386158,2572816,613919,375940,110225.18
29.12.2023,94646,1152311,2960457,16791294.5,3989322.294,2764018,201311,1755276946,154428413.7,4490471,274077023,395675,2554157.2,658748,376914,113444.64
31.01.2024,92378,1152664,2957616,16664994.3,3644516.067,2976029,204902,1597311275,147043408.6,4142369,269093576,397319,2556409.9,670949,377140,121398.54
29.02.2024,93465,1152248,3013957,15626571.1,3384053.8,3026427,205263,1567910342,146413302.7,4659758,270376689,376398,2577261.2,689497,382248,121009.93
29.03.2024,98036,1172013,3043323,16891247.9,3843471.569,2689373,209746,1590929985,144465697.4,4945866,279877768,401103,2577859.2,703660,399473,117210.5
30.04.2024,96653,1203131,2980375,16511013.7,3700310.393,2990685,205933,1633983470,143993483.7,4926945,268507477,400848,2705511.3,714289,401433,117310.55
31.05.2024,92859,1240433,2989795,19623418.7,3851806.568,2790142,205993,1593431077,143525757.3,5381253,277730534,400101,2594393.9,727173,401175,117062.72
28.06.2024,96472,1264303,2995219,18167434,3881820.7,3082165,207659,1618373306,148412700.2,5761288,285032484,380958,2517058.8,724982,403501,117736.77
31.07.2024,90854,1259712,3027981,16640632,3715687.861,2995134,203527,1617774714,148960419.7,5709940,268519667,459554,2536718.3,718103,398767,118840.46
30.08.2024,91964,1282680,3028809,17016271.1,3849136.761,3031929,207944,1644653024,152950984.2,6157195,284296584,477390,2555176.6,734921,400188,119472.57
30.09.2024,97043,1278790,3072998,16783436.1,3655848.365,3003712,204432,1628319331,149972507.2,6175970,282293891,510081,2731023.5,743456,399206,121830
31.10.2024,88144,1296032,3065366,17520766.5,3497291.198,3061217,206141,1664471822,152063012.9,6099357,271534769,497472,2638426.3,742974,401842,122447.04
29.11.2024,89580,1312168,3153820,17470051,3691313.401,2882939,206911,1695731916,155856367.5,6067889,278258696,495699,2627439.8,747935,404644,124180.26
31.12.2024,90149,1304624,3293419,18078670.6,4011381.809,2980479,212055,1847977189,172023928.6,6585276,283486891,504404,2694801,780615,405816,128194.16
